id,building_type,value,value_min,value_max,"Source: ADEME. 2020. Resource centre for greenhouse gas accounting. Angers, France. Cited 26 June 2020. www.bilans-ges.ademe.fr. No Uncertainty data."
1,Housing (Concrete),436,N/A,N/A,
2,Agricultural Buildings (Concrete),656,N/A,N/A,
3,Agricultural Buildings (Metal),220,N/A,N/A,
4,Industrial Buildings (Concrete),825,N/A,N/A,
5,Industrial Buildings (Metal),275,N/A,N/A,
6,Garage (Concrete),656,N/A,N/A,
7,Garage (Metal),220,N/A,N/A,
8,Offices (Concrete),650,N/A,N/A,
9,Offices (Metal),158,N/A,N/A,
14,Food Sales (Retail Or Wholesale),515,N/A,N/A,
15,Food Service (Restaurants),517,N/A,N/A,
16,Warehouse And Storage,1568,N/A,N/A,
17,Education,440,N/A,N/A,
18,Health Care (Metal),440,N/A,N/A,
