id,climate,moisture,land_use_type,value,unit,value_min,value_max,"Source: 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands, IPCC (2014), table 4.3."
61,Boreal,Dry,Mangrove,0,t dry matter/ha,N/A,N/A,
62,Boreal,Moist,Mangrove,0,t dry matter/ha,N/A,N/A,
63,Cool Temperate,Dry,Mangrove,0,t dry matter/ha,N/A,N/A,
64,Cool Temperate,Moist,Mangrove,0,t dry matter/ha,N/A,N/A,
65,Warm Temperate,Dry,Mangrove,75,t dry matter/ha,66,84,
66,Warm Temperate,Moist,Mangrove,75,t dry matter/ha,66,84,
67,Tropical,Dry,Mangrove,92,t dry matter/ha,88,97,
68,Tropical,Moist,Mangrove,192,t dry matter/ha,187,204,
69,Tropical,Wet,Mangrove,192,t dry matter/ha,187,204,
70,Tropical Montane,Dry,Mangrove,0,t dry matter/ha,N/A,N/A,
71,Boreal,Dry,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
72,Boreal,Moist,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
73,Cool Temperate,Dry,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
74,Cool Temperate,Moist,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
75,Warm Temperate,Dry,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
76,Warm Temperate,Moist,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
77,Tropical,Dry,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
78,Tropical,Moist,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
79,Tropical,Wet,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
80,Tropical Montane,Dry,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
81,Boreal,Dry,Seagrass,0,t dry matter/ha,N/A,N/A,
82,Boreal,Moist,Seagrass,0,t dry matter/ha,N/A,N/A,
83,Cool Temperate,Dry,Seagrass,0,t dry matter/ha,N/A,N/A,
84,Cool Temperate,Moist,Seagrass,0,t dry matter/ha,N/A,N/A,
85,Warm Temperate,Dry,Seagrass,0,t dry matter/ha,N/A,N/A,
86,Warm Temperate,Moist,Seagrass,0,t dry matter/ha,N/A,N/A,
87,Tropical,Dry,Seagrass,0,t dry matter/ha,N/A,N/A,
88,Tropical,Moist,Seagrass,0,t dry matter/ha,N/A,N/A,
89,Tropical,Wet,Seagrass,0,t dry matter/ha,N/A,N/A,
90,Tropical Montane,Dry,Seagrass,0,t dry matter/ha,N/A,N/A,
91,Boreal,Dry,Mangrove,0,t dry matter/ha,N/A,N/A,
92,Boreal,Moist,Mangrove,0,t dry matter/ha,N/A,N/A,
93,Cool Temperate,Dry,Mangrove,0,t dry matter/ha,N/A,N/A,
94,Cool Temperate,Moist,Mangrove,0,t dry matter/ha,N/A,N/A,
95,Warm Temperate,Dry,Mangrove,75,t dry matter/ha,66,84,
96,Warm Temperate,Moist,Mangrove,75,t dry matter/ha,66,84,
97,Tropical,Dry,Mangrove,92,t dry matter/ha,88,97,
98,Tropical,Moist,Mangrove,192,t dry matter/ha,187,204,
99,Tropical,Wet,Mangrove,192,t dry matter/ha,187,204,
100,Tropical Montane,Dry,Mangrove,0,t dry matter/ha,N/A,N/A,
101,Boreal,Dry,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
102,Boreal,Moist,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
103,Cool Temperate,Dry,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
104,Cool Temperate,Moist,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
105,Warm Temperate,Dry,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
106,Warm Temperate,Moist,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
107,Tropical,Dry,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
108,Tropical,Moist,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
109,Tropical,Wet,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
110,Tropical Montane,Dry,Tidal Marsh,0,t dry matter/ha,N/A,N/A,
111,Boreal,Dry,Seagrass,0,t dry matter/ha,N/A,N/A,
112,Boreal,Moist,Seagrass,0,t dry matter/ha,N/A,N/A,
113,Cool Temperate,Dry,Seagrass,0,t dry matter/ha,N/A,N/A,
114,Cool Temperate,Moist,Seagrass,0,t dry matter/ha,N/A,N/A,
115,Warm Temperate,Dry,Seagrass,0,t dry matter/ha,N/A,N/A,
116,Warm Temperate,Moist,Seagrass,0,t dry matter/ha,N/A,N/A,
117,Tropical,Dry,Seagrass,0,t dry matter/ha,N/A,N/A,
118,Tropical,Moist,Seagrass,0,t dry matter/ha,N/A,N/A,
119,Tropical,Wet,Seagrass,0,t dry matter/ha,N/A,N/A,
120,Tropical Montane,Dry,Seagrass,0,t dry matter/ha,N/A,N/A,
