id,climate,moisture,land_use_type,value,unit,value_min,value_max,"Source: 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands, IPCC (2014), tables 4.5, 4.9, 4.10."
81,Boreal,Dry,Mangrove,0,t root dm/t shoot dm,N/A,N/A,
82,Boreal,Moist,Mangrove,0,t root dm/t shoot dm,N/A,N/A,
83,Cool Temperate,Dry,Mangrove,0,t root dm/t shoot dm,N/A,N/A,
84,Cool Temperate,Moist,Mangrove,0,t root dm/t shoot dm,N/A,N/A,
85,Warm Temperate,Dry,Mangrove,0.96,t root dm/t shoot dm,0.91,1,
86,Warm Temperate,Moist,Mangrove,0.96,t root dm/t shoot dm,0.91,1,
87,Tropical,Dry,Mangrove,0.29,t root dm/t shoot dm,0.28,0.3,
88,Tropical,Moist,Mangrove,0.49,t root dm/t shoot dm,0.47,0.51,
89,Tropical,Wet,Mangrove,0.49,t root dm/t shoot dm,0.47,0.51,
90,Tropical Montane,Dry,Mangrove,0,t root dm/t shoot dm,N/A,N/A,
91,Boreal,Dry,Tidal Marsh,0,t root dm/t shoot dm,N/A,N/A,
92,Boreal,Moist,Tidal Marsh,0,t root dm/t shoot dm,N/A,N/A,
93,Cool Temperate,Dry,Tidal Marsh,2.11,t root dm/t shoot dm,2.07,2.15,
94,Cool Temperate,Moist,Tidal Marsh,2.11,t root dm/t shoot dm,2.07,2.15,
95,Warm Temperate,Dry,Tidal Marsh,3.65,t root dm/t shoot dm,3.56,3.74,
96,Warm Temperate,Moist,Tidal Marsh,3.65,t root dm/t shoot dm,3.56,3.74,
97,Tropical,Dry,Tidal Marsh,3.65,t root dm/t shoot dm,3.56,3.74,
98,Tropical,Moist,Tidal Marsh,3.65,t root dm/t shoot dm,3.56,3.74,
99,Tropical,Wet,Tidal Marsh,3.65,t root dm/t shoot dm,3.56,3.74,
100,Tropical Montane,Dry,Tidal Marsh,0,t root dm/t shoot dm,N/A,N/A,
101,Boreal,Dry,Seagrass,0,t root dm/t shoot dm,N/A,N/A,
102,Boreal,Moist,Seagrass,0,t root dm/t shoot dm,N/A,N/A,
103,Cool Temperate,Dry,Seagrass,1.3,t root dm/t shoot dm,1.1,1.5,
104,Cool Temperate,Moist,Seagrass,1.3,t root dm/t shoot dm,1.1,1.5,
105,Warm Temperate,Dry,Seagrass,2.4,t root dm/t shoot dm,2.3,2.6,
106,Warm Temperate,Moist,Seagrass,2.4,t root dm/t shoot dm,2.3,2.6,
107,Tropical,Dry,Seagrass,1.7,t root dm/t shoot dm,1.5,1.9,
108,Tropical,Moist,Seagrass,1.7,t root dm/t shoot dm,1.5,1.9,
109,Tropical,Wet,Seagrass,1.7,t root dm/t shoot dm,1.5,1.9,
110,Tropical Montane,Dry,Seagrass,0,t root dm/t shoot dm,N/A,N/A,
111,Boreal,Dry,Tidal Marsh Mediterranean,0,t root dm/t shoot dm,N/A,N/A,
112,Boreal,Moist,Tidal Marsh Mediterranean,0,t root dm/t shoot dm,N/A,N/A,
113,Cool Temperate,Dry,Tidal Marsh Mediterranean,0,t root dm/t shoot dm,N/A,N/A,
114,Cool Temperate,Moist,Tidal Marsh Mediterranean,0,t root dm/t shoot dm,N/A,N/A,
115,Warm Temperate,Dry,Tidal Marsh Mediterranean,3.63,t root dm/t shoot dm,3.56,3.7,
116,Warm Temperate,Moist,Tidal Marsh Mediterranean,3.63,t root dm/t shoot dm,3.56,3.7,
117,Tropical,Dry,Tidal Marsh Mediterranean,3.63,t root dm/t shoot dm,3.56,3.7,
118,Tropical,Moist,Tidal Marsh Mediterranean,0,t root dm/t shoot dm,N/A,N/A,
119,Tropical,Wet,Tidal Marsh Mediterranean,0,t root dm/t shoot dm,N/A,N/A,
120,Tropical Montane,Dry,Tidal Marsh Mediterranean,0,t root dm/t shoot dm,N/A,N/A,
