id,climate,moisture,land_use_type,value,value_min,value_max,"Source: 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands, IPCC (2014), table 4.7."
157,Boreal,Dry,Mangrove,0,N/A,N/A,
158,Boreal,Dry,Tidal Marsh,0,N/A,N/A,
159,Boreal,Dry,Seagrass,0,N/A,N/A,
160,Boreal,Moist,Mangrove,0,N/A,N/A,
161,Boreal,Moist,Tidal Marsh,0,N/A,N/A,
162,Boreal,Moist,Seagrass,0,N/A,N/A,
163,Cool Temperate,Dry,Mangrove,0,N/A,N/A,
164,Cool Temperate,Dry,Tidal Marsh,0,N/A,N/A,
165,Cool Temperate,Dry,Seagrass,0,N/A,N/A,
166,Cool Temperate,Moist,Mangrove,0,N/A,N/A,
167,Cool Temperate,Moist,Tidal Marsh,0,N/A,N/A,
168,Cool Temperate,Moist,Seagrass,0,N/A,N/A,
169,Warm Temperate,Dry,Mangrove,10.7,6.5,14.8,
170,Warm Temperate,Dry,Tidal Marsh,0,N/A,N/A,
171,Warm Temperate,Dry,Seagrass,0,N/A,N/A,
172,Warm Temperate,Moist,Mangrove,10.7,6.5,14.8,
173,Warm Temperate,Moist,Tidal Marsh,0,N/A,N/A,
174,Warm Temperate,Moist,Seagrass,0,N/A,N/A,
175,Tropical,Dry,Mangrove,10.7,6.5,14.8,
176,Tropical,Dry,Tidal Marsh,0,N/A,N/A,
177,Tropical,Dry,Seagrass,0,N/A,N/A,
178,Tropical,Moist,Mangrove,10.7,6.5,14.8,
179,Tropical,Moist,Tidal Marsh,0,N/A,N/A,
180,Tropical,Moist,Seagrass,0,N/A,N/A,
181,Tropical,Wet,Mangrove,10.7,6.5,14.8,
182,Tropical,Wet,Tidal Marsh,0,N/A,N/A,
183,Tropical,Wet,Seagrass,0,N/A,N/A,
184,Tropical Montane,Dry,Mangrove,10.7,6.5,14.8,
185,Tropical Montane,Dry,Tidal Marsh,0,N/A,N/A,
186,Tropical Montane,Dry,Seagrass,0,N/A,N/A,
