id,climate,moisture,land_use_type,value,value_min,value_max,"Source: 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands, IPCC (2014), table 4.7."
31,Boreal,Dry,Mangrove,0,N/A,N/A,
32,Boreal,Moist,Mangrove,0,N/A,N/A,
33,Cool Temperate,Dry,Mangrove,0,N/A,N/A,
34,Cool Temperate,Moist,Mangrove,0,N/A,N/A,
35,Warm Temperate,Dry,Mangrove,0.7,0,1.3,
36,Warm Temperate,Moist,Mangrove,0.7,0,1.3,
37,Tropical,Dry,Mangrove,0.7,0,1.3,
38,Tropical,Moist,Mangrove,0.7,0,1.3,
39,Tropical,Wet,Mangrove,0.7,0,1.3,
41,Boreal,Dry,Tidal Marsh,0,N/A,N/A,
42,Boreal,Moist,Tidal Marsh,0,N/A,N/A,
43,Cool Temperate,Dry,Tidal Marsh,0,N/A,N/A,
44,Cool Temperate,Moist,Tidal Marsh,0,N/A,N/A,
45,Warm Temperate,Dry,Tidal Marsh,0,N/A,N/A,
46,Warm Temperate,Moist,Tidal Marsh,0,N/A,N/A,
47,Tropical,Dry,Tidal Marsh,0,N/A,N/A,
48,Tropical,Moist,Tidal Marsh,0,N/A,N/A,
49,Tropical,Wet,Tidal Marsh,0,N/A,N/A,
51,Boreal,Dry,Seagrass,0,N/A,N/A,
52,Boreal,Moist,Seagrass,0,N/A,N/A,
53,Cool Temperate,Dry,Seagrass,0,N/A,N/A,
54,Cool Temperate,Moist,Seagrass,0,N/A,N/A,
55,Warm Temperate,Dry,Seagrass,0,N/A,N/A,
56,Warm Temperate,Moist,Seagrass,0,N/A,N/A,
57,Tropical,Dry,Seagrass,0,N/A,N/A,
58,Tropical,Moist,Seagrass,0,N/A,N/A,
59,Tropical,Wet,Seagrass,0,N/A,N/A,
