id,land_use_type,slope,intercept,n_ag_residues,rs_t,n_bg_t,slope_min,slope_max,intercept_min,intercept_max,n_ag_residues_min,n_ag_residues_max,rs_t_min,rs_t_max,n_bg_t_min,n_bg_t_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 11.2, 11.1A, and 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2006), Volume 4 AFOLU, table 11.2."
179,Generic Value,,,0.008,0.22,0.009,N/A,N/A,N/A,N/A,0.002,0.014,N/A,N/A,0.00225,0.01575,
180,Grains,1.09,0.88,0.006,0.22,0.009,1.0682,1.0682,0.8272,0.9328,0.0015,0.0105,0.1848,0.2552,0.00225,0.01575,
181,Beans & Pulses,1.13,0.85,0.008,0.19,0.008,0.9153,0.9153,0.374,1.326,0.002,0.014,0.1045,0.2755,0.002,0.014,
182,Tubers,0.1,1.06,0.019,0.2,0.014,0.031,0.031,0.318,1.802,0.00475,0.03325,0.1,0.3,0.0035,0.0245,
183,Root Crops,1.07,1.54,0.019,0.2,0.014,0.8667,0.8667,0.9086,2.1714,0.00475,0.03325,0.1,0.3,0.0035,0.0245,
184,N-Fixing Forages,0.3,0,0.027,0.4,0.022,0.15,0.15,N/A,N/A,0.00675,0.04725,0.2,0.6,0.0055,0.0385,
185,Non-N-Fixing Forages,0.3,0,0.015,0.54,0.012,0.15,0.15,N/A,N/A,0.00375,0.02625,0.27,0.81,0.003,0.021,
186,Maize,1.03,0.61,0.006,0.22,0.007,0.9991,0.9991,0.4941,0.7259,0.0015,0.0105,0.1628,0.2772,0.00175,0.01225,
187,Wheat,1.51,0.52,0.006,0.24,0.009,1.4647,1.4647,0.4316,0.6084,0.0015,0.0105,0.1632,0.3168,0.00225,0.01575,
188,Winter Wheat,1.61,0.4,0.006,0.23,0.009,1.5778,1.5778,0.3,0.5,0.0015,0.0105,0.1357,0.3243,0.00225,0.01575,
189,Spring Wheat,1.29,0.75,0.006,0.28,0.009,1.2255,1.2255,0.555,0.945,0.0015,0.0105,0.2072,0.3528,0.00225,0.01575,
190,Rice,0.95,2.46,0.007,0.16,0.009,0.7695,0.7695,1.4514,3.4686,0.00175,0.01225,0.104,0.216,N/A,N/A,
191,Barley,0.98,0.59,0.007,0.22,0.014,0.9016,0.9016,0.3481,0.8319,0.00175,0.01225,0.1474,0.2926,0.0035,0.0245,
192,Oats,0.91,0.89,0.007,0.25,0.008,0.8645,0.8645,0.8188,0.9612,0.00175,0.01225,-0.05,0.55,0.002,0.014,
193,Millet,1.43,0.14,0.007,0.22,0.009,1.1726,1.1726,-0.2912,0.5712,0.00175,0.01225,N/A,N/A,N/A,N/A,
194,Sorghum,0.88,1.33,0.007,0.22,0.006,0.7656,0.7656,0.9709,1.6891,0.00175,0.01225,N/A,N/A,0.0015,0.0105,
195,Rye,1.09,0.88,0.005,0.22,0.011,0.545,0.545,0.44,1.32,0.00125,0.00875,N/A,N/A,0.00275,0.01925,
196,Soybeans,0.93,1.35,0.008,0.19,0.008,0.6417,0.6417,0.6885,2.0115,0.002,0.014,0.1045,0.2755,0.002,0.014,
197,Dry Bean,0.36,0.68,0.01,0.22,0.01,0,0,0.3604,0.9996,0.0025,0.0175,0.121,0.319,0.0025,0.0175,
198,Potatoes,0.1,1.06,0.019,0.2,0.014,0.031,0.031,0.318,1.802,0.00475,0.03325,0.1,0.3,0.0035,0.0245,
199,Peanuts,1.07,1.54,0.016,0.22,0.009,0.8667,0.8667,0.9086,2.1714,0.004,0.028,N/A,N/A,N/A,N/A,
200,Alfalfa,0.29,0,0.027,0.4,0.019,0.2001,0.2001,N/A,N/A,0.00675,0.04725,0.2,0.6,0.00475,0.03325,
201,Non-Legume Hay,0.18,0,0.015,0.54,0.012,0.09,0.09,N/A,N/A,0.00375,0.02625,0.27,0.81,0.003,0.021,
202,Perennial Grasses,0.3,0,0.015,0.8,0.012,0.15,0.15,N/A,N/A,0.00375,0.02625,0.4,1.2,0.003,0.021,
203,Grass-Clover Mixtures,0.3,0,0.025,0.8,0.016,0.15,0.15,N/A,N/A,0.00625,0.04375,0.4,1.2,0.004,0.028,
