id,climate,moisture,organic_input_type,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 5.5."
1,Boreal,Moist,Low C input,0.92,0.7912,1.0488,
2,Boreal,Dry,Low C input,0.95,0.8265,1.0735,
3,Cool Temperate,Dry,Low C input,0.95,0.8265,1.0735,
4,Cool Temperate,Moist,Low C input,0.92,0.7912,1.0488,
5,Warm Temperate,Dry,Low C input,0.95,0.8265,1.0735,
6,Warm Temperate,Moist,Low C input,0.92,0.7912,1.0488,
7,Tropical,Dry,Low C input,0.95,0.8265,1.0735,
8,Tropical,Moist,Low C input,0.92,0.7912,1.0488,
9,Tropical,Wet,Low C input,0.92,0.7912,1.0488,
11,Boreal,Moist,Medium C input,1,N/A,N/A,
12,Boreal,Dry,Medium C input,1,N/A,N/A,
13,Cool Temperate,Dry,Medium C input,1,N/A,N/A,
14,Cool Temperate,Moist,Medium C input,1,N/A,N/A,
15,Warm Temperate,Dry,Medium C input,1,N/A,N/A,
16,Warm Temperate,Moist,Medium C input,1,N/A,N/A,
17,Tropical,Dry,Medium C input,1,N/A,N/A,
18,Tropical,Moist,Medium C input,1,N/A,N/A,
19,Tropical,Wet,Medium C input,1,N/A,N/A,
21,Boreal,Moist,"High C input, no manure",1.11,1.221,0.999,
22,Boreal,Dry,"High C input, no manure",1.04,1.1752,0.9048,
23,Cool Temperate,Dry,"High C input, no manure",1.04,1.1752,0.9048,
24,Cool Temperate,Moist,"High C input, no manure",1.11,1.221,0.999,
25,Warm Temperate,Dry,"High C input, no manure",1.04,1.1752,0.9048,
26,Warm Temperate,Moist,"High C input, no manure",1.11,1.221,0.999,
27,Tropical,Dry,"High C input, no manure",1.04,1.1752,0.9048,
28,Tropical,Moist,"High C input, no manure",1.11,1.221,0.999,
29,Tropical,Wet,"High C input, no manure",1.11,1.221,0.999,
31,Boreal,Moist,"High C input, with manure",1.44,1.2528,1.6272,
32,Boreal,Dry,"High C input, with manure",1.37,1.2056,1.5344,
33,Cool Temperate,Dry,"High C input, with manure",1.37,1.2056,1.5344,
34,Cool Temperate,Moist,"High C input, with manure",1.44,1.2528,1.6272,
35,Warm Temperate,Dry,"High C input, with manure",1.37,1.2056,1.5344,
36,Warm Temperate,Moist,"High C input, with manure",1.44,1.2528,1.6272,
37,Tropical,Dry,"High C input, with manure",1.37,1.2056,1.5344,
38,Tropical,Moist,"High C input, with manure",1.44,1.2528,1.6272,
39,Tropical,Wet,"High C input, with manure",1.44,1.2528,1.6272,
