id,climate,moisture,land_use_type,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 5.5."
242,Boreal,Moist,Flooded Rice,1.35,1.3,1.404,
246,Boreal,Dry,Flooded Rice,1.35,1.3,1.404,
250,Cool Temperate,Dry,Flooded Rice,1.35,1.3,1.404,
254,Cool Temperate,Moist,Flooded Rice,1.35,1.3,1.404,
258,Warm Temperate,Dry,Flooded Rice,1.35,1.3,1.404,
262,Warm Temperate,Moist,Flooded Rice,1.35,1.3,1.404,
266,Tropical,Dry,Flooded Rice,1.35,1.3,1.404,
270,Tropical,Moist,Flooded Rice,1.35,1.3,1.404,
274,Tropical,Wet,Flooded Rice,1.35,1.3,1.404,
278,Tropical Montane,Dry,Flooded Rice,1.35,1.3,1.404,
241,Boreal,Moist,Long-Term Cultivated,0.7,0.62,0.78,
245,Boreal,Dry,Long-Term Cultivated,0.77,0.66,0.88,
249,Cool Temperate,Dry,Long-Term Cultivated,0.77,0.66,0.88,
253,Cool Temperate,Moist,Long-Term Cultivated,0.7,0.62,0.78,
257,Warm Temperate,Dry,Long-Term Cultivated,0.76,0.67,0.85,
261,Warm Temperate,Moist,Long-Term Cultivated,0.69,0.58,0.8,
265,Tropical,Dry,Long-Term Cultivated,0.92,0.8,1.04,
269,Tropical,Moist,Long-Term Cultivated,0.83,0.74,0.92,
273,Tropical,Wet,Long-Term Cultivated,0.83,0.74,0.92,
277,Tropical Montane,Dry,Long-Term Cultivated,0.64,0.32,0.96,
243,Boreal,Moist,Perennial/Tree Crop,0.72,0.56,0.88,
247,Boreal,Dry,Perennial/Tree Crop,0.72,0.56,0.88,
251,Cool Temperate,Dry,Perennial/Tree Crop,0.72,0.56,0.88,
255,Cool Temperate,Moist,Perennial/Tree Crop,0.72,0.56,0.88,
259,Warm Temperate,Dry,Perennial/Tree Crop,0.72,0.56,0.88,
263,Warm Temperate,Moist,Perennial/Tree Crop,0.72,0.56,0.88,
267,Tropical,Dry,Perennial/Tree Crop,1.01,0.76,1.26,
271,Tropical,Moist,Perennial/Tree Crop,1.01,0.76,1.26,
275,Tropical,Wet,Perennial/Tree Crop,1.01,0.76,1.26,
279,Tropical Montane,Dry,Perennial/Tree Crop,1,0.5,1.5,
244,Boreal,Moist,Set Aside (< 20 Yrs),0.82,0.68,0.96,
248,Boreal,Dry,Set Aside (< 20 Yrs),0.93,0.83,1.03,
252,Cool Temperate,Dry,Set Aside (< 20 Yrs),0.93,0.83,1.03,
256,Cool Temperate,Moist,Set Aside (< 20 Yrs),0.82,0.68,0.96,
260,Warm Temperate,Dry,Set Aside (< 20 Yrs),0.93,0.83,1.03,
264,Warm Temperate,Moist,Set Aside (< 20 Yrs),0.82,0.68,0.96,
268,Tropical,Dry,Set Aside (< 20 Yrs),0.93,0.83,1.03,
272,Tropical,Moist,Set Aside (< 20 Yrs),0.82,0.68,0.96,
276,Tropical,Wet,Set Aside (< 20 Yrs),0.82,0.68,0.96,
280,Tropical Montane,Dry,Set Aside (< 20 Yrs),0.88,0.44,1.32,
