id,climate,moisture,tillage_management_type,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 5.5."
31,Boreal,Moist,Full Tillage,1,N/A,N/A,
32,Boreal,Dry,Full Tillage,1,N/A,N/A,
33,Cool Temperate,Dry,Full Tillage,1,N/A,N/A,
34,Cool Temperate,Moist,Full Tillage,1,N/A,N/A,
35,Warm Temperate,Dry,Full Tillage,1,N/A,N/A,
36,Warm Temperate,Moist,Full Tillage,1,N/A,N/A,
37,Tropical,Dry,Full Tillage,1,N/A,N/A,
38,Tropical,Moist,Full Tillage,1,N/A,N/A,
39,Tropical,Wet,Full Tillage,1,N/A,N/A,
41,Boreal,Moist,Reduced Tillage,1.04,0.9984,1.0816,
42,Boreal,Dry,Reduced Tillage,0.98,0.931,1.029,
43,Cool Temperate,Dry,Reduced Tillage,0.98,0.931,1.029,
44,Cool Temperate,Moist,Reduced Tillage,1.04,0.9984,1.0816,
45,Warm Temperate,Dry,Reduced Tillage,0.99,0.9603,1.0197,
46,Warm Temperate,Moist,Reduced Tillage,1.05,1.008,1.092,
47,Tropical,Dry,Reduced Tillage,0.99,0.9207,1.0593,
48,Tropical,Moist,Reduced Tillage,1.04,0.9672,1.1128,
49,Tropical,Wet,Reduced Tillage,1.04,0.9672,1.1128,
51,Boreal,Moist,No Tillage,1.09,1.0464,1.1336,
52,Boreal,Dry,No Tillage,1.03,0.9888,1.0712,
53,Cool Temperate,Dry,No Tillage,1.03,0.9888,1.0712,
54,Cool Temperate,Moist,No Tillage,1.09,1.0464,1.1336,
55,Warm Temperate,Dry,No Tillage,1.04,1.0088,1.0712,
56,Warm Temperate,Moist,No Tillage,1.1,1.056,1.144,
57,Tropical,Dry,No Tillage,1.04,0.9672,1.1128,
58,Tropical,Moist,No Tillage,1.1,1.045,1.155,
59,Tropical,Wet,No Tillage,1.1,1.045,1.155,
