id,land_use_type,climate,moisture,soil_type,value,value_min,value_max,"Source: 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands, IPCC (2014), tables 4.11."
121,Tidal Marsh,Boreal,Dry,Mineral,226,202,252,
122,Seagrass,Boreal,Dry,Mineral,108,84,139,
123,Mangrove,Boreal,Dry,Mineral,0,N/A,N/A,
124,Tidal Marsh,Boreal,Moist,Mineral,226,202,252,
125,Seagrass,Boreal,Moist,Mineral,108,84,139,
126,Mangrove,Boreal,Moist,Mineral,0,N/A,N/A,
127,Tidal Marsh,Cool Temperate,Dry,Mineral,226,202,252,
128,Seagrass,Cool Temperate,Dry,Mineral,108,84,139,
129,Mangrove,Cool Temperate,Dry,Mineral,0,N/A,N/A,
130,Tidal Marsh,Cool Temperate,Moist,Mineral,226,202,252,
131,Seagrass,Cool Temperate,Moist,Mineral,108,84,139,
132,Mangrove,Cool Temperate,Moist,Mineral,0,N/A,N/A,
133,Tidal Marsh,Warm Temperate,Dry,Mineral,226,202,252,
134,Seagrass,Warm Temperate,Dry,Mineral,108,84,139,
135,Mangrove,Warm Temperate,Dry,Mineral,286,247,330,
136,Tidal Marsh,Warm Temperate,Moist,Mineral,226,202,252,
137,Seagrass,Warm Temperate,Moist,Mineral,108,84,139,
138,Mangrove,Warm Temperate,Moist,Mineral,286,247,330,
139,Tidal Marsh,Tropical,Dry,Mineral,226,202,252,
140,Seagrass,Tropical,Dry,Mineral,108,84,139,
141,Mangrove,Tropical,Dry,Mineral,286,247,330,
142,Tidal Marsh,Tropical,Moist,Mineral,226,202,252,
143,Seagrass,Tropical,Moist,Mineral,108,84,139,
144,Mangrove,Tropical,Moist,Mineral,286,247,330,
145,Tidal Marsh,Tropical,Wet,Mineral,226,202,252,
146,Seagrass,Tropical,Wet,Mineral,108,84,139,
147,Mangrove,Tropical,Wet,Mineral,286,247,330,
148,Tidal Marsh,Tropical Montane,Dry,Mineral,226,202,252,
149,Seagrass,Tropical Montane,Dry,Mineral,108,84,139,
150,Mangrove,Tropical Montane,Dry,Mineral,286,247,330,
151,Tidal Marsh,Boreal,Dry,Organic,340,315,366,
152,Seagrass,Boreal,Dry,Organic,0,N/A,N/A,
153,Mangrove,Boreal,Dry,Organic,0,N/A,N/A,
154,Tidal Marsh,Boreal,Moist,Organic,340,315,366,
155,Seagrass,Boreal,Moist,Organic,0,N/A,N/A,
156,Mangrove,Boreal,Moist,Organic,0,N/A,N/A,
157,Tidal Marsh,Cool Temperate,Dry,Organic,340,315,366,
158,Seagrass,Cool Temperate,Dry,Organic,0,N/A,N/A,
159,Mangrove,Cool Temperate,Dry,Organic,0,N/A,N/A,
160,Tidal Marsh,Cool Temperate,Moist,Organic,340,315,366,
161,Seagrass,Cool Temperate,Moist,Organic,0,N/A,N/A,
162,Mangrove,Cool Temperate,Moist,Organic,0,N/A,N/A,
163,Tidal Marsh,Warm Temperate,Dry,Organic,340,315,366,
164,Seagrass,Warm Temperate,Dry,Organic,0,N/A,N/A,
165,Mangrove,Warm Temperate,Dry,Organic,471,436,510,
166,Tidal Marsh,Warm Temperate,Moist,Organic,340,315,366,
167,Seagrass,Warm Temperate,Moist,Organic,0,N/A,N/A,
168,Mangrove,Warm Temperate,Moist,Organic,471,436,510,
169,Tidal Marsh,Tropical,Dry,Organic,340,315,366,
170,Seagrass,Tropical,Dry,Organic,0,N/A,N/A,
171,Mangrove,Tropical,Dry,Organic,471,436,510,
172,Tidal Marsh,Tropical,Moist,Organic,340,315,366,
173,Seagrass,Tropical,Moist,Organic,0,N/A,N/A,
174,Mangrove,Tropical,Moist,Organic,471,436,510,
175,Tidal Marsh,Tropical,Wet,Organic,340,315,366,
176,Seagrass,Tropical,Wet,Organic,0,N/A,N/A,
177,Mangrove,Tropical,Wet,Organic,471,436,510,
178,Tidal Marsh,Tropical Montane,Dry,Organic,340,315,366,
179,Seagrass,Tropical Montane,Dry,Organic,0,N/A,N/A,
180,Mangrove,Tropical Montane,Dry,Organic,471,436,510,
181,Tidal Marsh,Boreal,Dry,Aggregated,255,254,297,
182,Seagrass,Boreal,Dry,Aggregated,0,N/A,N/A,
183,Mangrove,Boreal,Dry,Aggregated,0,N/A,N/A,
184,Tidal Marsh,Boreal,Moist,Aggregated,255,254,297,
185,Seagrass,Boreal,Moist,Aggregated,0,N/A,N/A,
186,Mangrove,Boreal,Moist,Aggregated,0,N/A,N/A,
187,Tidal Marsh,Cool Temperate,Dry,Aggregated,255,254,297,
188,Seagrass,Cool Temperate,Dry,Aggregated,0,N/A,N/A,
189,Mangrove,Cool Temperate,Dry,Aggregated,0,N/A,N/A,
190,Tidal Marsh,Cool Temperate,Moist,Aggregated,255,254,297,
191,Seagrass,Cool Temperate,Moist,Aggregated,0,N/A,N/A,
192,Mangrove,Cool Temperate,Moist,Aggregated,0,N/A,N/A,
193,Tidal Marsh,Warm Temperate,Dry,Aggregated,255,254,297,
194,Seagrass,Warm Temperate,Dry,Aggregated,0,N/A,N/A,
195,Mangrove,Warm Temperate,Dry,Aggregated,386,351,424,
196,Tidal Marsh,Warm Temperate,Moist,Aggregated,255,254,297,
197,Seagrass,Warm Temperate,Moist,Aggregated,0,N/A,N/A,
198,Mangrove,Warm Temperate,Moist,Aggregated,386,351,424,
199,Tidal Marsh,Tropical,Dry,Aggregated,255,254,297,
200,Seagrass,Tropical,Dry,Aggregated,0,N/A,N/A,
201,Mangrove,Tropical,Dry,Aggregated,386,351,424,
202,Tidal Marsh,Tropical,Moist,Aggregated,255,254,297,
203,Seagrass,Tropical,Moist,Aggregated,0,N/A,N/A,
204,Mangrove,Tropical,Moist,Aggregated,386,351,424,
205,Tidal Marsh,Tropical,Wet,Aggregated,255,254,297,
206,Seagrass,Tropical,Wet,Aggregated,0,N/A,N/A,
207,Mangrove,Tropical,Wet,Aggregated,386,351,424,
208,Tidal Marsh,Tropical Montane,Dry,Aggregated,255,254,297,
209,Seagrass,Tropical Montane,Dry,Aggregated,0,N/A,N/A,
210,Mangrove,Tropical Montane,Dry,Aggregated,386,351,424,
