id,climate,moisture,land_use_type,value,value_min,value_max,"Source: 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands, IPCC (2014), tables 4.13."
98,Boreal,Dry,Tidal Marsh,7.9,5.2,11.8,
99,Boreal,Dry,Seagrass,7.9,5.2,11.8,
100,Boreal,Dry,Mangrove,7.9,5.2,11.8,
101,Boreal,Moist,Tidal Marsh,7.9,5.2,11.8,
102,Boreal,Moist,Seagrass,7.9,5.2,11.8,
103,Boreal,Moist,Mangrove,7.9,5.2,11.8,
104,Cool Temperate,Dry,Tidal Marsh,7.9,5.2,11.8,
105,Cool Temperate,Dry,Seagrass,7.9,5.2,11.8,
106,Cool Temperate,Dry,Mangrove,7.9,5.2,11.8,
107,Cool Temperate,Moist,Tidal Marsh,7.9,5.2,11.8,
108,Cool Temperate,Moist,Seagrass,7.9,5.2,11.8,
109,Cool Temperate,Moist,Mangrove,7.9,5.2,11.8,
110,Warm Temperate,Dry,Tidal Marsh,7.9,5.2,11.8,
111,Warm Temperate,Dry,Seagrass,7.9,5.2,11.8,
112,Warm Temperate,Dry,Mangrove,7.9,5.2,11.8,
113,Warm Temperate,Moist,Tidal Marsh,7.9,5.2,11.8,
114,Warm Temperate,Moist,Seagrass,7.9,5.2,11.8,
115,Warm Temperate,Moist,Mangrove,7.9,5.2,11.8,
116,Tropical,Dry,Tidal Marsh,7.9,5.2,11.8,
117,Tropical,Dry,Seagrass,7.9,5.2,11.8,
118,Tropical,Dry,Mangrove,7.9,5.2,11.8,
119,Tropical,Moist,Tidal Marsh,7.9,5.2,11.8,
120,Tropical,Moist,Seagrass,7.9,5.2,11.8,
121,Tropical,Moist,Mangrove,7.9,5.2,11.8,
122,Tropical,Wet,Tidal Marsh,7.9,5.2,11.8,
123,Tropical,Wet,Seagrass,7.9,5.2,11.8,
124,Tropical,Wet,Mangrove,7.9,5.2,11.8,
125,Tropical Montane,Dry,Tidal Marsh,7.9,5.2,11.8,
126,Tropical Montane,Dry,Seagrass,7.9,5.2,11.8,
127,Tropical Montane,Dry,Mangrove,7.9,5.2,11.8,
