id,fuel_type,t_co2_eq,net_calorific_value,co2,ch4,n2o,density,co2_min,co2_max,ch4_min,ch4_max,n2o_min,n2o_max,"Source: 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2006), Volume 2 Energy, tables 2.5 (AFOLU categories), 3.2.2, 3.3.1."
30,Motor Gasoline,2.289273336,44.3,69300,10,0.6,741,67500,73000,3,30,0.2,2,
31,Gasoil /Diesel Oil,2.682733149,43,74100,10,0.6,837,72600,74800,3,30,0.2,2,
32,Waste Oil / Lubrificants,2.81609241,40.2,73300,10,0.6,950,71900,75200,3,30,0.2,2,
33,Lpg,1.595005405,47.3,63100,5,0.1,533,61600,65600,1.5,15,0.03,0.3,
34,Natural Gas,0.002074208,48,56100,5,0.1,0.768,54300,58300,1.5,15,0.03,0.3,
39,Ethanol (Cars),0.042807312,27,1508,18,,788,N/A,N/A,13,84,,,
40,Ethanol (Trucks),0.418137228,27,1508,260,41,788,N/A,N/A,77,880,13,123,
41,Diesel,2.943891043,43,74100,4.15,28.6,837,72600,74800,1.67,10.4,14.3,85.8,
42,Gasoline (2-Stroke),2.407021274,44.3,69300,140,0.4,741,67500,73000,56,350,0.2,1.2,
43,Gasoline (4-Stroke),2.365791441,44.3,69300,80,2,741,67500,73000,32,200,1,6,
44,Wood,0.147576,15.6,112000,300,4,,95000,132000,100,900,1.5,15,
45,Peat,0.08560496,9.76,106000,300,1.4,,100000,108000,100,900,0.5,5,
46,Charcoal,0.1730175,29.5,112000,200,1,,95000,132000,70,600,0.3,3,
47,Solar,0,0,0,0,0,0,0,0,0,0,0,0,
