id,climate,moisture,organic_input_type,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 5.5."
121,Boreal,Moist,Low C input,0.92,0.7912,1.0488,
122,Boreal,Dry,Low C input,0.95,0.8265,1.0735,
123,Cool Temperate,Moist,Low C input,0.92,0.7912,1.0488,
124,Cool Temperate,Dry,Low C input,0.95,0.8265,1.0735,
125,Warm Temperate,Moist,Low C input,0.92,0.7912,1.0488,
126,Warm Temperate,Dry,Low C input,0.95,0.8265,1.0735,
127,Tropical,Moist,Low C input,0.92,0.7912,1.0488,
128,Tropical,Dry,Low C input,0.95,0.8265,1.0735,
129,Tropical,Wet,Low C input,0.92,0.7912,1.0488,
130,Tropical Montane,Moist,Low C input,0.94,0.47,1.41,
131,Tropical Montane,Dry,Low C input,0.94,0.47,1.41,
132,Tropical Montane,Wet,Low C input,0.94,0.47,1.41,
133,Boreal,Moist,"High C input, no manure",1.11,0.999,1.221,
134,Boreal,Dry,"High C input, no manure",1.04,0.9048,1.1752,
135,Cool Temperate,Moist,"High C input, no manure",1.11,0.999,1.221,
136,Cool Temperate,Dry,"High C input, no manure",1.04,0.9048,1.1752,
137,Warm Temperate,Moist,"High C input, no manure",1.11,0.999,1.221,
138,Warm Temperate,Dry,"High C input, no manure",1.04,0.9048,1.1752,
139,Tropical,Moist,"High C input, no manure",1.11,0.999,1.221,
140,Tropical,Dry,"High C input, no manure",1.04,0.9048,1.1752,
141,Tropical,Wet,"High C input, no manure",1.11,0.999,1.221,
142,Tropical Montane,Moist,"High C input, no manure",1.08,0.54,1.62,
143,Tropical Montane,Dry,"High C input, no manure",1.08,0.54,1.62,
144,Tropical Montane,Wet,"High C input, no manure",1.08,0.54,1.62,
145,Boreal,Moist,"High C input, with manure",1.44,1.2528,1.6272,
146,Boreal,Dry,"High C input, with manure",1.37,1.2056,1.5344,
147,Cool Temperate,Moist,"High C input, with manure",1.44,1.2528,1.6272,
148,Cool Temperate,Dry,"High C input, with manure",1.37,1.2056,1.5344,
149,Warm Temperate,Moist,"High C input, with manure",1.44,1.2528,1.6272,
150,Warm Temperate,Dry,"High C input, with manure",1.37,1.2056,1.5344,
151,Tropical,Moist,"High C input, with manure",1.44,1.2528,1.6272,
152,Tropical,Dry,"High C input, with manure",1.37,1.2056,1.5344,
153,Tropical,Wet,"High C input, with manure",1.44,1.2528,1.6272,
154,Tropical Montane,Moist,"High C input, with manure",1.41,0.705,2.115,
155,Tropical Montane,Dry,"High C input, with manure",1.41,0.705,2.115,
156,Tropical Montane,Wet,"High C input, with manure",1.41,0.705,2.115,
157,Boreal,Moist,Medium C input,1,N/A,N/A,
158,Boreal,Dry,Medium C input,1,N/A,N/A,
159,Cool Temperate,Moist,Medium C input,1,N/A,N/A,
160,Cool Temperate,Dry,Medium C input,1,N/A,N/A,
161,Warm Temperate,Moist,Medium C input,1,N/A,N/A,
162,Warm Temperate,Dry,Medium C input,1,N/A,N/A,
163,Tropical,Moist,Medium C input,1,N/A,N/A,
164,Tropical,Dry,Medium C input,1,N/A,N/A,
165,Tropical,Wet,Medium C input,1,N/A,N/A,
166,Tropical Montane,Moist,Medium C input,1,N/A,N/A,
167,Tropical Montane,Dry,Medium C input,1,N/A,N/A,
168,Tropical Montane,Wet,Medium C input,1,N/A,N/A,
