id,climate,forest_type,land_use_type,co2,ch4,n2o,value,co2_min,co2_max,ch4_min,ch4_max,n2o_min,n2o_max,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 2.5, 2.6."
1,Tropical,Natural,Rainforest,1580,6.8,0.2,0.32,1490,1670,4.8,8.8,N/A,N/A,0.2,0.44,
2,Tropical,Natural,Moist Deciduous Forest,1580,6.8,0.2,0.36,1490,1670,4.8,8.8,N/A,N/A,0.23,0.49,
3,Tropical,Natural,Dry Forest,1580,6.8,0.2,0.36,1490,1670,4.8,8.8,N/A,N/A,0.23,0.49,
4,Tropical,Natural,Shrubland,1580,6.8,0.2,0.72,1490,1670,4.8,8.8,N/A,N/A,0.47,0.97,
5,Tropical,Natural,Mangrove Forest,1580,6.8,0.2,0.32,1490,1670,4.8,8.8,N/A,N/A,0.2,0.44,
6,Tropical,Plantation,Rainforest,1580,6.8,0.2,0.32,1490,1670,4.8,8.8,N/A,N/A,0.2,0.44,
7,Tropical,Plantation,Moist Deciduous Forest,1580,6.8,0.2,0.36,1490,1670,4.8,8.8,N/A,N/A,0.23,0.49,
8,Tropical,Plantation,Dry Forest,1580,6.8,0.2,0.36,1490,1670,4.8,8.8,N/A,N/A,0.23,0.49,
9,Tropical,Plantation,Shrubland,1580,6.8,0.2,0.72,1490,1670,4.8,8.8,N/A,N/A,0.47,0.97,
10,Warm Temperate,Natural,Humid Forest,1569,4.7,0.26,0.36,1438,1700,2.8,6.6,0.19,0.33,0.23,0.49,
11,Warm Temperate,Natural,Dry Forest,1569,4.7,0.26,0.36,1438,1700,2.8,6.6,0.19,0.33,0.23,0.49,
12,Warm Temperate,Natural,Steppe,1569,4.7,0.26,0.74,1438,1700,2.8,6.6,0.19,0.33,N/A,N/A,
13,Warm Temperate,Natural,Mountain System,1569,4.7,0.26,0.36,1438,1700,2.8,6.6,0.19,0.33,0.23,0.49,
14,Warm Temperate,Plantation,Humid Forest,1569,4.7,0.26,0.36,1438,1700,2.8,6.6,0.19,0.33,0.23,0.49,
15,Warm Temperate,Plantation,Dry Forest,1569,4.7,0.26,0.36,1438,1700,2.8,6.6,0.19,0.33,0.23,0.49,
16,Warm Temperate,Plantation,Steppe,1569,4.7,0.26,0.74,1438,1700,2.8,6.6,0.19,0.33,N/A,N/A,
17,Warm Temperate,Plantation,Mountain System,1569,4.7,0.26,0.36,1438,1700,2.8,6.6,0.19,0.33,0.23,0.49,
18,Warm Temperate,Natural,Mangrove Forest,1580,6.8,0.2,0.32,1490,1670,4.8,8.8,N/A,N/A,0.2,0.44,
19,Cool Temperate,Natural,Oceanic Forest,1569,4.7,0.26,0.45,1438,1700,2.8,6.6,0.19,0.33,0.29,0.61,
20,Cool Temperate,Natural,Continental Forest,1569,4.7,0.26,0.45,1438,1700,2.8,6.6,0.19,0.33,0.29,0.61,
21,Cool Temperate,Natural,Mountain System,1569,4.7,0.26,0.45,1438,1700,2.8,6.6,0.19,0.33,0.29,0.61,
22,Cool Temperate,Natural,Desert,1569,4.7,0.26,0.45,1438,1700,2.8,6.6,0.19,0.33,0.29,0.61,
23,Cool Temperate,Natural,Steppe,1569,4.7,0.26,0.45,1438,1700,2.8,6.6,0.19,0.33,0.29,0.61,
24,Cool Temperate,Plantation,Oceanic Forest,1569,4.7,0.26,0.45,1438,1700,2.8,6.6,0.19,0.33,0.29,0.61,
25,Cool Temperate,Plantation,Continental Forest,1569,4.7,0.26,0.45,1438,1700,2.8,6.6,0.19,0.33,0.29,0.61,
26,Cool Temperate,Plantation,Mountain System,1569,4.7,0.26,0.45,1438,1700,2.8,6.6,0.19,0.33,0.29,0.61,
27,Cool Temperate,Plantation,Desert,1569,4.7,0.26,0.45,1438,1700,2.8,6.6,0.19,0.33,0.29,0.61,
28,Cool Temperate,Plantation,Steppe,1569,4.7,0.26,0.45,1438,1700,2.8,6.6,0.19,0.33,0.29,0.61,
29,Boreal,Natural,Coniferous Forest,1569,4.7,0.26,0.34,1438,1700,2.8,6.6,0.19,0.33,0.17,0.51,
30,Boreal,Natural,Tundra Woodland,1569,4.7,0.26,0.34,1438,1700,2.8,6.6,0.19,0.33,0.17,0.51,
31,Boreal,Natural,Mountain System,1569,4.7,0.26,0.34,1438,1700,2.8,6.6,0.19,0.33,0.17,0.51,
32,Boreal,Plantation,Coniferous Forest,1569,4.7,0.26,0.34,1438,1700,2.8,6.6,0.19,0.33,0.17,0.51,
33,Boreal,Plantation,Tundra Woodland,1569,4.7,0.26,0.34,1438,1700,2.8,6.6,0.19,0.33,0.17,0.51,
34,Boreal,Plantation,Mountain System,1569,4.7,0.26,0.34,1438,1700,2.8,6.6,0.19,0.33,0.17,0.51,
35,Tropical,Natural,Mountain System,1580,6.8,0.2,0.36,1490,1670,4.8,8.8,N/A,N/A,0.23,0.49,
36,Tropical,Plantation,Mountain System,1580,6.8,0.2,0.36,1490,1670,4.8,8.8,N/A,N/A,0.23,0.49,
