id,grassland_management_type,climate,fmg,flu,fi,fmg_min,fmg_max,flu_min,flu_max,fi_min,fi_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 6.2."
162,Improved With High Inputs,Boreal,1.14,1,1.11,1.0146,1.2654,N/A,N/A,0.9879,1.2321,
163,Improved With High Inputs,Cool Temperate,1.14,1,1.11,1.0146,1.2654,N/A,N/A,0.9879,1.2321,
164,Improved With High Inputs,Tropical,1.17,1,1.11,1.0647,1.2753,N/A,N/A,0.9879,1.2321,
165,Improved With High Inputs,Tropical Montane,1.16,1,1.11,0.696,1.624,N/A,N/A,0.9879,1.2321,
166,Improved With High Inputs,Warm Temperate,1.14,1,1.11,1.0146,1.2654,N/A,N/A,0.9879,1.2321,
167,Improved Grassland,Boreal,1.14,1,1,1.0146,1.2654,N/A,N/A,N/A,N/A,
168,Improved Grassland,Cool Temperate,1.14,1,1,1.0146,1.2654,N/A,N/A,N/A,N/A,
169,Improved Grassland,Tropical,1.17,1,1,1.0647,1.2753,N/A,N/A,N/A,N/A,
170,Improved Grassland,Tropical Montane,1.16,1,1,0.696,1.624,N/A,N/A,N/A,N/A,
171,Improved Grassland,Warm Temperate,1.14,1,1,1.0146,1.2654,N/A,N/A,N/A,N/A,
172,Improved With Medium Inputs,Boreal,1.14,1,1,1.0146,1.2654,N/A,N/A,N/A,N/A,
173,Improved With Medium Inputs,Cool Temperate,1.14,1,1,1.0146,1.2654,N/A,N/A,N/A,N/A,
174,Improved With Medium Inputs,Tropical,1.17,1,1,1.0647,1.2753,N/A,N/A,N/A,N/A,
175,Improved With Medium Inputs,Tropical Montane,1.16,1,1,0.696,1.624,N/A,N/A,N/A,N/A,
176,Improved With Medium Inputs,Warm Temperate,1.14,1,1,1.0146,1.2654,N/A,N/A,N/A,N/A,
177,Severely Degraded,Boreal,0.7,1,1,0.42,0.98,N/A,N/A,N/A,N/A,
178,Severely Degraded,Tropical,0.7,1,1,0.42,0.98,N/A,N/A,N/A,N/A,
179,Severely Degraded,Cool Temperate,0.7,1,1,0.42,0.98,N/A,N/A,N/A,N/A,
180,Severely Degraded,Warm Temperate,0.7,1,1,0.42,0.98,N/A,N/A,N/A,N/A,
181,Severely Degraded,Tropical Montane,0.7,1,1,0.42,0.98,N/A,N/A,N/A,N/A,
182,High Intensity Grazing,Boreal,0.9,1,1,0.828,0.972,N/A,N/A,N/A,N/A,
183,High Intensity Grazing,Tropical,0.9,1,1,0.828,0.972,N/A,N/A,N/A,N/A,
184,High Intensity Grazing,Cool Temperate,0.9,1,1,0.828,0.972,N/A,N/A,N/A,N/A,
185,High Intensity Grazing,Warm Temperate,0.9,1,1,0.828,0.972,N/A,N/A,N/A,N/A,
186,High Intensity Grazing,Tropical Montane,0.9,1,1,0.828,0.972,N/A,N/A,N/A,N/A,
187,Non-Degraded,Boreal,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,
188,Non-Degraded,Tropical,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,
189,Non-Degraded,Cool Temperate,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,
190,Non-Degraded,Warm Temperate,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,
191,Non-Degraded,Tropical Montane,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,
