id,input_type,climate,moisture,water_regime_type,co2_value,n2o_value,co2_eq_value,co2_value_min,co2_value_max,n2o_value_min,n2o_value_max,co2_eq_value_min,co2_eq_value_max,"Source: 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2006), Volume 4 AFOLU, Ch. 11.3.1, Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 11.1, Lal, R. 2004. Carbon emission from farm operations. Environment International, 30(7) : 981–990. https://doi.org/10.1016/j.envint.2004.03.005"
523,Limestone,Tropical,Dry,,0.12,,0.586666667,0.06,0.12,N/A,N/A,0.99,0.183333333,
524,Limestone,Tropical,Wet,,0.12,,0.586666667,0.06,0.12,N/A,N/A,0.99,0.183333333,
525,Limestone,Tropical,Moist,,0.12,,0.586666667,0.06,0.12,N/A,N/A,0.99,0.183333333,
526,Limestone,Tropical Montane,Dry,,0.12,,0.586666667,0.06,0.12,N/A,N/A,0.99,0.183333333,
527,Limestone,Tropical Montane,Wet,,0.12,,0.586666667,0.06,0.12,N/A,N/A,0.99,0.183333333,
528,Limestone,Tropical Montane,Moist,,0.12,,0.586666667,0.06,0.12,N/A,N/A,0.99,0.183333333,
529,Limestone,Boreal,Dry,,0.12,,0.586666667,0.06,0.12,N/A,N/A,0.99,0.183333333,
530,Limestone,Boreal,Wet,,0.12,,0.586666667,0.06,0.12,N/A,N/A,0.99,0.183333333,
531,Limestone,Boreal,Moist,,0.12,,0.586666667,0.06,0.12,N/A,N/A,0.99,0.183333333,
532,Limestone,Cool Temperate,Dry,,0.12,,0.586666667,0.06,0.12,N/A,N/A,0.99,0.183333333,
533,Limestone,Cool Temperate,Wet,,0.12,,0.586666667,0.06,0.12,N/A,N/A,0.99,0.183333333,
534,Limestone,Cool Temperate,Moist,,0.12,,0.586666667,0.06,0.12,N/A,N/A,0.99,0.183333333,
535,Limestone,Warm Temperate,Dry,,0.12,,0.586666667,0.06,0.12,N/A,N/A,0.99,0.183333333,
536,Limestone,Warm Temperate,Wet,,0.12,,0.586666667,0.06,0.12,N/A,N/A,0.99,0.183333333,
537,Limestone,Warm Temperate,Moist,,0.12,,0.586666667,0.06,0.12,N/A,N/A,0.99,0.183333333,
538,Dolomite,Tropical,Dry,,0.13,,0.586666667,0.065,0.13,N/A,N/A,0.99,0.183333333,
539,Dolomite,Tropical,Wet,,0.13,,0.586666667,0.065,0.13,N/A,N/A,0.99,0.183333333,
540,Dolomite,Tropical,Moist,,0.13,,0.586666667,0.065,0.13,N/A,N/A,0.99,0.183333333,
541,Dolomite,Tropical Montane,Dry,,0.13,,0.586666667,0.065,0.13,N/A,N/A,0.99,0.183333333,
542,Dolomite,Tropical Montane,Wet,,0.13,,0.586666667,0.065,0.13,N/A,N/A,0.99,0.183333333,
543,Dolomite,Tropical Montane,Moist,,0.13,,0.586666667,0.065,0.13,N/A,N/A,0.99,0.183333333,
544,Dolomite,Boreal,Dry,,0.13,,0.586666667,0.065,0.13,N/A,N/A,0.99,0.183333333,
545,Dolomite,Boreal,Wet,,0.13,,0.586666667,0.065,0.13,N/A,N/A,0.99,0.183333333,
546,Dolomite,Boreal,Moist,,0.13,,0.586666667,0.065,0.13,N/A,N/A,0.99,0.183333333,
547,Dolomite,Cool Temperate,Dry,,0.13,,0.586666667,0.065,0.13,N/A,N/A,0.99,0.183333333,
548,Dolomite,Cool Temperate,Wet,,0.13,,0.586666667,0.065,0.13,N/A,N/A,0.99,0.183333333,
549,Dolomite,Cool Temperate,Moist,,0.13,,0.586666667,0.065,0.13,N/A,N/A,0.99,0.183333333,
550,Dolomite,Warm Temperate,Dry,,0.13,,0.586666667,0.065,0.13,N/A,N/A,0.99,0.183333333,
551,Dolomite,Warm Temperate,Wet,,0.13,,0.586666667,0.065,0.13,N/A,N/A,0.99,0.183333333,
552,Dolomite,Warm Temperate,Moist,,0.13,,0.586666667,0.065,0.13,N/A,N/A,0.99,0.183333333,
553,Not Specified,Tropical,Dry,,0.125,,0.586666667,0.0625,0.125,N/A,N/A,0.99,0.183333333,
554,Not Specified,Tropical,Wet,,0.125,,0.586666667,0.0625,0.125,N/A,N/A,0.99,0.183333333,
555,Not Specified,Tropical,Moist,,0.125,,0.586666667,0.0625,0.125,N/A,N/A,0.99,0.183333333,
556,Not Specified,Tropical Montane,Dry,,0.125,,0.586666667,0.0625,0.125,N/A,N/A,0.99,0.183333333,
557,Not Specified,Tropical Montane,Wet,,0.125,,0.586666667,0.0625,0.125,N/A,N/A,0.99,0.183333333,
558,Not Specified,Tropical Montane,Moist,,0.125,,0.586666667,0.0625,0.125,N/A,N/A,0.99,0.183333333,
559,Not Specified,Boreal,Dry,,0.125,,0.586666667,0.0625,0.125,N/A,N/A,0.99,0.183333333,
560,Not Specified,Boreal,Wet,,0.125,,0.586666667,0.0625,0.125,N/A,N/A,0.99,0.183333333,
561,Not Specified,Boreal,Moist,,0.125,,0.586666667,0.0625,0.125,N/A,N/A,0.99,0.183333333,
562,Not Specified,Cool Temperate,Dry,,0.125,,0.586666667,0.0625,0.125,N/A,N/A,0.99,0.183333333,
563,Not Specified,Cool Temperate,Wet,,0.125,,0.586666667,0.0625,0.125,N/A,N/A,0.99,0.183333333,
564,Not Specified,Cool Temperate,Moist,,0.125,,0.586666667,0.0625,0.125,N/A,N/A,0.99,0.183333333,
565,Not Specified,Warm Temperate,Dry,,0.125,,0.586666667,0.0625,0.125,N/A,N/A,0.99,0.183333333,
566,Not Specified,Warm Temperate,Wet,,0.125,,0.586666667,0.0625,0.125,N/A,N/A,0.99,0.183333333,
567,Not Specified,Warm Temperate,Moist,,0.125,,0.586666667,0.0625,0.125,N/A,N/A,0.99,0.183333333,
568,Urea,Tropical,Dry,,,0.005,4.766666667,N/A,N/A,0,0.011,3.666666667,5.866666667,
569,Urea,Tropical,Wet,,,0.016,4.766666667,N/A,N/A,0.013,0.019,3.666666667,5.866666667,
570,Urea,Tropical,Moist,,,0.0105,4.766666667,N/A,N/A,0.0065,0.015,3.666666667,5.866666667,
571,Urea,Tropical Montane,Dry,,,0.005,4.766666667,N/A,N/A,0,0.011,3.666666667,5.866666667,
572,Urea,Tropical Montane,Wet,,,0.005,4.766666667,N/A,N/A,0,0.011,3.666666667,5.866666667,
573,Urea,Tropical Montane,Moist,,,0.005,4.766666667,N/A,N/A,0,0.011,3.666666667,5.866666667,
574,Urea,Boreal,Dry,,,0.005,4.766666667,N/A,N/A,0,0.011,3.666666667,5.866666667,
575,Urea,Boreal,Wet,,,0.016,4.766666667,N/A,N/A,0.013,0.019,3.666666667,5.866666667,
576,Urea,Boreal,Moist,,,0.0105,4.766666667,N/A,N/A,0.0065,0.015,3.666666667,5.866666667,
577,Urea,Cool Temperate,Dry,,,0.005,4.766666667,N/A,N/A,0,0.011,3.666666667,5.866666667,
578,Urea,Cool Temperate,Wet,,,0.016,4.766666667,N/A,N/A,0.013,0.019,3.666666667,5.866666667,
579,Urea,Cool Temperate,Moist,,,0.0105,4.766666667,N/A,N/A,0.0065,0.015,3.666666667,5.866666667,
580,Urea,Warm Temperate,Dry,,,0.005,4.766666667,N/A,N/A,0,0.011,3.666666667,5.866666667,
581,Urea,Warm Temperate,Wet,,,0.016,4.766666667,N/A,N/A,0.013,0.019,3.666666667,5.866666667,
582,Urea,Warm Temperate,Moist,,,0.0105,4.766666667,N/A,N/A,0.0065,0.015,3.666666667,5.866666667,
583,Synthetic N-Fertilizers Other Than Urea,Tropical,Dry,,,0.005,4.766666667,N/A,N/A,0,0.011,3.666666667,5.866666667,
584,Synthetic N-Fertilizers Other Than Urea,Tropical,Wet,,,0.016,4.766666667,N/A,N/A,0.013,0.019,3.666666667,5.866666667,
585,Synthetic N-Fertilizers Other Than Urea,Tropical,Moist,,,0.0105,4.766666667,N/A,N/A,0.0065,0.015,3.666666667,5.866666667,
586,Synthetic N-Fertilizers Other Than Urea,Tropical Montane,Dry,,,0.005,4.766666667,N/A,N/A,0,0.011,3.666666667,5.866666667,
587,Synthetic N-Fertilizers Other Than Urea,Tropical Montane,Wet,,,0.005,4.766666667,N/A,N/A,0,0.011,3.666666667,5.866666667,
588,Synthetic N-Fertilizers Other Than Urea,Tropical Montane,Moist,,,0.005,4.766666667,N/A,N/A,0,0.011,3.666666667,5.866666667,
589,Synthetic N-Fertilizers Other Than Urea,Boreal,Dry,,,0.005,4.766666667,N/A,N/A,0,0.011,3.666666667,5.866666667,
590,Synthetic N-Fertilizers Other Than Urea,Boreal,Wet,,,0.016,4.766666667,N/A,N/A,0.013,0.019,3.666666667,5.866666667,
591,Synthetic N-Fertilizers Other Than Urea,Boreal,Moist,,,0.0105,4.766666667,N/A,N/A,0.0065,0.015,3.666666667,5.866666667,
592,Synthetic N-Fertilizers Other Than Urea,Cool Temperate,Dry,,,0.005,4.766666667,N/A,N/A,0,0.011,3.666666667,5.866666667,
593,Synthetic N-Fertilizers Other Than Urea,Cool Temperate,Wet,,,0.016,4.766666667,N/A,N/A,0.013,0.019,3.666666667,5.866666667,
594,Synthetic N-Fertilizers Other Than Urea,Cool Temperate,Moist,,,0.0105,4.766666667,N/A,N/A,0.0065,0.015,3.666666667,5.866666667,
595,Synthetic N-Fertilizers Other Than Urea,Warm Temperate,Dry,,,0.005,4.766666667,N/A,N/A,0,0.011,3.666666667,5.866666667,
596,Synthetic N-Fertilizers Other Than Urea,Warm Temperate,Wet,,,0.016,4.766666667,N/A,N/A,0.013,0.019,3.666666667,5.866666667,
597,Synthetic N-Fertilizers Other Than Urea,Warm Temperate,Moist,,,0.0105,4.766666667,N/A,N/A,0.0065,0.015,3.666666667,5.866666667,
598,N-Fertilizers In Continuously Irrigated Rice,Tropical,Dry,,,0.003,4.766666667,N/A,N/A,0,0.01,3.666666667,5.866666667,
599,N-Fertilizers In Continuously Irrigated Rice,Tropical,Wet,,,0.003,4.766666667,N/A,N/A,0,0.01,3.666666667,5.866666667,
600,N-Fertilizers In Continuously Irrigated Rice,Tropical,Moist,,,0.003,4.766666667,N/A,N/A,0,0.01,3.666666667,5.866666667,
601,N-Fertilizers In Continuously Irrigated Rice,Tropical Montane,Dry,,,0.003,4.766666667,N/A,N/A,0,0.01,3.666666667,5.866666667,
602,N-Fertilizers In Continuously Irrigated Rice,Tropical Montane,Wet,,,0.003,4.766666667,N/A,N/A,0,0.01,3.666666667,5.866666667,
603,N-Fertilizers In Continuously Irrigated Rice,Tropical Montane,Moist,,,0.003,4.766666667,N/A,N/A,0,0.01,3.666666667,5.866666667,
604,N-Fertilizers In Continuously Irrigated Rice,Boreal,Dry,,,0.003,4.766666667,N/A,N/A,0,0.01,3.666666667,5.866666667,
605,N-Fertilizers In Continuously Irrigated Rice,Boreal,Wet,,,0.003,4.766666667,N/A,N/A,0,0.01,3.666666667,5.866666667,
606,N-Fertilizers In Continuously Irrigated Rice,Boreal,Moist,,,0.003,4.766666667,N/A,N/A,0,0.01,3.666666667,5.866666667,
607,N-Fertilizers In Continuously Irrigated Rice,Cool Temperate,Dry,,,0.003,4.766666667,N/A,N/A,0,0.01,3.666666667,5.866666667,
608,N-Fertilizers In Continuously Irrigated Rice,Cool Temperate,Wet,,,0.003,4.766666667,N/A,N/A,0,0.01,3.666666667,5.866666667,
609,N-Fertilizers In Continuously Irrigated Rice,Cool Temperate,Moist,,,0.003,4.766666667,N/A,N/A,0,0.01,3.666666667,5.866666667,
610,N-Fertilizers In Continuously Irrigated Rice,Warm Temperate,Dry,,,0.003,4.766666667,N/A,N/A,0,0.01,3.666666667,5.866666667,
611,N-Fertilizers In Continuously Irrigated Rice,Warm Temperate,Wet,,,0.003,4.766666667,N/A,N/A,0,0.01,3.666666667,5.866666667,
612,N-Fertilizers In Continuously Irrigated Rice,Warm Temperate,Moist,,,0.003,4.766666667,N/A,N/A,0,0.01,3.666666667,5.866666667,
613,N-Fertilizers In Wet And Dry Irrigated Rice,Tropical,Dry,,,0.005,4.766666667,N/A,N/A,0,0.016,3.666666667,5.866666667,
614,N-Fertilizers In Wet And Dry Irrigated Rice,Tropical,Wet,,,0.005,4.766666667,N/A,N/A,0,0.016,3.666666667,5.866666667,
615,N-Fertilizers In Wet And Dry Irrigated Rice,Tropical,Moist,,,0.005,4.766666667,N/A,N/A,0,0.016,3.666666667,5.866666667,
616,N-Fertilizers In Wet And Dry Irrigated Rice,Tropical Montane,Dry,,,0.005,4.766666667,N/A,N/A,0,0.016,3.666666667,5.866666667,
617,N-Fertilizers In Wet And Dry Irrigated Rice,Tropical Montane,Wet,,,0.005,4.766666667,N/A,N/A,0,0.016,3.666666667,5.866666667,
618,N-Fertilizers In Wet And Dry Irrigated Rice,Tropical Montane,Moist,,,0.005,4.766666667,N/A,N/A,0,0.016,3.666666667,5.866666667,
619,N-Fertilizers In Wet And Dry Irrigated Rice,Boreal,Dry,,,0.005,4.766666667,N/A,N/A,0,0.016,3.666666667,5.866666667,
620,N-Fertilizers In Wet And Dry Irrigated Rice,Boreal,Wet,,,0.005,4.766666667,N/A,N/A,0,0.016,3.666666667,5.866666667,
621,N-Fertilizers In Wet And Dry Irrigated Rice,Boreal,Moist,,,0.005,4.766666667,N/A,N/A,0,0.016,3.666666667,5.866666667,
622,N-Fertilizers In Wet And Dry Irrigated Rice,Cool Temperate,Dry,,,0.005,4.766666667,N/A,N/A,0,0.016,3.666666667,5.866666667,
623,N-Fertilizers In Wet And Dry Irrigated Rice,Cool Temperate,Wet,,,0.005,4.766666667,N/A,N/A,0,0.016,3.666666667,5.866666667,
624,N-Fertilizers In Wet And Dry Irrigated Rice,Cool Temperate,Moist,,,0.005,4.766666667,N/A,N/A,0,0.016,3.666666667,5.866666667,
625,N-Fertilizers In Wet And Dry Irrigated Rice,Warm Temperate,Dry,,,0.005,4.766666667,N/A,N/A,0,0.016,3.666666667,5.866666667,
626,N-Fertilizers In Wet And Dry Irrigated Rice,Warm Temperate,Wet,,,0.005,4.766666667,N/A,N/A,0,0.016,3.666666667,5.866666667,
627,N-Fertilizers In Wet And Dry Irrigated Rice,Warm Temperate,Moist,,,0.005,4.766666667,N/A,N/A,0,0.016,3.666666667,5.866666667,
628,Sewage,Tropical,Dry,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
629,Sewage,Tropical,Wet,,,0.006,,N/A,N/A,0.001,0.011,N/A,N/A,
630,Sewage,Tropical,Moist,,,0.0055,,N/A,N/A,0.0005,0.011,N/A,N/A,
631,Sewage,Tropical Montane,Dry,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
632,Sewage,Tropical Montane,Wet,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
633,Sewage,Tropical Montane,Moist,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
634,Sewage,Boreal,Dry,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
635,Sewage,Boreal,Wet,,,0.006,,N/A,N/A,0.001,0.011,N/A,N/A,
636,Sewage,Boreal,Moist,,,0.0055,,N/A,N/A,0.0005,0.011,N/A,N/A,
637,Sewage,Cool Temperate,Dry,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
638,Sewage,Cool Temperate,Wet,,,0.006,,N/A,N/A,0.001,0.011,N/A,N/A,
639,Sewage,Cool Temperate,Moist,,,0.0055,,N/A,N/A,0.0005,0.011,N/A,N/A,
640,Sewage,Warm Temperate,Dry,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
641,Sewage,Warm Temperate,Wet,,,0.006,,N/A,N/A,0.001,0.011,N/A,N/A,
642,Sewage,Warm Temperate,Moist,,,0.0055,,N/A,N/A,0.0005,0.011,N/A,N/A,
643,Compost,Tropical,Dry,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
644,Compost,Tropical,Wet,,,0.006,,N/A,N/A,0.001,0.011,N/A,N/A,
645,Compost,Tropical,Moist,,,0.0055,,N/A,N/A,0.0005,0.011,N/A,N/A,
646,Compost,Tropical Montane,Dry,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
