id,climate,moisture,land_use_type,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 5.5."
536,Boreal,Dry,Annual Cropland,0.77,0.6622,0.8778,
537,Boreal,Dry,Annual Fallow,0.93,0.8277,1.0323,
538,Boreal,Dry,Flooded Rice,1.35,1.296,1.404,
539,Boreal,Dry,Grassland,1,0.5,1.5,
540,Boreal,Dry,Other Land (Non-Vegetated),1,0.5,1.5,
541,Boreal,Dry,Agroforestry - Default,0.72,0.5616,0.8784,
542,Boreal,Dry,Alley Cropping,0.72,0.5616,0.8784,
543,Boreal,Dry,Perennial Fallow,0.72,0.5616,0.8784,
544,Boreal,Dry,Hedgerow,0.72,0.5616,0.8784,
545,Boreal,Dry,Multistrata,0.72,0.5616,0.8784,
546,Boreal,Dry,Parkland,0.72,0.5616,0.8784,
547,Boreal,Dry,Shaded Perennial,0.72,0.5616,0.8784,
548,Boreal,Dry,Silvoarable,0.72,0.5616,0.8784,
549,Boreal,Dry,Silvopasture,0.72,0.5616,0.8784,
550,Boreal,Dry,Degraded Land,0.385,0.3311,0.4389,
551,Boreal,Dry,Oil Palm,0.72,0.5616,0.8784,
552,Boreal,Dry,Rubber,0.72,0.5616,0.8784,
553,Boreal,Dry,Tea,0.72,0.5616,0.8784,
554,Boreal,Dry,Olive,0.72,0.5616,0.8784,
555,Boreal,Dry,Orchard,0.72,0.5616,0.8784,
556,Boreal,Dry,Short Rotation Coppice,0.72,0.5616,0.8784,
557,Boreal,Dry,Vine,0.72,0.5616,0.8784,
558,Boreal,Moist,Annual Cropland,0.7,0.616,0.784,
559,Boreal,Moist,Annual Fallow,0.82,0.6806,0.9594,
560,Boreal,Moist,Flooded Rice,1.35,1.296,1.404,
561,Boreal,Moist,Grassland,1,0.5,1.5,
562,Boreal,Moist,Other Land (Non-Vegetated),1,0.5,1.5,
563,Boreal,Moist,Agroforestry - Default,0.72,0.5616,0.8784,
564,Boreal,Moist,Alley Cropping,0.72,0.5616,0.8784,
565,Boreal,Moist,Perennial Fallow,0.72,0.5616,0.8784,
566,Boreal,Moist,Hedgerow,0.72,0.5616,0.8784,
567,Boreal,Moist,Multistrata,0.72,0.5616,0.8784,
568,Boreal,Moist,Parkland,0.72,0.5616,0.8784,
569,Boreal,Moist,Shaded Perennial,0.72,0.5616,0.8784,
