id,land_use_type,co2,ch4,n2o,value,co2_min,co2_max,ch4_min,ch4_max,n2o_min,n2o_max,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 2.5, 2.6."
23,Agroforestry - Default,1613,2.3,0.21,0.8,1518,1708,1.4,3.2,0.11,0.31,N/A,N/A,
22,Rubber,1613,2.3,0.21,0.8,1518,1708,1.4,3.2,0.11,0.31,N/A,N/A,
21,Oil Palm,1613,2.3,0.21,0.8,1518,1708,1.4,3.2,0.11,0.31,N/A,N/A,
20,Vine,1613,2.3,0.21,0.8,1518,1708,1.4,3.2,0.11,0.31,N/A,N/A,
19,Tea,1613,2.3,0.21,0.8,1518,1708,1.4,3.2,0.11,0.31,N/A,N/A,
18,Short Rotation Coppice,1613,2.3,0.21,0.8,1518,1708,1.4,3.2,0.11,0.31,N/A,N/A,
17,Orchard,1613,2.3,0.21,0.8,1518,1708,1.4,3.2,0.11,0.31,N/A,N/A,
16,Olive,1613,2.3,0.21,0.8,1518,1708,1.4,3.2,0.11,0.31,N/A,N/A,
15,Silvopasture,1613,2.3,0.21,0.8,1518,1708,1.4,3.2,0.11,0.31,N/A,N/A,
14,Silvoarable,1613,2.3,0.21,0.8,1518,1708,1.4,3.2,0.11,0.31,N/A,N/A,
13,Shaded Perennial,1613,2.3,0.21,0.8,1518,1708,1.4,3.2,0.11,0.31,N/A,N/A,
12,Parkland,1613,2.3,0.21,0.8,1518,1708,1.4,3.2,0.11,0.31,N/A,N/A,
11,Multistrata,1613,2.3,0.21,0.8,1518,1708,1.4,3.2,0.11,0.31,N/A,N/A,
10,Hedgerow,1613,2.3,0.21,0.8,1518,1708,1.4,3.2,0.11,0.31,N/A,N/A,
9,Perennial Fallow,1613,2.3,0.21,0.8,1518,1708,1.4,3.2,0.11,0.31,N/A,N/A,
8,Alley Cropping,1613,2.3,0.21,0.8,1518,1708,1.4,3.2,0.11,0.31,N/A,N/A,
7,Grassland,1613,2.3,0.21,0.8,1518,1708,1.4,3.2,0.11,0.31,N/A,N/A,
6,Flooded Rice,1515,2.7,0.07,0.4,1338,1692,N/A,N/A,N/A,N/A,0.18,0.62,
5,Other Land (Non-Vegetated),0,0,0,0,,,,,,,,,
4,Other Land,1613,2.3,0.21,0.8,1518,1708,1.4,3.2,0.11,0.31,N/A,N/A,
1,Annual Cropland,1515,2.7,0.07,0.4,1338,1692,N/A,N/A,N/A,N/A,0.18,0.62,
