id,climate,moisture,land_use_type,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables  5.5, 6.2, and 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2006), Volume 4 AFOLU, table 5.5"
692,Warm Temperate,Moist,Vine,0.72,0.5616,0.8784,
691,Warm Temperate,Moist,Short Rotation Coppice,0.72,0.5616,0.8784,
690,Warm Temperate,Moist,Orchard,0.72,0.5616,0.8784,
689,Warm Temperate,Moist,Olive,0.72,0.5616,0.8784,
688,Warm Temperate,Moist,Tea,0.72,0.5616,0.8784,
687,Warm Temperate,Moist,Rubber,0.72,0.5616,0.8784,
686,Warm Temperate,Moist,Oil Palm,0.72,0.5616,0.8784,
685,Warm Temperate,Moist,Other Land,0.33,N/A,N/A,
684,Warm Temperate,Moist,Silvopasture,0.72,0.5616,0.8784,
683,Warm Temperate,Moist,Silvoarable,0.72,0.5616,0.8784,
682,Warm Temperate,Moist,Shaded Perennial,0.72,0.5616,0.8784,
681,Warm Temperate,Moist,Parkland,0.72,0.5616,0.8784,
680,Warm Temperate,Moist,Multistrata,0.72,0.5616,0.8784,
679,Warm Temperate,Moist,Hedgerow,0.72,0.5616,0.8784,
678,Warm Temperate,Moist,Perennial Fallow,0.72,0.5616,0.8784,
677,Warm Temperate,Moist,Alley Cropping,0.72,0.5616,0.8784,
676,Warm Temperate,Moist,Agroforestry - Default,0.72,0.5616,0.8784,
675,Warm Temperate,Moist,Other Land (Non-Vegetated),1,N/A,N/A,
674,Warm Temperate,Moist,Grassland,1,0.5,1.5,
673,Warm Temperate,Moist,Flooded Rice,1.35,1.296,1.404,
671,Warm Temperate,Moist,Annual Cropland,0.69,0.5796,0.8004,
670,Warm Temperate,Dry,Vine,0.72,0.5616,0.8784,
669,Warm Temperate,Dry,Short Rotation Coppice,0.72,0.5616,0.8784,
668,Warm Temperate,Dry,Orchard,0.72,0.5616,0.8784,
667,Warm Temperate,Dry,Olive,0.72,0.5616,0.8784,
666,Warm Temperate,Dry,Tea,0.72,0.5616,0.8784,
665,Warm Temperate,Dry,Rubber,0.72,0.5616,0.8784,
664,Warm Temperate,Dry,Oil Palm,0.72,0.5616,0.8784,
663,Warm Temperate,Dry,Other Land,0.33,N/A,N/A,
662,Warm Temperate,Dry,Silvopasture,0.72,0.5616,0.8784,
661,Warm Temperate,Dry,Silvoarable,0.72,0.5616,0.8784,
660,Warm Temperate,Dry,Shaded Perennial,0.72,0.5616,0.8784,
659,Warm Temperate,Dry,Parkland,0.72,0.5616,0.8784,
658,Warm Temperate,Dry,Multistrata,0.72,0.5616,0.8784,
657,Warm Temperate,Dry,Hedgerow,0.72,0.5616,0.8784,
656,Warm Temperate,Dry,Perennial Fallow,0.72,0.5616,0.8784,
655,Warm Temperate,Dry,Alley Cropping,0.72,0.5616,0.8784,
654,Warm Temperate,Dry,Agroforestry - Default,0.72,0.5616,0.8784,
653,Warm Temperate,Dry,Other Land (Non-Vegetated),1,N/A,N/A,
652,Warm Temperate,Dry,Grassland,1,0.5,1.5,
651,Warm Temperate,Dry,Flooded Rice,1.35,1.296,1.404,
649,Warm Temperate,Dry,Annual Cropland,0.76,0.6688,0.8512,
648,Tropical Montane,Dry,Vine,1,0.5,1.5,
647,Tropical Montane,Dry,Short Rotation Coppice,1,0.5,1.5,
646,Tropical Montane,Dry,Orchard,1,0.5,1.5,
645,Tropical Montane,Dry,Olive,1,0.5,1.5,
644,Tropical Montane,Dry,Tea,1,0.5,1.5,
643,Tropical Montane,Dry,Rubber,1,0.5,1.5,
642,Tropical Montane,Dry,Oil Palm,1,0.5,1.5,
641,Tropical Montane,Dry,Other Land,0.33,N/A,N/A,
640,Tropical Montane,Dry,Silvopasture,1,0.5,1.5,
639,Tropical Montane,Dry,Silvoarable,1,0.5,1.5,
638,Tropical Montane,Dry,Shaded Perennial,1,0.5,1.5,
637,Tropical Montane,Dry,Parkland,1,0.5,1.5,
636,Tropical Montane,Dry,Multistrata,1,0.5,1.5,
635,Tropical Montane,Dry,Hedgerow,1,0.5,1.5,
634,Tropical Montane,Dry,Perennial Fallow,1,0.5,1.5,
633,Tropical Montane,Dry,Alley Cropping,1,0.5,1.5,
632,Tropical Montane,Dry,Agroforestry - Default,1,0.5,1.5,
631,Tropical Montane,Dry,Other Land (Non-Vegetated),1,N/A,N/A,
630,Tropical Montane,Dry,Grassland,1,0.5,1.5,
629,Tropical Montane,Dry,Flooded Rice,1.35,1.296,1.404,
627,Tropical Montane,Dry,Annual Cropland,0.64,0.6688,0.8512,
626,Tropical,Wet,Vine,1.01,0.6688,0.8512,
625,Tropical,Wet,Short Rotation Coppice,1.01,0.6688,0.8512,
624,Tropical,Wet,Orchard,1.01,0.6688,0.8512,
623,Tropical,Wet,Olive,1.01,0.6688,0.8512,
622,Tropical,Wet,Tea,1.01,0.6688,0.8512,
621,Tropical,Wet,Rubber,1.01,0.6688,0.8512,
620,Tropical,Wet,Oil Palm,1.01,0.6688,0.8512,
619,Tropical,Wet,Other Land,0.33,N/A,N/A,
618,Tropical,Wet,Silvopasture,1.01,0.6688,0.8512,
617,Tropical,Wet,Silvoarable,1.01,0.6688,0.8512,
616,Tropical,Wet,Shaded Perennial,1.01,0.6688,0.8512,
615,Tropical,Wet,Parkland,1.01,0.6688,0.8512,
614,Tropical,Wet,Multistrata,1.01,0.6688,0.8512,
613,Tropical,Wet,Hedgerow,1.01,0.6688,0.8512,
612,Tropical,Wet,Perennial Fallow,1.01,0.6688,0.8512,
611,Tropical,Wet,Alley Cropping,1.01,0.6688,0.8512,
610,Tropical,Wet,Agroforestry - Default,1.01,0.6688,0.8512,
609,Tropical,Wet,Other Land (Non-Vegetated),1,N/A,N/A,
608,Tropical,Wet,Grassland,1,0.5,1.5,
607,Tropical,Wet,Flooded Rice,1.35,1.296,1.404,
605,Tropical,Wet,Annual Cropland,0.83,0.6688,0.8512,
604,Tropical,Moist,Vine,1.01,0.6688,0.8512,
603,Tropical,Moist,Short Rotation Coppice,1.01,0.6688,0.8512,
602,Tropical,Moist,Orchard,1.01,0.6688,0.8512,
601,Tropical,Moist,Olive,1.01,0.6688,0.8512,
600,Tropical,Moist,Tea,1.01,0.6688,0.8512,
599,Tropical,Moist,Rubber,1.01,0.6688,0.8512,
598,Tropical,Moist,Oil Palm,1.01,0.6688,0.8512,
597,Tropical,Moist,Other Land,0.33,N/A,N/A,
596,Tropical,Moist,Silvopasture,1.01,0.6688,0.8512,
595,Tropical,Moist,Silvoarable,1.01,0.6688,0.8512,
594,Tropical,Moist,Shaded Perennial,1.01,0.6688,0.8512,
593,Tropical,Moist,Parkland,1.01,0.6688,0.8512,
592,Tropical,Moist,Multistrata,1.01,0.6688,0.8512,
591,Tropical,Moist,Hedgerow,1.01,0.6688,0.8512,
590,Tropical,Moist,Perennial Fallow,1.01,0.6688,0.8512,
589,Tropical,Moist,Alley Cropping,1.01,0.6688,0.8512,
588,Tropical,Moist,Agroforestry - Default,1.01,0.6688,0.8512,
587,Tropical,Moist,Other Land (Non-Vegetated),1,N/A,N/A,
586,Tropical,Moist,Grassland,1,0.5,1.5,
585,Tropical,Moist,Flooded Rice,1.35,1.296,1.404,
583,Tropical,Moist,Annual Cropland,0.83,0.6688,0.8512,
582,Tropical,Dry,Vine,1.01,0.6688,0.8512,
581,Tropical,Dry,Short Rotation Coppice,1.01,0.6688,0.8512,
580,Tropical,Dry,Orchard,1.01,0.6688,0.8512,
579,Tropical,Dry,Olive,1.01,0.6688,0.8512,
578,Tropical,Dry,Tea,1.01,0.6688,0.8512,
577,Tropical,Dry,Rubber,1.01,0.6688,0.8512,
576,Tropical,Dry,Oil Palm,1.01,0.6688,0.8512,
575,Tropical,Dry,Other Land,0.33,N/A,N/A,
574,Tropical,Dry,Silvopasture,1.01,0.6688,0.8512,
573,Tropical,Dry,Silvoarable,1.01,0.6688,0.8512,
572,Tropical,Dry,Shaded Perennial,1.01,0.6688,0.8512,
571,Tropical,Dry,Parkland,1.01,0.6688,0.8512,
570,Tropical,Dry,Multistrata,1.01,0.6688,0.8512,
569,Tropical,Dry,Hedgerow,1.01,0.6688,0.8512,
568,Tropical,Dry,Perennial Fallow,1.01,0.6688,0.8512,
567,Tropical,Dry,Alley Cropping,1.01,0.6688,0.8512,
566,Tropical,Dry,Agroforestry - Default,1.01,0.6688,0.8512,
565,Tropical,Dry,Other Land (Non-Vegetated),1,N/A,N/A,
564,Tropical,Dry,Grassland,1,0.5,1.5,
563,Tropical,Dry,Flooded Rice,1.35,1.296,1.404,
561,Tropical,Dry,Annual Cropland,0.92,0.6688,0.8512,
560,Cool Temperate,Moist,Vine,0.72,0.5616,0.8784,
559,Cool Temperate,Moist,Short Rotation Coppice,0.72,0.5616,0.8784,
558,Cool Temperate,Moist,Orchard,0.72,0.5616,0.8784,
557,Cool Temperate,Moist,Olive,0.72,0.5616,0.8784,
556,Cool Temperate,Moist,Tea,0.72,0.5616,0.8784,
555,Cool Temperate,Moist,Rubber,0.72,0.5616,0.8784,
554,Cool Temperate,Moist,Oil Palm,0.72,0.5616,0.8784,
553,Cool Temperate,Moist,Other Land,0.33,N/A,N/A,
552,Cool Temperate,Moist,Silvopasture,0.72,0.5616,0.8784,
551,Cool Temperate,Moist,Silvoarable,0.72,0.5616,0.8784,
550,Cool Temperate,Moist,Shaded Perennial,0.72,0.5616,0.8784,
549,Cool Temperate,Moist,Parkland,0.72,0.5616,0.8784,
548,Cool Temperate,Moist,Multistrata,0.72,0.5616,0.8784,
547,Cool Temperate,Moist,Hedgerow,0.72,0.5616,0.8784,
546,Cool Temperate,Moist,Perennial Fallow,0.72,0.5616,0.8784,
545,Cool Temperate,Moist,Alley Cropping,0.72,0.5616,0.8784,
544,Cool Temperate,Moist,Agroforestry - Default,0.72,0.5616,0.8784,
543,Cool Temperate,Moist,Other Land (Non-Vegetated),1,N/A,N/A,
542,Cool Temperate,Moist,Grassland,1,0.5,1.5,
541,Cool Temperate,Moist,Flooded Rice,1.35,1.296,1.404,
539,Cool Temperate,Moist,Annual Cropland,0.7,0.6688,0.8512,
538,Cool Temperate,Dry,Vine,0.72,0.5616,0.8784,
537,Cool Temperate,Dry,Short Rotation Coppice,0.72,0.5616,0.8784,
536,Cool Temperate,Dry,Orchard,0.72,0.5616,0.8784,
535,Cool Temperate,Dry,Olive,0.72,0.5616,0.8784,
534,Cool Temperate,Dry,Tea,0.72,0.5616,0.8784,
533,Cool Temperate,Dry,Rubber,0.72,0.5616,0.8784,
532,Cool Temperate,Dry,Oil Palm,0.72,0.5616,0.8784,
531,Cool Temperate,Dry,Other Land,0.33,N/A,N/A,
530,Cool Temperate,Dry,Silvopasture,0.72,0.5616,0.8784,
529,Cool Temperate,Dry,Silvoarable,0.72,0.5616,0.8784,
528,Cool Temperate,Dry,Shaded Perennial,0.72,0.5616,0.8784,
527,Cool Temperate,Dry,Parkland,0.72,0.5616,0.8784,
526,Cool Temperate,Dry,Multistrata,0.72,0.5616,0.8784,
525,Cool Temperate,Dry,Hedgerow,0.72,0.5616,0.8784,
524,Cool Temperate,Dry,Perennial Fallow,0.72,0.5616,0.8784,
523,Cool Temperate,Dry,Alley Cropping,0.72,0.5616,0.8784,
522,Cool Temperate,Dry,Agroforestry - Default,0.72,0.5616,0.8784,
521,Cool Temperate,Dry,Other Land (Non-Vegetated),1,N/A,N/A,
520,Cool Temperate,Dry,Grassland,1,0.5,1.5,
519,Cool Temperate,Dry,Flooded Rice,1.35,1.296,1.404,
517,Cool Temperate,Dry,Annual Cropland,0.77,0.6688,0.8512,
516,Boreal,Moist,Vine,0.72,0.5616,0.8784,
515,Boreal,Moist,Short Rotation Coppice,0.72,0.5616,0.8784,
514,Boreal,Moist,Orchard,0.72,0.5616,0.8784,
513,Boreal,Moist,Olive,0.72,0.5616,0.8784,
