id,country,n,area_2014_km2,mg_c_ha,sd,score,n_min,n_max,mg_c_ha_min,mg_c_ha_max,area_2014_min,area_2014_max,sd_min,sd_max,score_min,score_max,"Source: Atwood, T.B., Connolly, R.M., Almahasheer, H., Carnell, P.E., Duarte, C.M., Ewers Lewis, C.J., Irigoien, X. et al. 2017. Global patterns in mangrove soil carbon stocks and losses. Nature Climate Change, 7(7): 523–528. https://doi.org/10.1038/nclimate3326"
98,Antigua And Barbuda,0,1.7,283,,,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
99,Australia,269,3314.7,249.4,154.02,15.8,N/A,N/A,95.38,403.42,N/A,N/A,N/A,N/A,N/A,N/A,
100,Bahamas,2,36.8,80.7,14.57,14,N/A,N/A,66.13,95.27,N/A,N/A,N/A,N/A,N/A,N/A,
101,Bangladesh,11,1772.7,118.01,28.83,18.2,N/A,N/A,89.18,146.84,N/A,N/A,N/A,N/A,N/A,N/A,
102,Barbados,0,0.1,283,,,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
103,Belize,13,302,647.05,69.85,15.2,N/A,N/A,577.2,716.9,N/A,N/A,N/A,N/A,N/A,N/A,
104,Benin,3,7,234.68,52.29,18,N/A,N/A,182.39,286.97,N/A,N/A,N/A,N/A,N/A,N/A,
105,Bermuda,0,0,283,,,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
106,Brazil,41,7662.7,307.79,130.56,15.2,N/A,N/A,177.23,438.35,N/A,N/A,N/A,N/A,N/A,N/A,
107,Brunei Darussalam,0,103.3,283,,,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
108,Cambodia,0,320,283,,,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
109,Cameroon,6,1112.5,596.64,347.69,15.5,N/A,N/A,248.95,944.33,N/A,N/A,N/A,N/A,N/A,N/A,
110,China,34,30.7,186.18,67.29,13.6,N/A,N/A,118.89,253.47,N/A,N/A,N/A,N/A,N/A,N/A,
111,Colombia,4,1671.7,448.93,164.23,13,N/A,N/A,284.7,613.16,N/A,N/A,N/A,N/A,N/A,N/A,
112,Comoros,0,0.7,283,,,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
113,Congo,3,70.4,470.1,384.74,16.3,N/A,N/A,85.36,854.84,N/A,N/A,N/A,N/A,N/A,N/A,
114,Costa Rica,0,335,283,,,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
116,Cuba,0,1624.2,283,,,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
117,Democratic Republic Of The Congo,3,146.1,935.67,84.72,,N/A,N/A,850.95,1020.39,N/A,N/A,N/A,N/A,N/A,N/A,
118,Djibouti,0,0.2,283,,,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
119,Dominican Republic,9,100.6,419.08,88.3,19,N/A,N/A,330.78,507.38,N/A,N/A,N/A,N/A,N/A,N/A,
120,Ecuador,12,935.4,327.03,60.58,13.5,N/A,N/A,266.45,387.61,N/A,N/A,N/A,N/A,N/A,N/A,
121,Egypt,43,0,184.75,54.79,12.2,N/A,N/A,129.96,239.54,N/A,N/A,N/A,N/A,N/A,N/A,
122,El Salvador,0,236,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
123,Equatorial Guinea,0,155,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
124,Eritrea,0,1.3,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
125,Fiji,0,400.8,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
126,French Guiana,31,697.8,185.35,129.05,15.9,N/A,N/A,56.3,314.4,N/A,N/A,N/A,N/A,N/A,N/A,
127,Gabon,3,1081.2,736.07,192.43,17,N/A,N/A,543.64,928.5,N/A,N/A,N/A,N/A,N/A,N/A,
128,Gambia,0,48.1,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
129,Ghana,3,23.4,245.36,39.76,13,N/A,N/A,205.6,285.12,N/A,N/A,N/A,N/A,N/A,N/A,
130,Grenada,0,1.1,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
131,Guadeloupe,31,697.8,185.35,129.05,15.9,N/A,N/A,56.3,314.4,N/A,N/A,N/A,N/A,N/A,N/A,
132,Guatemala,0,253,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
133,Guinea,0,819.9,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
134,Guinea-Bissau,2,744.7,125.55,56.36,18,N/A,N/A,69.19,181.91,N/A,N/A,N/A,N/A,N/A,N/A,
135,Guyana,0,187.7,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
136,Haiti,0,42.3,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
137,Honduras,18,523.6,397.34,141.93,17,N/A,N/A,255.41,539.27,N/A,N/A,N/A,N/A,N/A,N/A,
138,India,160,791.4,252.58,90.51,13.4,N/A,N/A,162.07,343.09,N/A,N/A,N/A,N/A,N/A,N/A,
139,Indonesia,40,23142.8,359.19,180.68,14.1,N/A,N/A,178.51,539.87,N/A,N/A,N/A,N/A,N/A,N/A,
140,Iran,0,0,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
141,Jamaica,0,43.7,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
142,Japan,47,7.8,273.99,135.51,12.8,N/A,N/A,138.48,409.5,N/A,N/A,N/A,N/A,N/A,N/A,
143,Kenya,48,230,445.92,422.41,16.1,N/A,N/A,23.51,868.33,N/A,N/A,N/A,N/A,N/A,N/A,
144,Liberia,0,47,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
145,Madagascar,7,849.6,166.58,74.51,16.7,N/A,N/A,92.07,241.09,N/A,N/A,N/A,N/A,N/A,N/A,
146,Malaysia,35,4691.5,424.37,399.78,13.8,N/A,N/A,24.59,824.15,N/A,N/A,N/A,N/A,N/A,N/A,
147,Maldives,0,0.3,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
148,Mexico,38,2985,370.35,176.16,16.2,N/A,N/A,194.19,546.51,N/A,N/A,N/A,N/A,N/A,N/A,
149,Micronesia (federated States Of),27,6.9,453.28,243.65,15.3,N/A,N/A,209.63,696.93,N/A,N/A,N/A,N/A,N/A,N/A,
150,Morocco,0,0.3,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
151,Mozambique,6,1223.2,153.07,7.45,17,N/A,N/A,145.62,160.52,N/A,N/A,N/A,N/A,N/A,N/A,
152,Myanmar,0,2508.3,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
153,New Caledonia,7,97.9,400.65,75.72,14.4,N/A,N/A,324.93,476.37,N/A,N/A,N/A,N/A,N/A,N/A,
154,New Zealand,92,77.4,208.94,52.34,14.4,N/A,N/A,156.6,261.28,N/A,N/A,N/A,N/A,N/A,N/A,
155,Nicaragua,0,552.2,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
156,Nigeria,11,2653.3,234.74,44.07,15,N/A,N/A,190.67,278.81,N/A,N/A,N/A,N/A,N/A,N/A,
157,Oman,0,0,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
158,Pakistan,3,11.7,180.53,6.86,11,N/A,N/A,173.67,187.39,N/A,N/A,N/A,N/A,N/A,N/A,
159,Palau,7,47.9,481.92,84.12,15.7,N/A,N/A,397.8,566.04,N/A,N/A,N/A,N/A,N/A,N/A,
160,Panama,10,1323.1,298.95,46.43,12,N/A,N/A,252.52,345.38,N/A,N/A,N/A,N/A,N/A,N/A,
161,Papua New Guinea,6,4169,140.38,25.04,11,N/A,N/A,115.34,165.42,N/A,N/A,N/A,N/A,N/A,N/A,
162,Peru,0,14.3,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
163,Philippines,8,2059.8,227.23,162.14,15,N/A,N/A,65.09,389.37,N/A,N/A,N/A,N/A,N/A,N/A,
164,Puerto Rico,0,45.9,283,,0,N/A,N/A,283,283,N/A,N/A,N/A,N/A,N/A,N/A,
