id,climate,land_use_type,region,forest_condition_type,from_year,forest_type,agb_min,agb_max,agb_growth_min,agb_growth_max,agb_unit,agb_min_min,agb_max_max,agb_growth_min_min,agb_growth_max_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 4.7, 4.8, 4.9, 4.10, 4.12; 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2006), Volume 4 AFOLU, tables 4.12."
9884,Tropical,Rainforest,Eastern Africa,Primary,0,Natural,189.974,189.974,0.611,0.611,tC/ha,133.386,246.562,N/A,N/A,
9885,Tropical,Rainforest,Central Africa,Primary,0,Natural,189.974,189.974,0.611,0.611,tC/ha,133.386,246.562,N/A,N/A,
9886,Tropical,Rainforest,Northern Africa,Primary,0,Natural,189.974,189.974,0.611,0.611,tC/ha,133.386,246.562,N/A,N/A,
9887,Tropical,Rainforest,Southern Africa,Primary,0,Natural,189.974,189.974,0.611,0.611,tC/ha,133.386,246.562,N/A,N/A,
9888,Tropical,Rainforest,Western Africa,Primary,0,Natural,189.974,189.974,0.611,0.611,tC/ha,133.386,246.562,N/A,N/A,
9889,Tropical,Rainforest,Eastern Africa,Secondary,21,Natural,100.063,100.063,1.645,1.645,tC/ha,32.806,167.32,0.094,3.196,
9890,Tropical,Rainforest,Eastern Africa,Secondary,21,Plantation,94,141,2.35,3.76,tC/ha,7.125025481,227.8749745,N/A,N/A,
9891,Tropical,Rainforest,Central Africa,Secondary,21,Natural,100.063,100.063,1.645,1.645,tC/ha,32.806,167.32,0.094,3.196,
9892,Tropical,Rainforest,Central Africa,Secondary,21,Plantation,94,141,2.35,3.76,tC/ha,7.125025481,227.8749745,N/A,N/A,
9893,Tropical,Rainforest,Northern Africa,Secondary,21,Natural,100.063,100.063,1.645,1.645,tC/ha,32.806,167.32,0.094,3.196,
9894,Tropical,Rainforest,Northern Africa,Secondary,21,Plantation,94,141,2.35,3.76,tC/ha,7.125025481,227.8749745,N/A,N/A,
9895,Tropical,Rainforest,Southern Africa,Secondary,21,Natural,100.063,100.063,1.645,1.645,tC/ha,32.806,167.32,0.094,3.196,
9896,Tropical,Rainforest,Southern Africa,Secondary,21,Plantation,94,141,2.35,3.76,tC/ha,7.125025481,227.8749745,N/A,N/A,
9897,Tropical,Rainforest,Western Africa,Secondary,21,Natural,100.063,100.063,1.645,1.645,tC/ha,32.806,167.32,0.094,3.196,
9898,Tropical,Rainforest,Western Africa,Secondary,21,Plantation,94,141,2.35,3.76,tC/ha,7.125025481,227.8749745,N/A,N/A,
9899,Tropical,Rainforest,Eastern Africa,Secondary,0,Natural,24.816,24.816,3.572,3.572,tC/ha,8.084,41.548,0.799,6.345,
9900,Tropical,Rainforest,Eastern Africa,Secondary,0,Plantation,28.2,47,2.35,3.76,tC/ha,1.474147761,73.72585224,5.875,6.58,
9901,Tropical,Rainforest,Central Africa,Secondary,0,Natural,24.816,24.816,3.572,3.572,tC/ha,8.084,41.548,0.799,6.345,
9902,Tropical,Rainforest,Central Africa,Secondary,0,Plantation,28.2,47,2.35,3.76,tC/ha,1.474147761,73.72585224,5.875,6.58,
9903,Tropical,Rainforest,Northern Africa,Secondary,0,Natural,24.816,24.816,3.572,3.572,tC/ha,8.084,41.548,0.799,6.345,
9904,Tropical,Rainforest,Northern Africa,Secondary,0,Plantation,28.2,47,2.35,3.76,tC/ha,1.474147761,73.72585224,5.875,6.58,
9905,Tropical,Rainforest,Southern Africa,Secondary,0,Natural,24.816,24.816,3.572,3.572,tC/ha,8.084,41.548,0.799,6.345,
9906,Tropical,Rainforest,Southern Africa,Secondary,0,Plantation,28.2,47,2.35,3.76,tC/ha,1.474147761,73.72585224,5.875,6.58,
9907,Tropical,Rainforest,Western Africa,Secondary,0,Natural,24.816,24.816,3.572,3.572,tC/ha,8.084,41.548,0.799,6.345,
9908,Tropical,Rainforest,Western Africa,Secondary,0,Plantation,28.2,47,2.35,3.76,tC/ha,1.474147761,73.72585224,5.875,6.58,
9909,Tropical,Rainforest,South America,Primary,0,Natural,144.337,144.337,0.47,0.47,tC/ha,95.034,193.64,-0.47,1.41,
9910,Tropical,Rainforest,Central America,Primary,0,Natural,144.337,144.337,0.47,0.47,tC/ha,95.034,193.64,-0.47,1.41,
9911,Tropical,Rainforest,Caribbean,Primary,0,Natural,144.337,144.337,0.47,0.47,tC/ha,95.034,193.64,-0.47,1.41,
9912,Tropical,Rainforest,North America,Primary,0,Natural,144.337,144.337,0.47,0.47,tC/ha,95.034,193.64,-0.47,1.41,
9913,Tropical,Rainforest,South America,Secondary,21,Natural,97.008,97.008,1.081,1.081,tC/ha,59.22,134.796,0.564,1.598,
9914,Tropical,Rainforest,South America,Secondary,21,Plantation,70.5,141,2.35,18.8,tC/ha,4.250089833,204.8999102,3.990703136,14.6875,
9915,Tropical,Rainforest,Central America,Secondary,21,Natural,97.008,97.008,1.081,1.081,tC/ha,59.22,134.796,0.564,1.598,
9916,Tropical,Rainforest,Central America,Secondary,21,Plantation,70.5,141,2.35,18.8,tC/ha,4.250089833,204.8999102,3.990703136,14.6875,
9917,Tropical,Rainforest,Caribbean,Secondary,21,Natural,97.008,97.008,1.081,1.081,tC/ha,59.22,134.796,0.564,1.598,
9918,Tropical,Rainforest,Caribbean,Secondary,21,Plantation,70.5,141,2.35,18.8,tC/ha,4.250089833,204.8999102,3.990703136,14.6875,
9919,Tropical,Rainforest,North America,Secondary,21,Natural,97.008,97.008,1.081,1.081,tC/ha,59.22,134.796,0.564,1.598,
9920,Tropical,Rainforest,North America,Secondary,21,Plantation,70.5,141,2.35,18.8,tC/ha,4.250089833,204.8999102,3.990703136,14.6875,
9921,Tropical,Rainforest,South America,Secondary,0,Natural,35.579,35.579,2.773,2.773,tC/ha,19.364,51.794,1.598,3.948,
9922,Tropical,Rainforest,South America,Secondary,0,Plantation,70.5,141,2.35,18.8,tC/ha,2.060526138,201.6061405,3.990703136,14.6875,
9923,Tropical,Rainforest,Central America,Secondary,0,Natural,35.579,35.579,2.773,2.773,tC/ha,19.364,51.794,1.598,3.948,
9924,Tropical,Rainforest,Central America,Secondary,0,Plantation,70.5,141,2.35,18.8,tC/ha,2.060526138,201.6061405,3.990703136,14.6875,
9925,Tropical,Rainforest,Caribbean,Secondary,0,Natural,35.579,35.579,2.773,2.773,tC/ha,19.364,51.794,1.598,3.948,
9926,Tropical,Rainforest,Caribbean,Secondary,0,Plantation,70.5,141,2.35,18.8,tC/ha,2.060526138,201.6061405,3.990703136,14.6875,
9927,Tropical,Rainforest,North America,Secondary,0,Natural,35.579,35.579,2.773,2.773,tC/ha,19.364,51.794,1.598,3.948,
9928,Tropical,Rainforest,North America,Secondary,0,Plantation,70.5,141,2.35,18.8,tC/ha,2.060526138,201.6061405,3.990703136,14.6875,
9929,Tropical,Rainforest,Central Asia,Primary,0,Natural,194.157,194.157,0.329,0.329,tC/ha,133.762,254.552,-0.705,1.363,
9930,Tropical,Rainforest,Eastern Asia,Primary,0,Natural,194.157,194.157,0.329,0.329,tC/ha,133.762,254.552,-0.705,1.363,
9931,Tropical,Rainforest,South-Eastern Asia,Primary,0,Natural,194.157,194.157,0.329,0.329,tC/ha,133.762,254.552,-0.705,1.363,
9932,Tropical,Rainforest,Southern Asia,Primary,0,Natural,194.157,194.157,0.329,0.329,tC/ha,133.762,254.552,-0.705,1.363,
9933,Tropical,Rainforest,Western Asia,Primary,0,Natural,194.157,194.157,0.329,0.329,tC/ha,133.762,254.552,-0.705,1.363,
9934,Tropical,Rainforest,Central Asia,Secondary,21,Natural,61.852,61.852,1.269,1.269,tC/ha,52.123,71.581,-0.188,2.726,
9935,Tropical,Rainforest,Central Asia,Secondary,21,Plantation,22.795,241.016,0.94,3.76,tC/ha,7.663327615,220.2396724,1.60686475,3.347020561,
9936,Tropical,Rainforest,Eastern Asia,Secondary,21,Natural,61.852,61.852,1.269,1.269,tC/ha,52.123,71.581,-0.188,2.726,
9937,Tropical,Rainforest,Eastern Asia,Secondary,21,Plantation,22.795,241.016,0.94,3.76,tC/ha,7.663327615,220.2396724,1.60686475,3.347020561,
9938,Tropical,Rainforest,South-Eastern Asia,Secondary,21,Natural,61.852,61.852,1.269,1.269,tC/ha,52.123,71.581,-0.188,2.726,
9939,Tropical,Rainforest,South-Eastern Asia,Secondary,21,Plantation,22.795,241.016,0.94,3.76,tC/ha,7.663327615,220.2396724,1.60686475,3.347020561,
9940,Tropical,Rainforest,Southern Asia,Secondary,21,Natural,61.852,61.852,1.269,1.269,tC/ha,52.123,71.581,-0.188,2.726,
9941,Tropical,Rainforest,Southern Asia,Secondary,21,Plantation,22.795,241.016,0.94,3.76,tC/ha,7.663327615,220.2396724,1.60686475,3.347020561,
9942,Tropical,Rainforest,Western Asia,Secondary,21,Natural,61.852,61.852,1.269,1.269,tC/ha,52.123,71.581,-0.188,2.726,
