id,climate,region,forest_type,land_use_type,threshold,value,threshold_min,threshold_max,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 4.4."
223,Tropical,Central Africa,Natural,Rainforest,125,0.825,N/A,N/A,0.0825,1.5675,
224,Tropical,Northern Africa,Natural,Rainforest,125,0.825,N/A,N/A,0.0825,1.5675,
225,Tropical,Southern Africa,Natural,Rainforest,125,0.825,N/A,N/A,0.0825,1.5675,
226,Tropical,Western Africa,Natural,Rainforest,125,0.825,N/A,N/A,0.0825,1.5675,
227,Tropical,Central Asia,Natural,Rainforest,125,0.207,N/A,N/A,0.135,0.279,
228,Tropical,Eastern Asia,Natural,Rainforest,125,0.207,N/A,N/A,0.135,0.279,
229,Tropical,South-Eastern Asia,Natural,Rainforest,125,0.207,N/A,N/A,0.135,0.279,
230,Tropical,Southern Asia,Natural,Rainforest,125,0.207,N/A,N/A,0.135,0.279,
231,Tropical,Western Asia,Natural,Rainforest,125,0.207,N/A,N/A,0.135,0.279,
232,Tropical,Europe,Natural,Rainforest,125,0.37,N/A,N/A,#N/A,#N/A,
233,Tropical,Oceania,Natural,Rainforest,125,0.37,N/A,N/A,#N/A,#N/A,
234,Tropical,North America,Natural,Rainforest,125,0.221,N/A,N/A,0.185,0.257,
235,Tropical,South America,Natural,Rainforest,125,0.221,N/A,N/A,0.185,0.257,
236,Tropical,Central America,Natural,Rainforest,125,0.221,N/A,N/A,0.185,0.257,
237,Tropical,Caribbean,Natural,Rainforest,125,0.221,N/A,N/A,0.185,0.257,
238,Tropical,Central Africa,Natural,Moist Deciduous Forest,125,0.232,N/A,N/A,0.0232,0.4408,
239,Tropical,Northern Africa,Natural,Moist Deciduous Forest,125,0.232,N/A,N/A,0.0232,0.4408,
240,Tropical,Southern Africa,Natural,Moist Deciduous Forest,125,0.232,N/A,N/A,0.0232,0.4408,
241,Tropical,Western Africa,Natural,Moist Deciduous Forest,125,0.232,N/A,N/A,0.0232,0.4408,
242,Tropical,Central Asia,Natural,Moist Deciduous Forest,125,0.323,N/A,N/A,0.25,0.396,
243,Tropical,Eastern Asia,Natural,Moist Deciduous Forest,125,0.323,N/A,N/A,0.25,0.396,
244,Tropical,South-Eastern Asia,Natural,Moist Deciduous Forest,125,0.323,N/A,N/A,0.25,0.396,
245,Tropical,Southern Asia,Natural,Moist Deciduous Forest,125,0.323,N/A,N/A,0.25,0.396,
246,Tropical,Western Asia,Natural,Moist Deciduous Forest,125,0.323,N/A,N/A,0.25,0.396,
247,Tropical,Europe,Natural,Moist Deciduous Forest,125,0.2,N/A,N/A,0.09,0.25,
248,Tropical,Oceania,Natural,Moist Deciduous Forest,125,0.2,N/A,N/A,0.09,0.25,
249,Tropical,North America,Natural,Moist Deciduous Forest,125,0.284,N/A,N/A,0.0284,0.5396,
250,Tropical,South America,Natural,Moist Deciduous Forest,125,0.284,N/A,N/A,0.0284,0.5396,
251,Tropical,Central America,Natural,Moist Deciduous Forest,125,0.284,N/A,N/A,0.0284,0.5396,
252,Tropical,Caribbean,Natural,Moist Deciduous Forest,125,0.284,N/A,N/A,0.0284,0.5396,
253,Tropical,Central Africa,Natural,Dry Forest,125,0.332,N/A,N/A,0.085,0.579,
254,Tropical,Northern Africa,Natural,Dry Forest,125,0.332,N/A,N/A,0.085,0.579,
255,Tropical,Southern Africa,Natural,Dry Forest,125,0.332,N/A,N/A,0.085,0.579,
256,Tropical,Western Africa,Natural,Dry Forest,125,0.332,N/A,N/A,0.085,0.579,
257,Tropical,Central Asia,Natural,Dry Forest,125,0.381,N/A,N/A,0,0.777,
258,Tropical,Eastern Asia,Natural,Dry Forest,125,0.381,N/A,N/A,0,0.777,
259,Tropical,South-Eastern Asia,Natural,Dry Forest,125,0.381,N/A,N/A,0,0.777,
260,Tropical,Southern Asia,Natural,Dry Forest,125,0.381,N/A,N/A,0,0.777,
261,Tropical,Western Asia,Natural,Dry Forest,125,0.381,N/A,N/A,0,0.777,
262,Tropical,Europe,Natural,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
263,Tropical,Oceania,Natural,Dry Forest,125,0.56,N/A,N/A,0.28,0.68,
264,Tropical,North America,Natural,Dry Forest,125,0.334,N/A,N/A,0.294,0.374,
265,Tropical,South America,Natural,Dry Forest,125,0.334,N/A,N/A,0.294,0.374,
266,Tropical,Central America,Natural,Dry Forest,125,0.334,N/A,N/A,0.294,0.374,
267,Tropical,Caribbean,Natural,Dry Forest,125,0.334,N/A,N/A,0.294,0.374,
