id,climate,moisture,continent,land_use_type,value,value_min,value_max,"source: Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 5.2, 5.3, 5.9."
43448,Cool Temperate,Dry,Eastern Africa,Grains,4.7,1.175,8.225,
43449,Cool Temperate,Dry,Eastern Africa,Maize,4.7,1.175,8.225,
43450,Cool Temperate,Dry,Eastern Africa,Sugarcane,4.7,1.175,8.225,
43451,Cool Temperate,Dry,Eastern Africa,Wheat,4.7,1.175,8.225,
43452,Cool Temperate,Dry,Eastern Africa,Beans & Pulses,4.7,1.175,8.225,
43453,Cool Temperate,Dry,Eastern Africa,Tubers,4.7,1.175,8.225,
43454,Cool Temperate,Dry,Eastern Africa,Root Crops,4.7,1.175,8.225,
43455,Cool Temperate,Dry,Eastern Africa,Barley,4.7,1.175,8.225,
43456,Cool Temperate,Dry,Eastern Africa,Oats,4.7,1.175,8.225,
43457,Cool Temperate,Dry,Eastern Africa,Millet,4.7,1.175,8.225,
43458,Cool Temperate,Dry,Eastern Africa,Sorghum,4.7,1.175,8.225,
43459,Cool Temperate,Dry,Eastern Africa,Rye,4.7,1.175,8.225,
43460,Cool Temperate,Dry,Eastern Africa,Soybeans,4.7,1.175,8.225,
43461,Cool Temperate,Dry,Eastern Africa,Dry Bean,4.7,1.175,8.225,
43462,Cool Temperate,Dry,Eastern Africa,Potatoes,4.7,1.175,8.225,
43463,Cool Temperate,Dry,Eastern Africa,Peanuts,4.7,1.175,8.225,
43464,Cool Temperate,Dry,Eastern Africa,Vegetables,4.7,1.175,8.225,
43465,Cool Temperate,Dry,Eastern Africa,Oilseeds,4.7,1.175,8.225,
43466,Cool Temperate,Dry,Eastern Africa,Groundnuts,4.7,1.175,8.225,
43467,Cool Temperate,Dry,Eastern Africa,Annual Cropland,4.7,1.175,8.225,
43468,Cool Temperate,Dry,Eastern Africa,Set Aside,4.7,1.175,8.225,
43469,Cool Temperate,Dry,Eastern Africa,Flooded Rice,4.7,1.175,8.225,
43470,Cool Temperate,Dry,Eastern Africa,Grassland,3.055,0.76375,5.34625,
43471,Cool Temperate,Dry,Eastern Africa,Other Land (Non-Vegetated),0,#N/A,#N/A,
43472,Cool Temperate,Dry,Eastern Africa,Settlement,0,#N/A,#N/A,
43473,Cool Temperate,Dry,Eastern Africa,Agroforestry - Default,20.6,5.15,36.05,
43474,Cool Temperate,Dry,Eastern Africa,Hedgerow,13.1,9.301,16.899,
43475,Cool Temperate,Dry,Eastern Africa,Silvoarable,13.7,3.425,23.975,
43476,Cool Temperate,Dry,Eastern Africa,Silvopasture,35,8.75,61.25,
43477,Cool Temperate,Dry,Eastern Africa,Other Land,1,#N/A,#N/A,
43478,Cool Temperate,Dry,Eastern Africa,Olive,6.9,1.725,12.075,
43479,Cool Temperate,Dry,Eastern Africa,Orchard,6.4,1.6,11.2,
43480,Cool Temperate,Dry,Eastern Africa,Short Rotation Coppice,6.35,1.5875,11.1125,
43481,Cool Temperate,Dry,Eastern Africa,Tea,18.3,4.575,32.025,
43482,Cool Temperate,Dry,Eastern Africa,Vine,2.8,2.1,3.5,
43483,Cool Temperate,Dry,Central Africa,Grains,4.7,1.175,8.225,
43484,Cool Temperate,Dry,Central Africa,Maize,4.7,1.175,8.225,
43485,Cool Temperate,Dry,Central Africa,Sugarcane,4.7,1.175,8.225,
43486,Cool Temperate,Dry,Central Africa,Wheat,4.7,1.175,8.225,
43487,Cool Temperate,Dry,Central Africa,Beans & Pulses,4.7,1.175,8.225,
43488,Cool Temperate,Dry,Central Africa,Tubers,4.7,1.175,8.225,
43489,Cool Temperate,Dry,Central Africa,Root Crops,4.7,1.175,8.225,
43490,Cool Temperate,Dry,Central Africa,Barley,4.7,1.175,8.225,
43491,Cool Temperate,Dry,Central Africa,Oats,4.7,1.175,8.225,
43492,Cool Temperate,Dry,Central Africa,Millet,4.7,1.175,8.225,
43493,Cool Temperate,Dry,Central Africa,Sorghum,4.7,1.175,8.225,
43494,Cool Temperate,Dry,Central Africa,Rye,4.7,1.175,8.225,
43495,Cool Temperate,Dry,Central Africa,Soybeans,4.7,1.175,8.225,
43496,Cool Temperate,Dry,Central Africa,Dry Bean,4.7,1.175,8.225,
43497,Cool Temperate,Dry,Central Africa,Potatoes,4.7,1.175,8.225,
43498,Cool Temperate,Dry,Central Africa,Peanuts,4.7,1.175,8.225,
43499,Cool Temperate,Dry,Central Africa,Vegetables,4.7,1.175,8.225,
43500,Cool Temperate,Dry,Central Africa,Oilseeds,4.7,1.175,8.225,
43501,Cool Temperate,Dry,Central Africa,Groundnuts,4.7,1.175,8.225,
43502,Cool Temperate,Dry,Central Africa,Annual Cropland,4.7,1.175,8.225,
43503,Cool Temperate,Dry,Central Africa,Set Aside,4.7,1.175,8.225,
43504,Cool Temperate,Dry,Central Africa,Flooded Rice,4.7,1.175,8.225,
43505,Cool Temperate,Dry,Central Africa,Grassland,3.055,0.76375,5.34625,
43506,Cool Temperate,Dry,Central Africa,Other Land (Non-Vegetated),0,#N/A,#N/A,
43507,Cool Temperate,Dry,Central Africa,Settlement,0,#N/A,#N/A,
43508,Cool Temperate,Dry,Central Africa,Agroforestry - Default,20.6,5.15,36.05,
43509,Cool Temperate,Dry,Central Africa,Hedgerow,13.1,9.301,16.899,
43510,Cool Temperate,Dry,Central Africa,Silvoarable,13.7,3.425,23.975,
43511,Cool Temperate,Dry,Central Africa,Silvopasture,35,8.75,61.25,
43512,Cool Temperate,Dry,Central Africa,Other Land,1,#N/A,#N/A,
43513,Cool Temperate,Dry,Central Africa,Olive,6.9,1.725,12.075,
43514,Cool Temperate,Dry,Central Africa,Orchard,6.4,1.6,11.2,
43515,Cool Temperate,Dry,Central Africa,Short Rotation Coppice,6.35,1.5875,11.1125,
43516,Cool Temperate,Dry,Central Africa,Tea,18.3,4.575,32.025,
43517,Cool Temperate,Dry,Central Africa,Vine,2.8,2.1,3.5,
43518,Cool Temperate,Dry,Northern Africa,Grains,4.7,1.175,8.225,
43519,Cool Temperate,Dry,Northern Africa,Maize,4.7,1.175,8.225,
43520,Cool Temperate,Dry,Northern Africa,Sugarcane,4.7,1.175,8.225,
43521,Cool Temperate,Dry,Northern Africa,Wheat,4.7,1.175,8.225,
43522,Cool Temperate,Dry,Northern Africa,Beans & Pulses,4.7,1.175,8.225,
43523,Cool Temperate,Dry,Northern Africa,Tubers,4.7,1.175,8.225,
43524,Cool Temperate,Dry,Northern Africa,Root Crops,4.7,1.175,8.225,
43525,Cool Temperate,Dry,Northern Africa,Barley,4.7,1.175,8.225,
43526,Cool Temperate,Dry,Northern Africa,Oats,4.7,1.175,8.225,
43527,Cool Temperate,Dry,Northern Africa,Millet,4.7,1.175,8.225,
43528,Cool Temperate,Dry,Northern Africa,Sorghum,4.7,1.175,8.225,
43529,Cool Temperate,Dry,Northern Africa,Rye,4.7,1.175,8.225,
43530,Cool Temperate,Dry,Northern Africa,Soybeans,4.7,1.175,8.225,
43531,Cool Temperate,Dry,Northern Africa,Dry Bean,4.7,1.175,8.225,
43532,Cool Temperate,Dry,Northern Africa,Potatoes,4.7,1.175,8.225,
43533,Cool Temperate,Dry,Northern Africa,Peanuts,4.7,1.175,8.225,
43534,Cool Temperate,Dry,Northern Africa,Vegetables,4.7,1.175,8.225,
43535,Cool Temperate,Dry,Northern Africa,Oilseeds,4.7,1.175,8.225,
43536,Cool Temperate,Dry,Northern Africa,Groundnuts,4.7,1.175,8.225,
43537,Cool Temperate,Dry,Northern Africa,Annual Cropland,4.7,1.175,8.225,
43538,Cool Temperate,Dry,Northern Africa,Set Aside,4.7,1.175,8.225,
43539,Cool Temperate,Dry,Northern Africa,Flooded Rice,4.7,1.175,8.225,
43540,Cool Temperate,Dry,Northern Africa,Grassland,3.055,0.76375,5.34625,
43541,Cool Temperate,Dry,Northern Africa,Other Land (Non-Vegetated),0,#N/A,#N/A,
43542,Cool Temperate,Dry,Northern Africa,Settlement,0,#N/A,#N/A,
43543,Cool Temperate,Dry,Northern Africa,Agroforestry - Default,20.6,5.15,36.05,
43544,Cool Temperate,Dry,Northern Africa,Hedgerow,13.1,9.301,16.899,
43545,Cool Temperate,Dry,Northern Africa,Silvoarable,13.7,3.425,23.975,
43546,Cool Temperate,Dry,Northern Africa,Silvopasture,35,8.75,61.25,
43547,Cool Temperate,Dry,Northern Africa,Other Land,1,#N/A,#N/A,
43548,Cool Temperate,Dry,Northern Africa,Olive,6.9,1.725,12.075,
43549,Cool Temperate,Dry,Northern Africa,Orchard,6.4,1.6,11.2,
43550,Cool Temperate,Dry,Northern Africa,Short Rotation Coppice,6.35,1.5875,11.1125,
43551,Cool Temperate,Dry,Northern Africa,Tea,18.3,4.575,32.025,
43552,Cool Temperate,Dry,Northern Africa,Vine,2.8,2.1,3.5,
43553,Cool Temperate,Dry,Southern Africa,Grains,4.7,1.175,8.225,
43554,Cool Temperate,Dry,Southern Africa,Maize,4.7,1.175,8.225,
43555,Cool Temperate,Dry,Southern Africa,Sugarcane,4.7,1.175,8.225,
43556,Cool Temperate,Dry,Southern Africa,Wheat,4.7,1.175,8.225,
43557,Cool Temperate,Dry,Southern Africa,Beans & Pulses,4.7,1.175,8.225,
43558,Cool Temperate,Dry,Southern Africa,Tubers,4.7,1.175,8.225,
43559,Cool Temperate,Dry,Southern Africa,Root Crops,4.7,1.175,8.225,
43560,Cool Temperate,Dry,Southern Africa,Barley,4.7,1.175,8.225,
43561,Cool Temperate,Dry,Southern Africa,Oats,4.7,1.175,8.225,
43562,Cool Temperate,Dry,Southern Africa,Millet,4.7,1.175,8.225,
43563,Cool Temperate,Dry,Southern Africa,Sorghum,4.7,1.175,8.225,
43564,Cool Temperate,Dry,Southern Africa,Rye,4.7,1.175,8.225,
43565,Cool Temperate,Dry,Southern Africa,Soybeans,4.7,1.175,8.225,
43566,Cool Temperate,Dry,Southern Africa,Dry Bean,4.7,1.175,8.225,
43567,Cool Temperate,Dry,Southern Africa,Potatoes,4.7,1.175,8.225,
43568,Cool Temperate,Dry,Southern Africa,Peanuts,4.7,1.175,8.225,
43569,Cool Temperate,Dry,Southern Africa,Vegetables,4.7,1.175,8.225,
43570,Cool Temperate,Dry,Southern Africa,Oilseeds,4.7,1.175,8.225,
43571,Cool Temperate,Dry,Southern Africa,Groundnuts,4.7,1.175,8.225,
43572,Cool Temperate,Dry,Southern Africa,Annual Cropland,4.7,1.175,8.225,
43573,Cool Temperate,Dry,Southern Africa,Set Aside,4.7,1.175,8.225,
43574,Cool Temperate,Dry,Southern Africa,Flooded Rice,4.7,1.175,8.225,
43575,Cool Temperate,Dry,Southern Africa,Grassland,3.055,0.76375,5.34625,
43576,Cool Temperate,Dry,Southern Africa,Other Land (Non-Vegetated),0,#N/A,#N/A,
43577,Cool Temperate,Dry,Southern Africa,Settlement,0,#N/A,#N/A,
43578,Cool Temperate,Dry,Southern Africa,Agroforestry - Default,20.6,5.15,36.05,
