id,fish_type,gear_type,value,value_min,value_max,"Source: 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2006), Volume 2 Energy,Ch. 2, Ch. 3, and EX-ACT v9."
1702,Squat Lobsters,Hooks And Lines,0,N/A,N/A,
1703,Squat Lobsters,Midwater Trawls,0,N/A,N/A,
1704,Squat Lobsters,Traps And Lift Nets,0,N/A,N/A,
1705,Squat Lobsters,Surrounding Nets,0,N/A,N/A,
1706,Squat Lobsters,Dredges,0,N/A,N/A,
1707,Squat Lobsters,Other Or Mixed,165,N/A,N/A,
1708,Squat Lobsters,Mobile Seine,0,N/A,N/A,
1709,Squat Lobsters,Not Specified,165,N/A,N/A,
1710,"Squids, Cuttlefish And Octopuses",Bottom Trawls,313,N/A,N/A,
1711,"Squids, Cuttlefish And Octopuses",Gillnets And Entangling Nets,0,N/A,N/A,
1712,"Squids, Cuttlefish And Octopuses",Hooks And Lines,0,N/A,N/A,
1713,"Squids, Cuttlefish And Octopuses",Midwater Trawls,406,N/A,N/A,
1714,"Squids, Cuttlefish And Octopuses",Traps And Lift Nets,0,N/A,N/A,
1715,"Squids, Cuttlefish And Octopuses",Surrounding Nets,0,N/A,N/A,
1716,"Squids, Cuttlefish And Octopuses",Dredges,0,N/A,N/A,
1717,"Squids, Cuttlefish And Octopuses",Other Or Mixed,0,N/A,N/A,
1718,"Squids, Cuttlefish And Octopuses",Mobile Seine,0,N/A,N/A,
1719,"Squids, Cuttlefish And Octopuses",Not Specified,324.625,N/A,N/A,
1720,"Tunas, Bonitos And Billfishes",Bottom Trawls,0,N/A,N/A,
1721,"Tunas, Bonitos And Billfishes",Gillnets And Entangling Nets,683,N/A,N/A,
1722,"Tunas, Bonitos And Billfishes",Hooks And Lines,1554,N/A,N/A,
1723,"Tunas, Bonitos And Billfishes",Midwater Trawls,1649,N/A,N/A,
1724,"Tunas, Bonitos And Billfishes",Traps And Lift Nets,0,N/A,N/A,
1725,"Tunas, Bonitos And Billfishes",Surrounding Nets,433,N/A,N/A,
1726,"Tunas, Bonitos And Billfishes",Dredges,0,N/A,N/A,
1727,"Tunas, Bonitos And Billfishes",Other Or Mixed,915,N/A,N/A,
1728,"Tunas, Bonitos And Billfishes",Mobile Seine,0,N/A,N/A,
1729,"Tunas, Bonitos And Billfishes",Not Specified,1294.965517,N/A,N/A,
1500,"Abalones, Winkles And Conchs",Bottom Trawls,0,N/A,N/A,
1501,"Abalones, Winkles And Conchs",Gillnets And Entangling Nets,2162,N/A,N/A,
1502,"Abalones, Winkles And Conchs",Hooks And Lines,0,N/A,N/A,
1503,"Abalones, Winkles And Conchs",Midwater Trawls,0,N/A,N/A,
1504,"Abalones, Winkles And Conchs",Traps And Lift Nets,484,N/A,N/A,
1505,"Abalones, Winkles And Conchs",Surrounding Nets,0,N/A,N/A,
1506,"Abalones, Winkles And Conchs",Dredges,0,N/A,N/A,
1507,"Abalones, Winkles And Conchs",Other Or Mixed,839,N/A,N/A,
1508,"Abalones, Winkles And Conchs",Mobile Seine,0,N/A,N/A,
1509,"Abalones, Winkles And Conchs",Not Specified,790.5833333,N/A,N/A,
1510,"Clams, Cockles And Arkshells",Bottom Trawls,0,N/A,N/A,
1511,"Clams, Cockles And Arkshells",Gillnets And Entangling Nets,0,N/A,N/A,
1512,"Clams, Cockles And Arkshells",Hooks And Lines,0,N/A,N/A,
1513,"Clams, Cockles And Arkshells",Midwater Trawls,0,N/A,N/A,
1514,"Clams, Cockles And Arkshells",Traps And Lift Nets,1430,N/A,N/A,
1515,"Clams, Cockles And Arkshells",Surrounding Nets,0,N/A,N/A,
1516,"Clams, Cockles And Arkshells",Dredges,835,N/A,N/A,
1517,"Clams, Cockles And Arkshells",Other Or Mixed,430,N/A,N/A,
1518,"Clams, Cockles And Arkshells",Mobile Seine,0,N/A,N/A,
