id,climate,forest_type,land_use_type,litter,dw,litter_min,litter_max,dw_min,dw_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 2.2, and 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands, IPCC (2014), table 4.7."
72,Tropical,Natural,Rainforest,4.8,14.8,2.1,16.4,0.6,218.9,
73,Tropical,Natural,Moist Deciduous Forest,5.9,8,1.9,14.8,1.2,21.2,
74,Tropical,Natural,Dry Forest,2.4,9,2.1,2.7,1.3,17.3,
75,Tropical,Natural,Shrubland,0,0,N/A,N/A,N/A,N/A,
76,Warm Temperate,Natural,Humid Forest,8.7,13.2,1.2,24,0.2,43.8,
77,Warm Temperate,Natural,Dry Forest,0,64.4,N/A,N/A,14.4,134.5,
78,Warm Temperate,Natural,Steppe,0,6.8,N/A,N/A,6,7.7,
79,Warm Temperate,Natural,Mountain System,0,11.8,N/A,N/A,7.2,16.3,
80,Cool Temperate,Natural,Oceanic Forest,2.9,36.8,N/A,N/A,2.8,95,
81,Cool Temperate,Natural,Continental Forest,47.8,23,4.6,279.1,1.6,150,
82,Cool Temperate,Natural,Mountain System,3.7,37.6,3.4,3.9,1.7,181.8,
83,Cool Temperate,Natural,Desert,0,10.5,N/A,N/A,N/A,N/A,
84,Cool Temperate,Natural,Steppe,28.7,21.7,3.8,98.8,8,50,
85,Boreal,Natural,Coniferous Forest,31.4,19.7,4,117..4,2.3,76.5,
86,Boreal,Natural,Tundra Woodland,49.5,3.1,23.7,85.1,0.5,6.1,
87,Boreal,Natural,Mountain System,0,0,N/A,N/A,N/A,N/A,
88,Tropical,Natural,Mountain System,0,3.3,N/A,N/A,N/A,N/A,
89,Tropical,Plantation,Rainforest,4.8,14.8,2.1,16.4,0.6,218.9,
90,Tropical,Plantation,Moist Deciduous Forest,5.9,8,1.9,14.8,1.2,21.2,
91,Tropical,Plantation,Dry Forest,2.4,9,2.1,2.7,1.3,17.3,
92,Tropical,Plantation,Shrubland,0,0,N/A,N/A,N/A,N/A,
93,Warm Temperate,Plantation,Humid Forest,8.7,13.2,1.2,24,0.2,43.8,
94,Warm Temperate,Plantation,Dry Forest,0,64.4,N/A,N/A,14.4,134.5,
95,Warm Temperate,Plantation,Steppe,0,6.8,N/A,N/A,6,7.7,
96,Warm Temperate,Plantation,Mountain System,0,11.8,N/A,N/A,7.2,16.3,
97,Cool Temperate,Plantation,Oceanic Forest,2.9,36.8,N/A,N/A,2.8,95,
98,Cool Temperate,Plantation,Continental Forest,47.8,23,4.6,279.1,1.6,150,
99,Cool Temperate,Plantation,Mountain System,3.7,37.6,3.4,3.9,1.7,181.8,
100,Cool Temperate,Plantation,Desert,0,10.5,N/A,N/A,N/A,N/A,
101,Cool Temperate,Plantation,Steppe,28.7,21.7,3.8,98.8,8,50,
102,Boreal,Plantation,Coniferous Forest,31.4,19.7,4,117..4,2.3,76.5,
103,Boreal,Plantation,Tundra Woodland,49.5,3.1,23.7,85.1,0.5,6.1,
104,Boreal,Plantation,Mountain System,0,0,N/A,N/A,N/A,N/A,
105,Boreal,Plantation,Mountain System,0,3.3,N/A,N/A,N/A,N/A,
106,Tropical,Natural,Mangrove Forest,0.7,10.7,0,1.3,6.5,14.8,
107,Warm Temperate,Natural,Mangrove Forest,0.7,10.7,0,1.3,6.5,14.8,
108,Cool Temperate,Natural,Mangrove Forest,0.7,10.7,0,1.3,6.5,14.8,
109,Boreal,Natural,Mangrove Forest,0.7,10.7,0,1.3,6.5,14.8,
110,Tropical Montane,Natural,Mountain System,0,3.3,N/A,N/A,N/A,N/A,
111,Tropical Montane,Plantation,Mountain System,0,3.3,N/A,N/A,N/A,N/A,
