id,livestock_production_type,manure_management_type,livestock_category_type,ipcc_region,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 10A.6."
15753,High-Productivity,Lagoon,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
15754,High-Productivity,Liquid/Slurry,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
15755,High-Productivity,Solid Storage,Dairy Cattle,Sub-Saharan Africa,20,N/A,N/A,
15756,High-Productivity,Dry Lot,Dairy Cattle,Sub-Saharan Africa,29,N/A,N/A,
15757,High-Productivity,Pasture/Range/Paddock,Dairy Cattle,Sub-Saharan Africa,45,N/A,N/A,
15758,High-Productivity,Daily Spread,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
15759,High-Productivity,Digester,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
15760,High-Productivity,Burned For Fuel,Dairy Cattle,Sub-Saharan Africa,6,N/A,N/A,
15761,High-Productivity,Pit<1Month,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
15763,High-Productivity,Poultry Manure,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
15764,High-Productivity,Deep Bedding,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
15765,High-Productivity,Composting,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
15766,High-Productivity,Aerobic Treatment,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
15767,High-Productivity,Lagoon,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
15768,High-Productivity,Liquid/Slurry,Dairy Cattle,East Asia And South-East Asia,1,N/A,N/A,
15769,High-Productivity,Solid Storage,Dairy Cattle,East Asia And South-East Asia,21,N/A,N/A,
15770,High-Productivity,Dry Lot,Dairy Cattle,East Asia And South-East Asia,29,N/A,N/A,
15771,High-Productivity,Pasture/Range/Paddock,Dairy Cattle,East Asia And South-East Asia,38,N/A,N/A,
15772,High-Productivity,Daily Spread,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
15773,High-Productivity,Digester,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
15774,High-Productivity,Burned For Fuel,Dairy Cattle,East Asia And South-East Asia,11,N/A,N/A,
15775,High-Productivity,Pit<1Month,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
15777,High-Productivity,Poultry Manure,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
15778,High-Productivity,Deep Bedding,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
15779,High-Productivity,Composting,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
15780,High-Productivity,Aerobic Treatment,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
15781,High-Productivity,Lagoon,Dairy Cattle,North America,26,N/A,N/A,
15782,High-Productivity,Liquid/Slurry,Dairy Cattle,North America,24,N/A,N/A,
15783,High-Productivity,Solid Storage,Dairy Cattle,North America,24,N/A,N/A,
15784,High-Productivity,Dry Lot,Dairy Cattle,North America,0,N/A,N/A,
15785,High-Productivity,Pasture/Range/Paddock,Dairy Cattle,North America,15,N/A,N/A,
15786,High-Productivity,Daily Spread,Dairy Cattle,North America,11,N/A,N/A,
15787,High-Productivity,Digester,Dairy Cattle,North America,0,N/A,N/A,
15788,High-Productivity,Burned For Fuel,Dairy Cattle,North America,0,N/A,N/A,
15789,High-Productivity,Pit<1Month,Dairy Cattle,North America,0,N/A,N/A,
15791,High-Productivity,Poultry Manure,Dairy Cattle,North America,0,N/A,N/A,
15792,High-Productivity,Deep Bedding,Dairy Cattle,North America,0,N/A,N/A,
15793,High-Productivity,Composting,Dairy Cattle,North America,0,N/A,N/A,
15794,High-Productivity,Aerobic Treatment,Dairy Cattle,North America,0,N/A,N/A,
15795,High-Productivity,Lagoon,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15796,High-Productivity,Liquid/Slurry,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15797,High-Productivity,Solid Storage,Dairy Cattle,Latin America And The Caribbean,5,N/A,N/A,
15798,High-Productivity,Dry Lot,Dairy Cattle,Latin America And The Caribbean,38,N/A,N/A,
15799,High-Productivity,Pasture/Range/Paddock,Dairy Cattle,Latin America And The Caribbean,57,N/A,N/A,
15800,High-Productivity,Daily Spread,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15801,High-Productivity,Digester,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15802,High-Productivity,Burned For Fuel,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15803,High-Productivity,Pit<1Month,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15805,High-Productivity,Poultry Manure,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15806,High-Productivity,Deep Bedding,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15807,High-Productivity,Composting,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15808,High-Productivity,Aerobic Treatment,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15809,High-Productivity,Lagoon,Dairy Cattle,Western Europe,0,N/A,N/A,
15810,High-Productivity,Liquid/Slurry,Dairy Cattle,Western Europe,43,N/A,N/A,
15811,High-Productivity,Solid Storage,Dairy Cattle,Western Europe,29,N/A,N/A,
15812,High-Productivity,Dry Lot,Dairy Cattle,Western Europe,0,N/A,N/A,
15813,High-Productivity,Pasture/Range/Paddock,Dairy Cattle,Western Europe,26,N/A,N/A,
15814,High-Productivity,Daily Spread,Dairy Cattle,Western Europe,2,N/A,N/A,
15815,High-Productivity,Digester,Dairy Cattle,Western Europe,0,N/A,N/A,
15816,High-Productivity,Burned For Fuel,Dairy Cattle,Western Europe,0,N/A,N/A,
15817,High-Productivity,Pit<1Month,Dairy Cattle,Western Europe,0,N/A,N/A,
15819,High-Productivity,Poultry Manure,Dairy Cattle,Western Europe,0,N/A,N/A,
15820,High-Productivity,Deep Bedding,Dairy Cattle,Western Europe,0,N/A,N/A,
15821,High-Productivity,Composting,Dairy Cattle,Western Europe,0,N/A,N/A,
15822,High-Productivity,Aerobic Treatment,Dairy Cattle,Western Europe,0,N/A,N/A,
15823,High-Productivity,Lagoon,Dairy Cattle,Eastern Europe,0,N/A,N/A,
15824,High-Productivity,Liquid/Slurry,Dairy Cattle,Eastern Europe,5,N/A,N/A,
15825,High-Productivity,Solid Storage,Dairy Cattle,Eastern Europe,74,N/A,N/A,
15826,High-Productivity,Dry Lot,Dairy Cattle,Eastern Europe,0,N/A,N/A,
15827,High-Productivity,Pasture/Range/Paddock,Dairy Cattle,Eastern Europe,20,N/A,N/A,
15828,High-Productivity,Daily Spread,Dairy Cattle,Eastern Europe,1,N/A,N/A,
