id,emission_type,livestock_category_type,livestock_production_type,climate,moisture,manure_management_type,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 10.14 (footnotes)."
129771,EmissionType object (3),Breeding Swine,High-Productivity,Boreal,Dry,Liquid/Slurry,0.293333333,0.205333333,0.381333333,
129772,EmissionType object (3),Breeding Swine,High-Productivity,Boreal,Dry,Solid Storage,0.355,0.2485,0.4615,
129773,EmissionType object (3),Breeding Swine,High-Productivity,Boreal,Dry,Dry Lot,0.45,0.315,0.585,
129774,EmissionType object (3),Breeding Swine,High-Productivity,Boreal,Dry,Pasture/Range/Paddock,0.21,0.147,0.273,
129775,EmissionType object (3),Breeding Swine,High-Productivity,Boreal,Dry,Daily Spread,0.07,0.049,0.091,
129776,EmissionType object (3),Breeding Swine,High-Productivity,Boreal,Dry,Digester,0.275,0.1925,0.3575,
129777,EmissionType object (3),Breeding Swine,High-Productivity,Boreal,Dry,Burned For Fuel,0,0,0,
129778,EmissionType object (3),Breeding Swine,High-Productivity,Boreal,Dry,Pit<1Month,0.25,0.175,0.325,
129779,EmissionType object (3),Breeding Swine,High-Productivity,Boreal,Dry,Pit>1Month,0.25,0.175,0.325,
129780,EmissionType object (3),Breeding Swine,High-Productivity,Boreal,Dry,Poultry Manure,0,0,0,
129781,EmissionType object (3),Breeding Swine,High-Productivity,Boreal,Dry,Deep Bedding,0.4,0.28,0.52,
142608,EmissionType object (1),Dairy Cattle,High-Productivity,Cool Temperate,Moist,Lagoon,96.5,67.55,125.45,
142609,EmissionType object (1),Dairy Cattle,High-Productivity,Cool Temperate,Moist,Liquid/Slurry,33.8,23.66,43.94,
142610,EmissionType object (1),Dairy Cattle,High-Productivity,Cool Temperate,Moist,Solid Storage,3.2,2.24,4.16,
142611,EmissionType object (1),Dairy Cattle,High-Productivity,Cool Temperate,Moist,Dry Lot,1.6,1.12,2.08,
142612,EmissionType object (1),Dairy Cattle,High-Productivity,Cool Temperate,Moist,Pasture/Range/Paddock,0.6,0.42,0.78,
