id,ipcc_region,livestock_production_type,livestock_category_type,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 10.19."
3572,Sub-Saharan Africa,Default,Dairy Cattle,0.44,N/A,N/A,
3573,Sub-Saharan Africa,Default,Other Cattle,0.44,N/A,N/A,
3574,Sub-Saharan Africa,Default,Dairy Buffalo,0.41,N/A,N/A,
3575,Sub-Saharan Africa,Default,Other Buffalo,0.41,N/A,N/A,
3576,Sub-Saharan Africa,Default,Dairy Sheep,0.32,N/A,N/A,
3577,Sub-Saharan Africa,Default,Other Sheep,0.32,N/A,N/A,
3578,Sub-Saharan Africa,Default,Growing Swine,0.49,N/A,N/A,
3579,Sub-Saharan Africa,Default,Breeding Swine,0.29,N/A,N/A,
3580,Sub-Saharan Africa,Default,Goats,0.34,N/A,N/A,
3581,Sub-Saharan Africa,Default,Horses,0.46,N/A,N/A,
3582,Sub-Saharan Africa,Default,Camels,0.46,N/A,N/A,
3583,Sub-Saharan Africa,Default,Mules And Asses,0.46,N/A,N/A,
3584,Sub-Saharan Africa,Default,Deer,0.67,N/A,N/A,
3585,Sub-Saharan Africa,Default,Ostrich,0.34,N/A,N/A,
3586,Sub-Saharan Africa,Default,Chicken Layer,1.29,N/A,N/A,
3587,Sub-Saharan Africa,Default,Chicken Broiler,1.4,N/A,N/A,
3588,Sub-Saharan Africa,Default,Llamas And Alpacas,0,N/A,N/A,
3589,East Asia And South-East Asia,Default,Dairy Cattle,0.44,N/A,N/A,
3590,East Asia And South-East Asia,Default,Other Cattle,0.38,N/A,N/A,
3591,East Asia And South-East Asia,Default,Dairy Buffalo,0.44,N/A,N/A,
3592,East Asia And South-East Asia,Default,Other Buffalo,0.44,N/A,N/A,
3593,East Asia And South-East Asia,Default,Dairy Sheep,0.32,N/A,N/A,
3594,East Asia And South-East Asia,Default,Other Sheep,0.32,N/A,N/A,
3595,East Asia And South-East Asia,Default,Growing Swine,0.7,N/A,N/A,
3596,East Asia And South-East Asia,Default,Breeding Swine,0.37,N/A,N/A,
3597,East Asia And South-East Asia,Default,Goats,0.34,N/A,N/A,
3598,East Asia And South-East Asia,Default,Horses,0.46,N/A,N/A,
3599,East Asia And South-East Asia,Default,Camels,0.46,N/A,N/A,
3600,East Asia And South-East Asia,Default,Mules And Asses,0.46,N/A,N/A,
3601,East Asia And South-East Asia,Default,Deer,0.67,N/A,N/A,
3602,East Asia And South-East Asia,Default,Ostrich,0.34,N/A,N/A,
3603,East Asia And South-East Asia,Default,Chicken Layer,1.1,N/A,N/A,
3604,East Asia And South-East Asia,Default,Chicken Broiler,1.35,N/A,N/A,
3605,East Asia And South-East Asia,Default,Llamas And Alpacas,0,N/A,N/A,
