id,livestock_production_type,livestock_category_type,ipcc_region,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 10A.5 and 10.10."
5850,High-Productivity,Dairy Cattle,Sub-Saharan Africa,250,#N/A,#N/A,
5851,High-Productivity,Other Cattle,Sub-Saharan Africa,302,#N/A,#N/A,
5852,High-Productivity,Dairy Buffalo,Sub-Saharan Africa,339,#N/A,#N/A,
5853,High-Productivity,Other Buffalo,Sub-Saharan Africa,339,#N/A,#N/A,
5854,High-Productivity,Dairy Sheep,Sub-Saharan Africa,31,#N/A,#N/A,
5855,High-Productivity,Other Sheep,Sub-Saharan Africa,31,#N/A,#N/A,
5856,High-Productivity,Growing Swine,Sub-Saharan Africa,54,#N/A,#N/A,
5857,High-Productivity,Breeding Swine,Sub-Saharan Africa,200,#N/A,#N/A,
5858,High-Productivity,Goats,Sub-Saharan Africa,24,#N/A,#N/A,
5859,High-Productivity,Horses,Sub-Saharan Africa,238,166.6,309.4,
5860,High-Productivity,Camels,Sub-Saharan Africa,217,151.9,282.1,
5861,High-Productivity,Mules And Asses,Sub-Saharan Africa,130,91,169,
5862,High-Productivity,Deer,Sub-Saharan Africa,120,60,180,
5863,High-Productivity,Ostrich,Sub-Saharan Africa,120,#N/A,#N/A,
5864,High-Productivity,Chicken Layer,Sub-Saharan Africa,1,#N/A,#N/A,
5865,High-Productivity,Chicken Broiler,Sub-Saharan Africa,0.8,#N/A,#N/A,
5866,High-Productivity,Llamas And Alpacas,Sub-Saharan Africa,65,32.5,97.5,
5867,High-Productivity,Dairy Cattle,East Asia And South-East Asia,485,#N/A,#N/A,
5868,High-Productivity,Other Cattle,East Asia And South-East Asia,310,#N/A,#N/A,
5869,High-Productivity,Dairy Buffalo,East Asia And South-East Asia,336,#N/A,#N/A,
5870,High-Productivity,Other Buffalo,East Asia And South-East Asia,336,#N/A,#N/A,
5871,High-Productivity,Dairy Sheep,East Asia And South-East Asia,31,#N/A,#N/A,
5872,High-Productivity,Other Sheep,East Asia And South-East Asia,31,#N/A,#N/A,
5873,High-Productivity,Growing Swine,East Asia And South-East Asia,56,#N/A,#N/A,
5874,High-Productivity,Breeding Swine,East Asia And South-East Asia,160,#N/A,#N/A,
5875,High-Productivity,Goats,East Asia And South-East Asia,24,#N/A,#N/A,
5876,High-Productivity,Horses,East Asia And South-East Asia,238,166.6,309.4,
5877,High-Productivity,Camels,East Asia And South-East Asia,217,151.9,282.1,
5878,High-Productivity,Mules And Asses,East Asia And South-East Asia,130,91,169,
5879,High-Productivity,Deer,East Asia And South-East Asia,120,60,180,
5880,High-Productivity,Ostrich,East Asia And South-East Asia,120,#N/A,#N/A,
5881,High-Productivity,Chicken Layer,East Asia And South-East Asia,1.4,#N/A,#N/A,
5882,High-Productivity,Chicken Broiler,East Asia And South-East Asia,1,#N/A,#N/A,
5883,High-Productivity,Llamas And Alpacas,East Asia And South-East Asia,65,32.5,97.5,
5884,High-Productivity,Dairy Cattle,North America,650,#N/A,#N/A,
5885,High-Productivity,Other Cattle,North America,407,#N/A,#N/A,
5886,High-Productivity,Dairy Buffalo,North America,0,#N/A,#N/A,
5887,High-Productivity,Other Buffalo,North America,0,#N/A,#N/A,
5888,High-Productivity,Dairy Sheep,North America,40,#N/A,#N/A,
5889,High-Productivity,Other Sheep,North America,40,#N/A,#N/A,
5890,High-Productivity,Growing Swine,North America,61,#N/A,#N/A,
5891,High-Productivity,Breeding Swine,North America,184,#N/A,#N/A,
5892,High-Productivity,Goats,North America,41,#N/A,#N/A,
5893,High-Productivity,Horses,North America,377,263.9,490.1,
5894,High-Productivity,Camels,North America,217,151.9,282.1,
5895,High-Productivity,Mules And Asses,North America,130,91,169,
5896,High-Productivity,Deer,North America,120,60,180,
5897,High-Productivity,Ostrich,North America,120,#N/A,#N/A,
5898,High-Productivity,Chicken Layer,North America,1.4,#N/A,#N/A,
5899,High-Productivity,Chicken Broiler,North America,1.4,#N/A,#N/A,
5900,High-Productivity,Llamas And Alpacas,North America,65,32.5,97.5,
5901,High-Productivity,Dairy Cattle,Latin America And The Caribbean,520,#N/A,#N/A,
5902,High-Productivity,Other Cattle,Latin America And The Caribbean,329,#N/A,#N/A,
5903,High-Productivity,Dairy Buffalo,Latin America And The Caribbean,315,#N/A,#N/A,
5904,High-Productivity,Other Buffalo,Latin America And The Caribbean,315,#N/A,#N/A,
5905,High-Productivity,Dairy Sheep,Latin America And The Caribbean,31,#N/A,#N/A,
5906,High-Productivity,Other Sheep,Latin America And The Caribbean,31,#N/A,#N/A,
5907,High-Productivity,Growing Swine,Latin America And The Caribbean,59,#N/A,#N/A,
5908,High-Productivity,Breeding Swine,Latin America And The Caribbean,205,#N/A,#N/A,
5909,High-Productivity,Goats,Latin America And The Caribbean,24,#N/A,#N/A,
5910,High-Productivity,Horses,Latin America And The Caribbean,238,166.6,309.4,
5911,High-Productivity,Camels,Latin America And The Caribbean,217,151.9,282.1,
5912,High-Productivity,Mules And Asses,Latin America And The Caribbean,130,91,169,
5913,High-Productivity,Deer,Latin America And The Caribbean,120,60,180,
5914,High-Productivity,Ostrich,Latin America And The Caribbean,120,#N/A,#N/A,
5915,High-Productivity,Chicken Layer,Latin America And The Caribbean,1.3,#N/A,#N/A,
5916,High-Productivity,Chicken Broiler,Latin America And The Caribbean,1.2,#N/A,#N/A,
5917,High-Productivity,Llamas And Alpacas,Latin America And The Caribbean,65,32.5,97.5,
5918,High-Productivity,Dairy Cattle,Western Europe,600,#N/A,#N/A,
5919,High-Productivity,Other Cattle,Western Europe,405,#N/A,#N/A,
5920,High-Productivity,Dairy Buffalo,Western Europe,509,#N/A,#N/A,
5921,High-Productivity,Other Buffalo,Western Europe,509,#N/A,#N/A,
5922,High-Productivity,Dairy Sheep,Western Europe,40,#N/A,#N/A,
5923,High-Productivity,Other Sheep,Western Europe,40,#N/A,#N/A,
5924,High-Productivity,Growing Swine,Western Europe,61,#N/A,#N/A,
5925,High-Productivity,Breeding Swine,Western Europe,190,#N/A,#N/A,
5926,High-Productivity,Goats,Western Europe,40,#N/A,#N/A,
5927,High-Productivity,Horses,Western Europe,377,263.9,490.1,
5928,High-Productivity,Camels,Western Europe,217,151.9,282.1,
5929,High-Productivity,Mules And Asses,Western Europe,130,91,169,
5930,High-Productivity,Deer,Western Europe,120,60,180,
5931,High-Productivity,Ostrich,Western Europe,120,#N/A,#N/A,
5932,High-Productivity,Chicken Layer,Western Europe,1.4,#N/A,#N/A,
5933,High-Productivity,Chicken Broiler,Western Europe,1.2,#N/A,#N/A,
5934,High-Productivity,Llamas And Alpacas,Western Europe,65,32.5,97.5,
5935,High-Productivity,Dairy Cattle,Eastern Europe,550,#N/A,#N/A,
5936,High-Productivity,Other Cattle,Eastern Europe,389,#N/A,#N/A,
5937,High-Productivity,Dairy Buffalo,Eastern Europe,467,#N/A,#N/A,
5938,High-Productivity,Other Buffalo,Eastern Europe,467,#N/A,#N/A,
5939,High-Productivity,Dairy Sheep,Eastern Europe,40,#N/A,#N/A,
5940,High-Productivity,Other Sheep,Eastern Europe,40,#N/A,#N/A,
5941,High-Productivity,Growing Swine,Eastern Europe,59,#N/A,#N/A,
5942,High-Productivity,Breeding Swine,Eastern Europe,204,#N/A,#N/A,
5943,High-Productivity,Goats,Eastern Europe,36,#N/A,#N/A,
5944,High-Productivity,Horses,Eastern Europe,377,263.9,490.1,
5945,High-Productivity,Camels,Eastern Europe,217,151.9,282.1,
5946,High-Productivity,Mules And Asses,Eastern Europe,130,91,169,
5947,High-Productivity,Deer,Eastern Europe,120,60,180,
5948,High-Productivity,Ostrich,Eastern Europe,120,#N/A,#N/A,
5949,High-Productivity,Chicken Layer,Eastern Europe,1.3,#N/A,#N/A,
5950,High-Productivity,Chicken Broiler,Eastern Europe,1.1,#N/A,#N/A,
5951,High-Productivity,Llamas And Alpacas,Eastern Europe,65,32.5,97.5,
5952,High-Productivity,Dairy Cattle,Russian Federation,550,#N/A,#N/A,
5953,High-Productivity,Other Cattle,Russian Federation,389,#N/A,#N/A,
5954,High-Productivity,Dairy Buffalo,Russian Federation,467,#N/A,#N/A,
5955,High-Productivity,Other Buffalo,Russian Federation,467,#N/A,#N/A,
5956,High-Productivity,Dairy Sheep,Russian Federation,40,#N/A,#N/A,
5957,High-Productivity,Other Sheep,Russian Federation,40,#N/A,#N/A,
5958,High-Productivity,Growing Swine,Russian Federation,59,#N/A,#N/A,
5959,High-Productivity,Breeding Swine,Russian Federation,204,#N/A,#N/A,
5960,High-Productivity,Goats,Russian Federation,36,#N/A,#N/A,
5961,High-Productivity,Horses,Russian Federation,377,263.9,490.1,
5962,High-Productivity,Camels,Russian Federation,217,151.9,282.1,
5963,High-Productivity,Mules And Asses,Russian Federation,130,91,169,
5964,High-Productivity,Deer,Russian Federation,120,60,180,
5965,High-Productivity,Ostrich,Russian Federation,120,#N/A,#N/A,
5966,High-Productivity,Chicken Layer,Russian Federation,1.3,#N/A,#N/A,
5967,High-Productivity,Chicken Broiler,Russian Federation,1.1,#N/A,#N/A,
5968,High-Productivity,Llamas And Alpacas,Russian Federation,65,32.5,97.5,
5969,High-Productivity,Dairy Cattle,Oceania,488,#N/A,#N/A,
5970,High-Productivity,Other Cattle,Oceania,359,#N/A,#N/A,
5971,High-Productivity,Dairy Buffalo,Oceania,0,#N/A,#N/A,
5972,High-Productivity,Other Buffalo,Oceania,0,#N/A,#N/A,
5973,High-Productivity,Dairy Sheep,Oceania,40,#N/A,#N/A,
5974,High-Productivity,Other Sheep,Oceania,40,#N/A,#N/A,
5975,High-Productivity,Growing Swine,Oceania,41,#N/A,#N/A,
5976,High-Productivity,Breeding Swine,Oceania,163,#N/A,#N/A,
5977,High-Productivity,Goats,Oceania,33,#N/A,#N/A,
5978,High-Productivity,Horses,Oceania,377,263.9,490.1,
5979,High-Productivity,Camels,Oceania,217,151.9,282.1,
5980,High-Productivity,Mules And Asses,Oceania,130,91,169,
5981,High-Productivity,Deer,Oceania,120,60,180,
5982,High-Productivity,Ostrich,Oceania,120,#N/A,#N/A,
5983,High-Productivity,Chicken Layer,Oceania,1.3,#N/A,#N/A,
5984,High-Productivity,Chicken Broiler,Oceania,1.2,#N/A,#N/A,
5985,High-Productivity,Llamas And Alpacas,Oceania,65,32.5,97.5,
5986,High-Productivity,Dairy Cattle,NENA/Middle East,510,#N/A,#N/A,
5987,High-Productivity,Other Cattle,NENA/Middle East,362,#N/A,#N/A,
5988,High-Productivity,Dairy Buffalo,NENA/Middle East,381,#N/A,#N/A,
5989,High-Productivity,Other Buffalo,NENA/Middle East,381,#N/A,#N/A,
5990,High-Productivity,Dairy Sheep,NENA/Middle East,31,#N/A,#N/A,
5991,High-Productivity,Other Sheep,NENA/Middle East,31,#N/A,#N/A,
5992,High-Productivity,Growing Swine,NENA/Middle East,60,#N/A,#N/A,
5993,High-Productivity,Breeding Swine,NENA/Middle East,157,#N/A,#N/A,
5994,High-Productivity,Goats,NENA/Middle East,24,#N/A,#N/A,
5995,High-Productivity,Horses,NENA/Middle East,238,166.6,309.4,
5996,High-Productivity,Camels,NENA/Middle East,217,151.9,282.1,
5997,High-Productivity,Mules And Asses,NENA/Middle East,130,91,169,
5998,High-Productivity,Deer,NENA/Middle East,120,60,180,
5999,High-Productivity,Ostrich,NENA/Middle East,120,#N/A,#N/A,
6000,High-Productivity,Chicken Layer,NENA/Middle East,1.2,#N/A,#N/A,
6001,High-Productivity,Chicken Broiler,NENA/Middle East,1,#N/A,#N/A,
6002,High-Productivity,Llamas And Alpacas,NENA/Middle East,65,32.5,97.5,
6003,High-Productivity,Dairy Cattle,South Asia,350,#N/A,#N/A,
6004,High-Productivity,Other Cattle,South Asia,167,#N/A,#N/A,
6005,High-Productivity,Dairy Buffalo,South Asia,321,#N/A,#N/A,
6006,High-Productivity,Other Buffalo,South Asia,321,#N/A,#N/A,
6007,High-Productivity,Dairy Sheep,South Asia,31,#N/A,#N/A,
6008,High-Productivity,Other Sheep,South Asia,31,#N/A,#N/A,
6009,High-Productivity,Growing Swine,South Asia,55,#N/A,#N/A,
6010,High-Productivity,Breeding Swine,South Asia,162,#N/A,#N/A,
6011,High-Productivity,Goats,South Asia,24,#N/A,#N/A,
6012,High-Productivity,Horses,South Asia,238,166.6,309.4,
6013,High-Productivity,Camels,South Asia,217,151.9,282.1,
6014,High-Productivity,Mules And Asses,South Asia,130,91,169,
6015,High-Productivity,Deer,South Asia,120,60,180,
6016,High-Productivity,Ostrich,South Asia,120,#N/A,#N/A,
6017,High-Productivity,Chicken Layer,South Asia,1.2,#N/A,#N/A,
6018,High-Productivity,Chicken Broiler,South Asia,1,#N/A,#N/A,
6019,High-Productivity,Llamas And Alpacas,South Asia,65,32.5,97.5,
6020,Low-Productivity,Dairy Cattle,Sub-Saharan Africa,270,#N/A,#N/A,
6021,Low-Productivity,Other Cattle,Sub-Saharan Africa,208,#N/A,#N/A,
6022,Low-Productivity,Dairy Buffalo,Sub-Saharan Africa,339,#N/A,#N/A,
6023,Low-Productivity,Other Buffalo,Sub-Saharan Africa,339,#N/A,#N/A,
6024,Low-Productivity,Dairy Sheep,Sub-Saharan Africa,31,#N/A,#N/A,
6025,Low-Productivity,Other Sheep,Sub-Saharan Africa,31,#N/A,#N/A,
6026,Low-Productivity,Growing Swine,Sub-Saharan Africa,33,#N/A,#N/A,
6027,Low-Productivity,Breeding Swine,Sub-Saharan Africa,61,#N/A,#N/A,
6028,Low-Productivity,Goats,Sub-Saharan Africa,24,#N/A,#N/A,
6029,Low-Productivity,Horses,Sub-Saharan Africa,238,166.6,309.4,
6030,Low-Productivity,Camels,Sub-Saharan Africa,217,151.9,282.1,
6031,Low-Productivity,Mules And Asses,Sub-Saharan Africa,130,91,169,
6032,Low-Productivity,Deer,Sub-Saharan Africa,120,60,180,
6033,Low-Productivity,Ostrich,Sub-Saharan Africa,120,#N/A,#N/A,
6034,Low-Productivity,Chicken Layer,Sub-Saharan Africa,0.8,#N/A,#N/A,
6035,Low-Productivity,Chicken Broiler,Sub-Saharan Africa,0.7,#N/A,#N/A,
6036,Low-Productivity,Llamas And Alpacas,Sub-Saharan Africa,65,32.5,97.5,
6037,Low-Productivity,Dairy Cattle,East Asia And South-East Asia,355,#N/A,#N/A,
6038,Low-Productivity,Other Cattle,East Asia And South-East Asia,296,#N/A,#N/A,
6039,Low-Productivity,Dairy Buffalo,East Asia And South-East Asia,336,#N/A,#N/A,
6040,Low-Productivity,Other Buffalo,East Asia And South-East Asia,336,#N/A,#N/A,
6041,Low-Productivity,Dairy Sheep,East Asia And South-East Asia,31,#N/A,#N/A,
6042,Low-Productivity,Other Sheep,East Asia And South-East Asia,31,#N/A,#N/A,
6043,Low-Productivity,Growing Swine,East Asia And South-East Asia,44,#N/A,#N/A,
6044,Low-Productivity,Breeding Swine,East Asia And South-East Asia,102,#N/A,#N/A,
6045,Low-Productivity,Goats,East Asia And South-East Asia,24,#N/A,#N/A,
6046,Low-Productivity,Horses,East Asia And South-East Asia,238,166.6,309.4,
6047,Low-Productivity,Camels,East Asia And South-East Asia,217,151.9,282.1,
6048,Low-Productivity,Mules And Asses,East Asia And South-East Asia,130,91,169,
6049,Low-Productivity,Deer,East Asia And South-East Asia,120,60,180,
6050,Low-Productivity,Ostrich,East Asia And South-East Asia,120,#N/A,#N/A,
6051,Low-Productivity,Chicken Layer,East Asia And South-East Asia,1,#N/A,#N/A,
6052,Low-Productivity,Chicken Broiler,East Asia And South-East Asia,0.7,#N/A,#N/A,
6053,Low-Productivity,Llamas And Alpacas,East Asia And South-East Asia,65,32.5,97.5,
6054,Low-Productivity,Dairy Cattle,North America,650,#N/A,#N/A,
6055,Low-Productivity,Other Cattle,North America,407,#N/A,#N/A,
6056,Low-Productivity,Dairy Buffalo,North America,0,#N/A,#N/A,
6057,Low-Productivity,Other Buffalo,North America,0,#N/A,#N/A,
6058,Low-Productivity,Dairy Sheep,North America,40,#N/A,#N/A,
6059,Low-Productivity,Other Sheep,North America,40,#N/A,#N/A,
6060,Low-Productivity,Growing Swine,North America,61,#N/A,#N/A,
6061,Low-Productivity,Breeding Swine,North America,184,#N/A,#N/A,
6062,Low-Productivity,Goats,North America,41,#N/A,#N/A,
6063,Low-Productivity,Horses,North America,377,263.9,490.1,
6064,Low-Productivity,Camels,North America,217,151.9,282.1,
6065,Low-Productivity,Mules And Asses,North America,130,91,169,
6066,Low-Productivity,Deer,North America,120,60,180,
6067,Low-Productivity,Ostrich,North America,120,#N/A,#N/A,
6068,Low-Productivity,Chicken Layer,North America,1.4,#N/A,#N/A,
6069,Low-Productivity,Chicken Broiler,North America,1.4,#N/A,#N/A,
6070,Low-Productivity,Llamas And Alpacas,North America,65,32.5,97.5,
6071,Low-Productivity,Dairy Cattle,Latin America And The Caribbean,500,#N/A,#N/A,
6072,Low-Productivity,Other Cattle,Latin America And The Caribbean,295,#N/A,#N/A,
6073,Low-Productivity,Dairy Buffalo,Latin America And The Caribbean,315,#N/A,#N/A,
6074,Low-Productivity,Other Buffalo,Latin America And The Caribbean,315,#N/A,#N/A,
6075,Low-Productivity,Dairy Sheep,Latin America And The Caribbean,31,#N/A,#N/A,
6076,Low-Productivity,Other Sheep,Latin America And The Caribbean,31,#N/A,#N/A,
6077,Low-Productivity,Growing Swine,Latin America And The Caribbean,47,#N/A,#N/A,
6078,Low-Productivity,Breeding Swine,Latin America And The Caribbean,121,#N/A,#N/A,
6079,Low-Productivity,Goats,Latin America And The Caribbean,24,#N/A,#N/A,
6080,Low-Productivity,Horses,Latin America And The Caribbean,238,166.6,309.4,
6081,Low-Productivity,Camels,Latin America And The Caribbean,217,151.9,282.1,
6082,Low-Productivity,Mules And Asses,Latin America And The Caribbean,130,91,169,
6083,Low-Productivity,Deer,Latin America And The Caribbean,120,60,180,
6084,Low-Productivity,Ostrich,Latin America And The Caribbean,120,#N/A,#N/A,
6085,Low-Productivity,Chicken Layer,Latin America And The Caribbean,0.9,#N/A,#N/A,
6086,Low-Productivity,Chicken Broiler,Latin America And The Caribbean,0.7,#N/A,#N/A,
6087,Low-Productivity,Llamas And Alpacas,Latin America And The Caribbean,65,32.5,97.5,
6088,Low-Productivity,Dairy Cattle,Western Europe,600,#N/A,#N/A,
6089,Low-Productivity,Other Cattle,Western Europe,405,#N/A,#N/A,
6090,Low-Productivity,Dairy Buffalo,Western Europe,509,#N/A,#N/A,
6091,Low-Productivity,Other Buffalo,Western Europe,509,#N/A,#N/A,
6092,Low-Productivity,Dairy Sheep,Western Europe,40,#N/A,#N/A,
6093,Low-Productivity,Other Sheep,Western Europe,40,#N/A,#N/A,
6094,Low-Productivity,Growing Swine,Western Europe,61,#N/A,#N/A,
6095,Low-Productivity,Breeding Swine,Western Europe,190,#N/A,#N/A,
6096,Low-Productivity,Goats,Western Europe,40,#N/A,#N/A,
6097,Low-Productivity,Horses,Western Europe,377,263.9,490.1,
6098,Low-Productivity,Camels,Western Europe,217,151.9,282.1,
6099,Low-Productivity,Mules And Asses,Western Europe,130,91,169,
6100,Low-Productivity,Deer,Western Europe,120,60,180,
6101,Low-Productivity,Ostrich,Western Europe,120,#N/A,#N/A,
6102,Low-Productivity,Chicken Layer,Western Europe,1.4,#N/A,#N/A,
6103,Low-Productivity,Chicken Broiler,Western Europe,1.2,#N/A,#N/A,
6104,Low-Productivity,Llamas And Alpacas,Western Europe,65,32.5,97.5,
6105,Low-Productivity,Dairy Cattle,Eastern Europe,550,#N/A,#N/A,
6106,Low-Productivity,Other Cattle,Eastern Europe,389,#N/A,#N/A,
6107,Low-Productivity,Dairy Buffalo,Eastern Europe,467,#N/A,#N/A,
6108,Low-Productivity,Other Buffalo,Eastern Europe,467,#N/A,#N/A,
6109,Low-Productivity,Dairy Sheep,Eastern Europe,40,#N/A,#N/A,
6110,Low-Productivity,Other Sheep,Eastern Europe,40,#N/A,#N/A,
6111,Low-Productivity,Growing Swine,Eastern Europe,59,#N/A,#N/A,
6112,Low-Productivity,Breeding Swine,Eastern Europe,204,#N/A,#N/A,
6113,Low-Productivity,Goats,Eastern Europe,36,#N/A,#N/A,
6114,Low-Productivity,Horses,Eastern Europe,377,263.9,490.1,
6115,Low-Productivity,Camels,Eastern Europe,217,151.9,282.1,
6116,Low-Productivity,Mules And Asses,Eastern Europe,130,91,169,
6117,Low-Productivity,Deer,Eastern Europe,120,60,180,
6118,Low-Productivity,Ostrich,Eastern Europe,120,#N/A,#N/A,
6119,Low-Productivity,Chicken Layer,Eastern Europe,1.3,#N/A,#N/A,
6120,Low-Productivity,Chicken Broiler,Eastern Europe,1.1,#N/A,#N/A,
6121,Low-Productivity,Llamas And Alpacas,Eastern Europe,65,32.5,97.5,
6122,Low-Productivity,Dairy Cattle,Russian Federation,550,#N/A,#N/A,
6123,Low-Productivity,Other Cattle,Russian Federation,389,#N/A,#N/A,
6124,Low-Productivity,Dairy Buffalo,Russian Federation,467,#N/A,#N/A,
6125,Low-Productivity,Other Buffalo,Russian Federation,467,#N/A,#N/A,
6126,Low-Productivity,Dairy Sheep,Russian Federation,40,#N/A,#N/A,
6127,Low-Productivity,Other Sheep,Russian Federation,40,#N/A,#N/A,
6128,Low-Productivity,Growing Swine,Russian Federation,59,#N/A,#N/A,
6129,Low-Productivity,Breeding Swine,Russian Federation,204,#N/A,#N/A,
6130,Low-Productivity,Goats,Russian Federation,36,#N/A,#N/A,
6131,Low-Productivity,Horses,Russian Federation,377,263.9,490.1,
6132,Low-Productivity,Camels,Russian Federation,217,151.9,282.1,
6133,Low-Productivity,Mules And Asses,Russian Federation,130,91,169,
6134,Low-Productivity,Deer,Russian Federation,120,60,180,
6135,Low-Productivity,Ostrich,Russian Federation,120,#N/A,#N/A,
6136,Low-Productivity,Chicken Layer,Russian Federation,1.3,#N/A,#N/A,
6137,Low-Productivity,Chicken Broiler,Russian Federation,1.1,#N/A,#N/A,
6138,Low-Productivity,Llamas And Alpacas,Russian Federation,65,32.5,97.5,
6139,Low-Productivity,Dairy Cattle,Oceania,488,#N/A,#N/A,
6140,Low-Productivity,Other Cattle,Oceania,359,#N/A,#N/A,
6141,Low-Productivity,Dairy Buffalo,Oceania,0,#N/A,#N/A,
6142,Low-Productivity,Other Buffalo,Oceania,0,#N/A,#N/A,
6143,Low-Productivity,Dairy Sheep,Oceania,40,#N/A,#N/A,
6144,Low-Productivity,Other Sheep,Oceania,40,#N/A,#N/A,
6145,Low-Productivity,Growing Swine,Oceania,41,#N/A,#N/A,
6146,Low-Productivity,Breeding Swine,Oceania,163,#N/A,#N/A,
6147,Low-Productivity,Goats,Oceania,33,#N/A,#N/A,
6148,Low-Productivity,Horses,Oceania,377,263.9,490.1,
6149,Low-Productivity,Camels,Oceania,217,151.9,282.1,
6150,Low-Productivity,Mules And Asses,Oceania,130,91,169,
6151,Low-Productivity,Deer,Oceania,120,60,180,
6152,Low-Productivity,Ostrich,Oceania,120,#N/A,#N/A,
6153,Low-Productivity,Chicken Layer,Oceania,1.3,#N/A,#N/A,
6154,Low-Productivity,Chicken Broiler,Oceania,1.2,#N/A,#N/A,
6155,Low-Productivity,Llamas And Alpacas,Oceania,65,32.5,97.5,
6156,Low-Productivity,Dairy Cattle,NENA/Middle East,270,#N/A,#N/A,
6157,Low-Productivity,Other Cattle,NENA/Middle East,232,#N/A,#N/A,
6158,Low-Productivity,Dairy Buffalo,NENA/Middle East,381,#N/A,#N/A,
6159,Low-Productivity,Other Buffalo,NENA/Middle East,381,#N/A,#N/A,
6160,Low-Productivity,Dairy Sheep,NENA/Middle East,31,#N/A,#N/A,
6161,Low-Productivity,Other Sheep,NENA/Middle East,31,#N/A,#N/A,
6162,Low-Productivity,Growing Swine,NENA/Middle East,48,#N/A,#N/A,
6163,Low-Productivity,Breeding Swine,NENA/Middle East,99,#N/A,#N/A,
