id,livestock_production_type,livestock_category_type,ipcc_region,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 10.13A (notes), and Source: 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2006), Volume 4 AFOLU, table 10A-9."
4292,High-Productivity,Dairy Cattle,Sub-Saharan Africa,21.7,#N/A,#N/A,
4293,High-Productivity,Other Cattle,Sub-Saharan Africa,10.2,#N/A,#N/A,
4294,High-Productivity,Dairy Buffalo,Sub-Saharan Africa,12.9,#N/A,#N/A,
4295,High-Productivity,Other Buffalo,Sub-Saharan Africa,12.9,#N/A,#N/A,
4296,High-Productivity,Dairy Sheep,Sub-Saharan Africa,8.3,#N/A,#N/A,
4297,High-Productivity,Other Sheep,Sub-Saharan Africa,8.3,#N/A,#N/A,
4298,High-Productivity,Growing Swine,Sub-Saharan Africa,5.3,#N/A,#N/A,
4299,High-Productivity,Breeding Swine,Sub-Saharan Africa,2.4,#N/A,#N/A,
4300,High-Productivity,Goats,Sub-Saharan Africa,10.4,#N/A,#N/A,
4301,High-Productivity,Horses,Sub-Saharan Africa,7.2,3.6,10.8,
4302,High-Productivity,Camels,Sub-Saharan Africa,11.5,5.75,17.25,
4303,High-Productivity,Mules And Asses,Sub-Saharan Africa,7.2,3.6,10.8,
4304,High-Productivity,Deer,Sub-Saharan Africa,0,#N/A,#N/A,
4305,High-Productivity,Ostrich,Sub-Saharan Africa,0,#N/A,#N/A,
4306,High-Productivity,Chicken Layer,Sub-Saharan Africa,12.3,#N/A,#N/A,
4307,High-Productivity,Chicken Broiler,Sub-Saharan Africa,16,#N/A,#N/A,
4308,High-Productivity,Llamas And Alpacas,Sub-Saharan Africa,0,#N/A,#N/A,
4309,High-Productivity,Dairy Cattle,East Asia And South-East Asia,8.1,#N/A,#N/A,
4310,High-Productivity,Other Cattle,East Asia And South-East Asia,6.8,#N/A,#N/A,
4311,High-Productivity,Dairy Buffalo,East Asia And South-East Asia,13.5,#N/A,#N/A,
4312,High-Productivity,Other Buffalo,East Asia And South-East Asia,13.5,#N/A,#N/A,
4313,High-Productivity,Dairy Sheep,East Asia And South-East Asia,8.3,#N/A,#N/A,
4314,High-Productivity,Other Sheep,East Asia And South-East Asia,8.3,#N/A,#N/A,
4315,High-Productivity,Growing Swine,East Asia And South-East Asia,5.1,#N/A,#N/A,
4316,High-Productivity,Breeding Swine,East Asia And South-East Asia,2.3,#N/A,#N/A,
4317,High-Productivity,Goats,East Asia And South-East Asia,10.4,#N/A,#N/A,
4318,High-Productivity,Horses,East Asia And South-East Asia,7.2,3.6,10.8,
4319,High-Productivity,Camels,East Asia And South-East Asia,11.5,5.75,17.25,
4320,High-Productivity,Mules And Asses,East Asia And South-East Asia,7.2,3.6,10.8,
4321,High-Productivity,Deer,East Asia And South-East Asia,0,#N/A,#N/A,
4322,High-Productivity,Ostrich,East Asia And South-East Asia,0,#N/A,#N/A,
4323,High-Productivity,Chicken Layer,East Asia And South-East Asia,10.6,#N/A,#N/A,
4324,High-Productivity,Chicken Broiler,East Asia And South-East Asia,15.6,#N/A,#N/A,
4325,High-Productivity,Llamas And Alpacas,East Asia And South-East Asia,0,#N/A,#N/A,
4326,High-Productivity,Dairy Cattle,North America,9.3,#N/A,#N/A,
4327,High-Productivity,Other Cattle,North America,7.6,#N/A,#N/A,
4328,High-Productivity,Dairy Buffalo,North America,0,#N/A,#N/A,
4329,High-Productivity,Other Buffalo,North America,0,#N/A,#N/A,
