id,ipcc_region,livestock_production_type,livestock_category_type,value,value_min,value_max,"source: Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 10.10, 10.11;  IPCC 2006, Section 10.3.4, p. 10.4; Wang, S.-Y. & Huang, D.-J. 2005. Assessment of Greenhouse Gas Emissions from Poultry Enteric Fermentation. Asian-Australasian Journal of Animal Sciences, 18(6): 873–878. https://doi.org/10.5713/ajas.2005.873."
1021,Sub-Saharan Africa,High-Productivity,Dairy Cattle,86,60.2,111.8,
1022,Sub-Saharan Africa,High-Productivity,Other Cattle,60,42,78,
1023,Sub-Saharan Africa,High-Productivity,Dairy Buffalo,81,56.7,105.3,
1024,Sub-Saharan Africa,High-Productivity,Other Buffalo,81,56.7,105.3,
1025,Sub-Saharan Africa,High-Productivity,Dairy Sheep,9,6.3,11.7,
1026,Sub-Saharan Africa,High-Productivity,Other Sheep,9,6.3,11.7,
1027,Sub-Saharan Africa,High-Productivity,Growing Swine,1.5,1.05,1.95,
1028,Sub-Saharan Africa,High-Productivity,Breeding Swine,1.5,1.05,1.95,
1029,Sub-Saharan Africa,High-Productivity,Goats,9,6.3,11.7,
1030,Sub-Saharan Africa,High-Productivity,Horses,18,12.6,23.4,
1031,Sub-Saharan Africa,High-Productivity,Camels,46,32.2,59.8,
1032,Sub-Saharan Africa,High-Productivity,Mules And Asses,10,7,13,
1033,Sub-Saharan Africa,High-Productivity,Deer,20,14,26,
1034,Sub-Saharan Africa,High-Productivity,Ostrich,5,3.5,6.5,
1035,Sub-Saharan Africa,High-Productivity,Chicken Layer,4.87E-05,N/A,N/A,
1036,Sub-Saharan Africa,High-Productivity,Chicken Broiler,4.87E-05,N/A,N/A,
1037,Sub-Saharan Africa,High-Productivity,Llamas And Alpacas,8,5.6,10.4,
1038,East Asia And South-East Asia,High-Productivity,Dairy Cattle,96,67.2,124.8,
1039,East Asia And South-East Asia,High-Productivity,Other Cattle,43,30.1,55.9,
1040,East Asia And South-East Asia,High-Productivity,Dairy Buffalo,76,53.2,98.8,
1041,East Asia And South-East Asia,High-Productivity,Other Buffalo,76,53.2,98.8,
1042,East Asia And South-East Asia,High-Productivity,Dairy Sheep,9,6.3,11.7,
1043,East Asia And South-East Asia,High-Productivity,Other Sheep,9,6.3,11.7,
1044,East Asia And South-East Asia,High-Productivity,Growing Swine,1.5,1.05,1.95,
1045,East Asia And South-East Asia,High-Productivity,Breeding Swine,1.5,1.05,1.95,
1046,East Asia And South-East Asia,High-Productivity,Goats,9,6.3,11.7,
1047,East Asia And South-East Asia,High-Productivity,Horses,18,12.6,23.4,
1048,East Asia And South-East Asia,High-Productivity,Camels,46,32.2,59.8,
1049,East Asia And South-East Asia,High-Productivity,Mules And Asses,10,7,13,
1050,East Asia And South-East Asia,High-Productivity,Deer,20,14,26,
1051,East Asia And South-East Asia,High-Productivity,Ostrich,5,3.5,6.5,
1052,East Asia And South-East Asia,High-Productivity,Chicken Layer,4.87E-05,N/A,N/A,
1053,East Asia And South-East Asia,High-Productivity,Chicken Broiler,4.87E-05,N/A,N/A,
1054,East Asia And South-East Asia,High-Productivity,Llamas And Alpacas,8,5.6,10.4,
