id,climate,moisture,module_type,peat_type,site_location_type,co2,co2_unit,doc,doc_unit,ch4,ch4_unit,n2o,n2o_unit,co2_min,co2_max,doc_min,doc_max,ch4_min,ch4_max,n2o_min,n2o_max,"Source: 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands, IPCC (2014), tables 2.1, 2.2, 2.3, 2.4, 2.5."
452,Boreal,Dry,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,0.31,tC/ha/yr,0,tC/ha/yr,2,kg CH4/ha/yr,3.2,kg N2O/ha/yr,0,0.84,#N/A,#N/A,-1.6,5.5,1.9,4.5,
453,Boreal,Moist,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,0.31,tC/ha/yr,0,tC/ha/yr,2,kg CH4/ha/yr,3.2,kg N2O/ha/yr,0,0.84,#N/A,#N/A,-1.6,5.5,1.9,4.5,
454,Cool Temperate,Dry,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
455,Cool Temperate,Moist,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
456,Warm Temperate,Dry,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
457,Warm Temperate,Moist,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
458,Tropical,Dry,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,5.3,tC/ha/yr,0,tC/ha/yr,4.9,kg CH4/ha/yr,2.4,kg N2O/ha/yr,0,9.5,#N/A,#N/A,2.3,7.5,1.3,3.5,
459,Tropical,Moist,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,5.3,tC/ha/yr,0,tC/ha/yr,4.9,kg CH4/ha/yr,2.4,kg N2O/ha/yr,0,9.5,#N/A,#N/A,2.3,7.5,1.3,3.5,
460,Tropical,Wet,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,5.3,tC/ha/yr,0,tC/ha/yr,4.9,kg CH4/ha/yr,2.4,kg N2O/ha/yr,0,9.5,#N/A,#N/A,2.3,7.5,1.3,3.5,
461,Tropical Montane,Dry,(24) Forest Management (LUC),Nutrient Rich,(1) On-Site,5.3,tC/ha/yr,0,tC/ha/yr,4.9,kg CH4/ha/yr,2.4,kg N2O/ha/yr,0,9.5,#N/A,#N/A,2.3,7.5,1.3,3.5,
462,Boreal,Dry,(52) Plantation,Nutrient Rich,(1) On-Site,0.31,tC/ha/yr,0,tC/ha/yr,2,kg CH4/ha/yr,3.2,kg N2O/ha/yr,0,0.84,#N/A,#N/A,-1.6,5.5,1.9,4.5,
463,Boreal,Moist,(52) Plantation,Nutrient Rich,(1) On-Site,0.31,tC/ha/yr,0,tC/ha/yr,2,kg CH4/ha/yr,3.2,kg N2O/ha/yr,0,0.84,#N/A,#N/A,-1.6,5.5,1.9,4.5,
464,Cool Temperate,Dry,(52) Plantation,Nutrient Rich,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
465,Cool Temperate,Moist,(52) Plantation,Nutrient Rich,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
466,Warm Temperate,Dry,(52) Plantation,Nutrient Rich,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
467,Warm Temperate,Moist,(52) Plantation,Nutrient Rich,(1) On-Site,2.6,tC/ha/yr,0,tC/ha/yr,2.5,kg CH4/ha/yr,2.8,kg N2O/ha/yr,2,3.3,#N/A,#N/A,-0.6,5.7,-0.57,6.1,
468,Tropical,Dry,(52) Plantation,Nutrient Rich,(1) On-Site,10.83333333,tC/ha/yr,0,tC/ha/yr,9.633333333,kg CH4/ha/yr,2.25,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
469,Tropical,Moist,(52) Plantation,Nutrient Rich,(1) On-Site,10.83333333,tC/ha/yr,0,tC/ha/yr,9.633333333,kg CH4/ha/yr,2.25,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
470,Tropical,Wet,(52) Plantation,Nutrient Rich,(1) On-Site,10.83333333,tC/ha/yr,0,tC/ha/yr,9.633333333,kg CH4/ha/yr,2.25,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
471,Tropical Montane,Dry,(52) Plantation,Nutrient Rich,(1) On-Site,10.83333333,tC/ha/yr,0,tC/ha/yr,9.633333333,kg CH4/ha/yr,2.25,kg N2O/ha/yr,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N/A,N/A,
472,Boreal,Dry,(4) Annual Cropland (LUC),Nutrient Rich,(1) On-Site,7.9,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,13,kg N2O/ha/yr,6.5,9.4,#N/A,#N/A,#N/A,#N/A,8.2,18,
473,Boreal,Moist,(4) Annual Cropland (LUC),Nutrient Rich,(1) On-Site,7.9,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,13,kg N2O/ha/yr,6.5,9.4,#N/A,#N/A,#N/A,#N/A,8.2,18,
