id,climate,moisture,fire_type,value,unit,value_min,value_max,"Source: 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands, IPCC (2014), table 2.6."
91,Boreal,Dry,Wildfire Undrained Peat,66,t dm/ha,46,86,
92,Boreal,Dry,Wildfire Drained Peat,336,t dm/ha,332,340,
93,Boreal,Dry,Prescribed Fire (E.G. Land Mgnt),0,t dm/ha,#N/A,#N/A,
94,Boreal,Moist,Wildfire Undrained Peat,66,t dm/ha,46,86,
95,Boreal,Moist,Wildfire Drained Peat,336,t dm/ha,332,340,
96,Boreal,Moist,Prescribed Fire (E.G. Land Mgnt),0,t dm/ha,#N/A,#N/A,
97,Cool Temperate,Dry,Wildfire Undrained Peat,66,t dm/ha,46,86,
98,Cool Temperate,Dry,Wildfire Drained Peat,336,t dm/ha,332,340,
99,Cool Temperate,Dry,Prescribed Fire (E.G. Land Mgnt),0,t dm/ha,#N/A,#N/A,
100,Cool Temperate,Moist,Wildfire Undrained Peat,66,t dm/ha,46,86,
101,Cool Temperate,Moist,Wildfire Drained Peat,336,t dm/ha,332,340,
102,Cool Temperate,Moist,Prescribed Fire (E.G. Land Mgnt),0,t dm/ha,#N/A,#N/A,
103,Warm Temperate,Dry,Wildfire Undrained Peat,66,t dm/ha,46,86,
104,Warm Temperate,Dry,Wildfire Drained Peat,336,t dm/ha,332,340,
105,Warm Temperate,Dry,Prescribed Fire (E.G. Land Mgnt),0,t dm/ha,#N/A,#N/A,
106,Warm Temperate,Moist,Wildfire Undrained Peat,66,t dm/ha,46,86,
107,Warm Temperate,Moist,Wildfire Drained Peat,336,t dm/ha,332,340,
108,Warm Temperate,Moist,Prescribed Fire (E.G. Land Mgnt),0,t dm/ha,#N/A,#N/A,
109,Tropical,Dry,Wildfire Undrained Peat,0,t dm/ha,#N/A,#N/A,
110,Tropical,Dry,Wildfire Drained Peat,353,t dm/ha,170,536,
111,Tropical,Dry,Prescribed Fire (E.G. Land Mgnt),155,t dm/ha,82,228,
112,Tropical,Moist,Wildfire Undrained Peat,0,t dm/ha,#N/A,#N/A,
113,Tropical,Moist,Wildfire Drained Peat,353,t dm/ha,170,536,
114,Tropical,Moist,Prescribed Fire (E.G. Land Mgnt),155,t dm/ha,82,228,
115,Tropical,Wet,Wildfire Undrained Peat,0,t dm/ha,#N/A,#N/A,
116,Tropical,Wet,Wildfire Drained Peat,353,t dm/ha,170,536,
117,Tropical,Wet,Prescribed Fire (E.G. Land Mgnt),155,t dm/ha,82,228,
118,Tropical Montane,Dry,Wildfire Undrained Peat,0,t dm/ha,#N/A,#N/A,
119,Tropical Montane,Dry,Wildfire Drained Peat,353,t dm/ha,170,536,
120,Tropical Montane,Dry,Prescribed Fire (E.G. Land Mgnt),155,t dm/ha,82,228,
