id,climate,moisture,peat_type,module_type,co2,co2_unit,doc,doc_unit,ch4,ch4_unit,n2o,n2o_unit,co2_min,co2_max,doc_min,doc_max,ch4_min,ch4_max,n2o_min,n2o_max,"Source: 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands, IPCC (2014), table 3.1, 3.2, 3.3."
181,Boreal,Dry,Nutrient Rich,(24) Forest Management (LUC),-0.55,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,137,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.77,-0.34,0.05,0.11,0,493,N/A,N/A,
182,Boreal,Moist,Nutrient Rich,(24) Forest Management (LUC),-0.55,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,137,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.77,-0.34,0.05,0.11,0,493,N/A,N/A,
183,Cool Temperate,Dry,Nutrient Rich,(24) Forest Management (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
184,Cool Temperate,Moist,Nutrient Rich,(24) Forest Management (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
185,Warm Temperate,Dry,Nutrient Rich,(24) Forest Management (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
186,Warm Temperate,Moist,Nutrient Rich,(24) Forest Management (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
187,Tropical,Dry,Nutrient Rich,(24) Forest Management (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
188,Tropical,Moist,Nutrient Rich,(24) Forest Management (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
189,Tropical,Wet,Nutrient Rich,(24) Forest Management (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
190,Tropical Montane,Dry,Nutrient Rich,(24) Forest Management (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,#N/A,#N/A,N/A,N/A,
191,Boreal,Dry,Nutrient Rich,(52) Plantation,-0.55,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,137,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.77,-0.34,0.05,0.11,0,493,N/A,N/A,
192,Boreal,Moist,Nutrient Rich,(52) Plantation,-0.55,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,137,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.77,-0.34,0.05,0.11,0,493,N/A,N/A,
193,Cool Temperate,Dry,Nutrient Rich,(52) Plantation,0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
194,Cool Temperate,Moist,Nutrient Rich,(52) Plantation,0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
195,Warm Temperate,Dry,Nutrient Rich,(52) Plantation,0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
196,Warm Temperate,Moist,Nutrient Rich,(52) Plantation,0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
197,Tropical,Dry,Nutrient Rich,(52) Plantation,0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
198,Tropical,Moist,Nutrient Rich,(52) Plantation,0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
199,Tropical,Wet,Nutrient Rich,(52) Plantation,0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
200,Tropical Montane,Dry,Nutrient Rich,(52) Plantation,0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,#N/A,#N/A,N/A,N/A,
201,Boreal,Dry,Nutrient Rich,(4) Annual Cropland (LUC),-0.55,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,137,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.77,-0.34,0.05,0.11,0,493,N/A,N/A,
202,Boreal,Moist,Nutrient Rich,(4) Annual Cropland (LUC),-0.55,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,137,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.77,-0.34,0.05,0.11,0,493,N/A,N/A,
203,Cool Temperate,Dry,Nutrient Rich,(4) Annual Cropland (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
204,Cool Temperate,Moist,Nutrient Rich,(4) Annual Cropland (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
205,Warm Temperate,Dry,Nutrient Rich,(4) Annual Cropland (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
206,Warm Temperate,Moist,Nutrient Rich,(4) Annual Cropland (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
207,Tropical,Dry,Nutrient Rich,(4) Annual Cropland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
208,Tropical,Moist,Nutrient Rich,(4) Annual Cropland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
209,Tropical,Wet,Nutrient Rich,(4) Annual Cropland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
210,Tropical Montane,Dry,Nutrient Rich,(4) Annual Cropland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,#N/A,#N/A,N/A,N/A,
211,Boreal,Dry,Nutrient Rich,(5) Perennial Cropland (LUC),-0.55,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,137,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.77,-0.34,0.05,0.11,0,493,N/A,N/A,
212,Boreal,Moist,Nutrient Rich,(5) Perennial Cropland (LUC),-0.55,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,137,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.77,-0.34,0.05,0.11,0,493,N/A,N/A,
213,Cool Temperate,Dry,Nutrient Rich,(5) Perennial Cropland (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
214,Cool Temperate,Moist,Nutrient Rich,(5) Perennial Cropland (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
215,Warm Temperate,Dry,Nutrient Rich,(5) Perennial Cropland (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
216,Warm Temperate,Moist,Nutrient Rich,(5) Perennial Cropland (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
217,Tropical,Dry,Nutrient Rich,(5) Perennial Cropland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
218,Tropical,Moist,Nutrient Rich,(5) Perennial Cropland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
219,Tropical,Wet,Nutrient Rich,(5) Perennial Cropland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
220,Tropical Montane,Dry,Nutrient Rich,(5) Perennial Cropland (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,#N/A,#N/A,N/A,N/A,
221,Boreal,Dry,Nutrient Rich,(6) Flooded Rice (LUC),-0.55,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,137,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.77,-0.34,0.05,0.11,0,493,N/A,N/A,
222,Boreal,Moist,Nutrient Rich,(6) Flooded Rice (LUC),-0.55,tCO2-C/ha/yr,0.08,tCO2-C/ha/yr,137,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.77,-0.34,0.05,0.11,0,493,N/A,N/A,
223,Cool Temperate,Dry,Nutrient Rich,(6) Flooded Rice (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
224,Cool Temperate,Moist,Nutrient Rich,(6) Flooded Rice (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
225,Warm Temperate,Dry,Nutrient Rich,(6) Flooded Rice (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
226,Warm Temperate,Moist,Nutrient Rich,(6) Flooded Rice (LUC),0.5,tCO2-C/ha/yr,0.24,tCO2-C/ha/yr,216,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,-0.71,1.71,0.14,0.36,0,856,N/A,N/A,
227,Tropical,Dry,Nutrient Rich,(6) Flooded Rice (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
228,Tropical,Moist,Nutrient Rich,(6) Flooded Rice (LUC),0,tCO2-C/ha/yr,0.51,tCO2-C/ha/yr,41,kg CH4-C/ha/yr,0,tN2O-N/ha/yr,N/A,N/A,0.4,0.64,7,134,N/A,N/A,
