id,climate,moisture,waterbody_type,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 7.12."
143,Cool Temperate,Moist,Freshwater Pond,183,118,228,
144,Cool Temperate,Moist,Brackishwater Pond,183,118,228,
145,Cool Temperate,Moist,Canals & Ditches,416,259,669,
146,Cool Temperate,Moist,Saline Pond,30,16,55,
147,Cool Temperate,Dry,Freshwater Pond,183,118,228,
148,Cool Temperate,Dry,Brackishwater Pond,183,118,228,
149,Cool Temperate,Dry,Canals & Ditches,416,259,669,
150,Cool Temperate,Dry,Saline Pond,30,16,55,
151,Boreal,Moist,Freshwater Pond,183,118,228,
152,Boreal,Moist,Brackishwater Pond,183,118,228,
153,Boreal,Moist,Canals & Ditches,416,259,669,
154,Boreal,Moist,Saline Pond,30,16,55,
155,Boreal,Dry,Freshwater Pond,183,118,228,
156,Boreal,Dry,Brackishwater Pond,183,118,228,
157,Boreal,Dry,Canals & Ditches,416,259,669,
158,Boreal,Dry,Saline Pond,30,16,55,
159,Warm Temperate,Moist,Freshwater Pond,183,118,228,
160,Warm Temperate,Moist,Brackishwater Pond,183,118,228,
161,Warm Temperate,Moist,Canals & Ditches,416,259,669,
162,Warm Temperate,Moist,Saline Pond,30,16,55,
163,Warm Temperate,Dry,Freshwater Pond,183,118,228,
164,Warm Temperate,Dry,Brackishwater Pond,183,118,228,
165,Warm Temperate,Dry,Canals & Ditches,416,259,669,
166,Warm Temperate,Dry,Saline Pond,30,16,55,
167,Tropical Montane,Dry,Freshwater Pond,183,118,228,
168,Tropical Montane,Dry,Brackishwater Pond,183,118,228,
169,Tropical Montane,Dry,Canals & Ditches,416,259,669,
170,Tropical Montane,Dry,Saline Pond,30,16,55,
171,Tropical,Wet,Freshwater Pond,183,118,228,
172,Tropical,Wet,Brackishwater Pond,183,118,228,
173,Tropical,Wet,Canals & Ditches,416,259,669,
174,Tropical,Wet,Saline Pond,30,16,55,
175,Tropical,Moist,Freshwater Pond,183,118,228,
176,Tropical,Moist,Brackishwater Pond,183,118,228,
177,Tropical,Moist,Canals & Ditches,416,259,669,
178,Tropical,Moist,Saline Pond,30,16,55,
179,Tropical,Dry,Freshwater Pond,183,118,228,
180,Tropical,Dry,Brackishwater Pond,183,118,228,
181,Tropical,Dry,Canals & Ditches,416,259,669,
182,Tropical,Dry,Saline Pond,30,16,55,
