id,climate,moisture,peat_type,weight,weight_unit,volume,volume_unit,,weight_min,weight_max,volume_min,volume_max,"Source: 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2006), Volume 4 AFOLU, table 7.5."
1,Boreal,Dry,Nutrient Poor,0.45,tC/t air dry peat,0.07,tC/m3 air dry peat,,N/A,N/A,N/A,N/A,
2,Boreal,Moist,Nutrient Poor,0.45,tC/t air dry peat,0.07,tC/m3 air dry peat,,N/A,N/A,N/A,N/A,
3,Cool Temperate,Dry,Nutrient Poor,0.45,tC/t air dry peat,0.07,tC/m3 air dry peat,,N/A,N/A,N/A,N/A,
4,Cool Temperate,Moist,Nutrient Poor,0.45,tC/t air dry peat,0.07,tC/m3 air dry peat,,N/A,N/A,N/A,N/A,
5,Warm Temperate,Dry,Nutrient Poor,0.45,tC/t air dry peat,0.07,tC/m3 air dry peat,,N/A,N/A,N/A,N/A,
6,Warm Temperate,Moist,Nutrient Poor,0.45,tC/t air dry peat,0.07,tC/m3 air dry peat,,N/A,N/A,N/A,N/A,
7,Tropical,Dry,Nutrient Poor,0.34,tC/t air dry peat,0.26,tC/m3 air dry peat,,N/A,N/A,N/A,N/A,
8,Tropical,Moist,Nutrient Poor,0.34,tC/t air dry peat,0.26,tC/m3 air dry peat,,N/A,N/A,N/A,N/A,
9,Tropical,Wet,Nutrient Poor,0.34,tC/t air dry peat,0.26,tC/m3 air dry peat,,N/A,N/A,N/A,N/A,
11,Boreal,Dry,Nutrient Rich,0.4,tC/t air dry peat,0.24,tC/m3 air dry peat,,N/A,N/A,N/A,N/A,
12,Boreal,Moist,Nutrient Rich,0.4,tC/t air dry peat,0.24,tC/m3 air dry peat,,N/A,N/A,N/A,N/A,
13,Cool Temperate,Dry,Nutrient Rich,0.4,tC/t air dry peat,0.24,tC/m3 air dry peat,,N/A,N/A,N/A,N/A,
14,Cool Temperate,Moist,Nutrient Rich,0.4,tC/t air dry peat,0.24,tC/m3 air dry peat,,N/A,N/A,N/A,N/A,
15,Warm Temperate,Dry,Nutrient Rich,0.4,tC/t air dry peat,0.24,tC/m3 air dry peat,,N/A,N/A,N/A,N/A,
16,Warm Temperate,Moist,Nutrient Rich,0.4,tC/t air dry peat,0.24,tC/m3 air dry peat,,N/A,N/A,N/A,N/A,
17,Tropical,Dry,Nutrient Rich,0.34,tC/t air dry peat,0.26,tC/m3 air dry peat,,N/A,N/A,N/A,N/A,
18,Tropical,Moist,Nutrient Rich,0.34,tC/t air dry peat,0.26,tC/m3 air dry peat,,N/A,N/A,N/A,N/A,
19,Tropical,Wet,Nutrient Rich,0.34,tC/t air dry peat,0.26,tC/m3 air dry peat,,N/A,N/A,N/A,N/A,
