id,climate,moisture,peat_type,site_location_type,co2,co2_unit,doc,doc_unit,ch4,ch4_unit,n2o,n2o_unit,co2_min,co2_max,doc_min,doc_max,ch4_min,ch4_max,n2o_min,n2o_max,"Source: 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands, IPCC (2014), tables 2.1, 2.2, 2.3, 2.4, 2.5."
41,Boreal,Dry,Nutrient Rich,(1) On-Site,2.8,tC/ha/yr,0,tC/ha/yr,6.1,kg CH4/ha/yr,0.3,kg N2O/ha/yr,1.1,4.2,#N/A,#N/A,1.6,11,-0.03,0.64,
42,Boreal,Moist,Nutrient Rich,(1) On-Site,2.8,tC/ha/yr,0,tC/ha/yr,6.1,kg CH4/ha/yr,0.3,kg N2O/ha/yr,1.1,4.2,#N/A,#N/A,1.6,11,-0.03,0.64,
43,Cool Temperate,Dry,Nutrient Rich,(1) On-Site,2.8,tC/ha/yr,0,tC/ha/yr,6.1,kg CH4/ha/yr,0.3,kg N2O/ha/yr,1.1,4.2,#N/A,#N/A,1.6,11,-0.03,0.64,
44,Cool Temperate,Moist,Nutrient Rich,(1) On-Site,2.8,tC/ha/yr,0,tC/ha/yr,6.1,kg CH4/ha/yr,0.3,kg N2O/ha/yr,1.1,4.2,#N/A,#N/A,1.6,11,-0.03,0.64,
45,Warm Temperate,Dry,Nutrient Rich,(1) On-Site,2.8,tC/ha/yr,0,tC/ha/yr,6.1,kg CH4/ha/yr,0.3,kg N2O/ha/yr,1.1,4.2,#N/A,#N/A,1.6,11,-0.03,0.64,
46,Warm Temperate,Moist,Nutrient Rich,(1) On-Site,2.8,tC/ha/yr,0,tC/ha/yr,6.1,kg CH4/ha/yr,0.3,kg N2O/ha/yr,1.1,4.2,#N/A,#N/A,1.6,11,-0.03,0.64,
47,Tropical,Dry,Nutrient Rich,(1) On-Site,2,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,3.6,kg N2O/ha/yr,0.06,7,#N/A,#N/A,#N/A,#N/A,0.2,5,
48,Tropical,Moist,Nutrient Rich,(1) On-Site,2,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,3.6,kg N2O/ha/yr,0.06,7,#N/A,#N/A,#N/A,#N/A,0.2,5,
49,Tropical,Wet,Nutrient Rich,(1) On-Site,2,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,3.6,kg N2O/ha/yr,0.06,7,#N/A,#N/A,#N/A,#N/A,0.2,5,
50,Tropical Montane,Dry,Nutrient Rich,(1) On-Site,2,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,3.6,kg N2O/ha/yr,0.06,7,#N/A,#N/A,#N/A,#N/A,0.2,5,
51,Boreal,Dry,Nutrient Poor,(1) On-Site,2.8,tC/ha/yr,0,tC/ha/yr,6.1,kg CH4/ha/yr,0.3,kg N2O/ha/yr,1.1,4.2,#N/A,#N/A,1.6,11,-0.03,0.64,
52,Boreal,Moist,Nutrient Poor,(1) On-Site,2.8,tC/ha/yr,0,tC/ha/yr,6.1,kg CH4/ha/yr,0.3,kg N2O/ha/yr,1.1,4.2,#N/A,#N/A,1.6,11,-0.03,0.64,
53,Cool Temperate,Dry,Nutrient Poor,(1) On-Site,2.8,tC/ha/yr,0,tC/ha/yr,6.1,kg CH4/ha/yr,0.3,kg N2O/ha/yr,1.1,4.2,#N/A,#N/A,1.6,11,-0.03,0.64,
54,Cool Temperate,Moist,Nutrient Poor,(1) On-Site,2.8,tC/ha/yr,0,tC/ha/yr,6.1,kg CH4/ha/yr,0.3,kg N2O/ha/yr,1.1,4.2,#N/A,#N/A,1.6,11,-0.03,0.64,
55,Warm Temperate,Dry,Nutrient Poor,(1) On-Site,2.8,tC/ha/yr,0,tC/ha/yr,6.1,kg CH4/ha/yr,0.3,kg N2O/ha/yr,1.1,4.2,#N/A,#N/A,1.6,11,-0.03,0.64,
56,Warm Temperate,Moist,Nutrient Poor,(1) On-Site,2.8,tC/ha/yr,0,tC/ha/yr,6.1,kg CH4/ha/yr,0.3,kg N2O/ha/yr,1.1,4.2,#N/A,#N/A,1.6,11,-0.03,0.64,
57,Tropical,Dry,Nutrient Poor,(1) On-Site,2,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,3.6,kg N2O/ha/yr,0.06,7,#N/A,#N/A,#N/A,#N/A,0.2,5,
58,Tropical,Moist,Nutrient Poor,(1) On-Site,2,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,3.6,kg N2O/ha/yr,0.06,7,#N/A,#N/A,#N/A,#N/A,0.2,5,
59,Tropical,Wet,Nutrient Poor,(1) On-Site,2,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,3.6,kg N2O/ha/yr,0.06,7,#N/A,#N/A,#N/A,#N/A,0.2,5,
60,Tropical Montane,Dry,Nutrient Poor,(1) On-Site,2,tC/ha/yr,0,tC/ha/yr,0,kg CH4/ha/yr,3.6,kg N2O/ha/yr,0.06,7,#N/A,#N/A,#N/A,#N/A,0.2,5,
61,Boreal,Dry,Nutrient Rich,(2) Off-Site,0,tC/ha/yr,0.12,tC/ha/yr,542,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.07,0.19,102,981,0.2,5,
62,Boreal,Moist,Nutrient Rich,(2) Off-Site,0,tC/ha/yr,0.12,tC/ha/yr,542,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.07,0.19,102,981,0.2,5,
63,Cool Temperate,Dry,Nutrient Rich,(2) Off-Site,0,tC/ha/yr,0.31,tC/ha/yr,542,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.19,0.46,102,981,0.2,5,
64,Cool Temperate,Moist,Nutrient Rich,(2) Off-Site,0,tC/ha/yr,0.31,tC/ha/yr,542,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.19,0.46,102,981,0.2,5,
65,Warm Temperate,Dry,Nutrient Rich,(2) Off-Site,0,tC/ha/yr,0.31,tC/ha/yr,542,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.19,0.46,102,981,0.2,5,
66,Warm Temperate,Moist,Nutrient Rich,(2) Off-Site,0,tC/ha/yr,0.31,tC/ha/yr,542,kg CH4/ha/yr,0,kg N2O/ha/yr,0.06,7,0.19,0.46,102,981,0.2,5,
