id,climate,moisture,continent,land_use_type,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 5.2, 5.3.",,,,,,,,,,,,
13422,Cool Temperate,Dry,Eastern Africa,Agroforestry - Default,1.266666667,0.481333333,2.052000001,,,,,,,,,,,,,
13423,Cool Temperate,Dry,Eastern Africa,Hedgerow,0.87,0.4437,1.2963,,,,,,,,,,,,,
13424,Cool Temperate,Dry,Eastern Africa,Silvoarable,1.12,0.4256,1.8144,,,,,,,,,,,,,
13425,Cool Temperate,Dry,Eastern Africa,Silvopasture,1.81,1.0136,2.6064,,,,,,,,,,,,,
13426,Cool Temperate,Dry,Eastern Africa,Olive,0.46,0.3358,0.5842,,,,,,,,,,,,,
13427,Cool Temperate,Dry,Eastern Africa,Orchard,0.43,0.2322,0.6278,,,,,,,,,,,,,
13428,Cool Temperate,Dry,Eastern Africa,Vine,0.28,0.2072,0.3528,,,,,,,,,,,,,
13429,Cool Temperate,Dry,Eastern Africa,Short Rotation Coppice,3.2,1.92,4.48,,,,,,,,,,,,,
13430,Cool Temperate,Dry,Eastern Africa,Tea,0.7,0.525,0.875,,,,,,,,,,,,,
13431,Cool Temperate,Dry,Central Africa,Agroforestry - Default,1.266666667,0.481333333,2.052000001,,,,,,,,,,,,,
13432,Cool Temperate,Dry,Central Africa,Hedgerow,0.87,0.4437,1.2963,,,,,,,,,,,,,
13433,Cool Temperate,Dry,Central Africa,Silvoarable,1.12,0.4256,1.8144,,,,,,,,,,,,,
13434,Cool Temperate,Dry,Central Africa,Silvopasture,1.81,1.0136,2.6064,,,,,,,,,,,,,
13435,Cool Temperate,Dry,Central Africa,Olive,0.46,0.3358,0.5842,,,,,,,,,,,,,
13436,Cool Temperate,Dry,Central Africa,Orchard,0.43,0.2322,0.6278,,,,,,,,,,,,,
13437,Cool Temperate,Dry,Central Africa,Vine,0.28,0.2072,0.3528,,,,,,,,,,,,,
13438,Cool Temperate,Dry,Central Africa,Short Rotation Coppice,3.2,1.92,4.48,,,,,,,,,,,,,
13439,Cool Temperate,Dry,Central Africa,Tea,0.7,0.525,0.875,,,,,,,,,,,,,
13440,Cool Temperate,Dry,Northern Africa,Agroforestry - Default,1.266666667,0.481333333,2.052000001,,,,,,,,,,,,,
13441,Cool Temperate,Dry,Northern Africa,Hedgerow,0.87,0.4437,1.2963,,,,,,,,,,,,,
13442,Cool Temperate,Dry,Northern Africa,Silvoarable,1.12,0.4256,1.8144,,,,,,,,,,,,,
13443,Cool Temperate,Dry,Northern Africa,Silvopasture,1.81,1.0136,2.6064,,,,,,,,,,,,,
13444,Cool Temperate,Dry,Northern Africa,Olive,0.46,0.3358,0.5842,,,,,,,,,,,,,
13445,Cool Temperate,Dry,Northern Africa,Orchard,0.43,0.2322,0.6278,,,,,,,,,,,,,
13446,Cool Temperate,Dry,Northern Africa,Vine,0.28,0.2072,0.3528,,,,,,,,,,,,,
13447,Cool Temperate,Dry,Northern Africa,Short Rotation Coppice,3.2,1.92,4.48,,,,,,,,,,,,,
13448,Cool Temperate,Dry,Northern Africa,Tea,0.7,0.525,0.875,,,,,,,,,,,,,
13449,Cool Temperate,Dry,Southern Africa,Agroforestry - Default,1.266666667,0.481333333,2.052000001,,,,,,,,,,,,,
13450,Cool Temperate,Dry,Southern Africa,Hedgerow,0.87,0.4437,1.2963,,,,,,,,,,,,,
13451,Cool Temperate,Dry,Southern Africa,Silvoarable,1.12,0.4256,1.8144,,,,,,,,,,,,,
13452,Cool Temperate,Dry,Southern Africa,Silvopasture,1.81,1.0136,2.6064,,,,,,,,,,,,,
13453,Cool Temperate,Dry,Southern Africa,Olive,0.46,0.3358,0.5842,,,,,,,,,,,,,
13454,Cool Temperate,Dry,Southern Africa,Orchard,0.43,0.2322,0.6278,,,,,,,,,,,,,
13455,Cool Temperate,Dry,Southern Africa,Vine,0.28,0.2072,0.3528,,,,,,,,,,,,,
13456,Cool Temperate,Dry,Southern Africa,Short Rotation Coppice,3.2,1.92,4.48,,,,,,,,,,,,,
13457,Cool Temperate,Dry,Southern Africa,Tea,0.7,0.525,0.875,,,,,,,,,,,,,
13458,Cool Temperate,Dry,Western Africa,Agroforestry - Default,1.266666667,0.481333333,2.052000001,,,,,,,,,,,,,
13459,Cool Temperate,Dry,Western Africa,Hedgerow,0.87,0.4437,1.2963,,,,,,,,,,,,,
13460,Cool Temperate,Dry,Western Africa,Silvoarable,1.12,0.4256,1.8144,,,,,,,,,,,,,
13461,Cool Temperate,Dry,Western Africa,Silvopasture,1.81,1.0136,2.6064,,,,,,,,,,,,,
13462,Cool Temperate,Dry,Western Africa,Olive,0.46,0.3358,0.5842,,,,,,,,,,,,,
13463,Cool Temperate,Dry,Western Africa,Orchard,0.43,0.2322,0.6278,,,,,,,,,,,,,
13464,Cool Temperate,Dry,Western Africa,Vine,0.28,0.2072,0.3528,,,,,,,,,,,,,
13465,Cool Temperate,Dry,Western Africa,Short Rotation Coppice,3.2,1.92,4.48,,,,,,,,,,,,,
13466,Cool Temperate,Dry,Western Africa,Tea,0.7,0.525,0.875,,,,,,,,,,,,,
13467,Cool Temperate,Dry,Central Asia,Agroforestry - Default,1.883333333,0.470833333,3.295833333,,,,,,,,,,,,,
13468,Cool Temperate,Dry,Central Asia,Hedgerow,0.87,0.4437,1.2963,,,,,,,,,,,,,
13469,Cool Temperate,Dry,Central Asia,Silvoarable,2.97,0.7425,5.1975,,,,,,,,,,,,,
13470,Cool Temperate,Dry,Central Asia,Silvopasture,1.81,1.0136,2.6064,,,,,,,,,,,,,
13471,Cool Temperate,Dry,Central Asia,Olive,0.46,0.3358,0.5842,,,,,,,,,,,,,
13472,Cool Temperate,Dry,Central Asia,Orchard,0.43,0.2322,0.6278,,,,,,,,,,,,,
13473,Cool Temperate,Dry,Central Asia,Vine,0.28,0.2072,0.3528,,,,,,,,,,,,,
13474,Cool Temperate,Dry,Central Asia,Short Rotation Coppice,3.2,1.92,4.48,,,,,,,,,,,,,
13475,Cool Temperate,Dry,Central Asia,Tea,0.7,0.525,0.875,,,,,,,,,,,,,
13476,Cool Temperate,Dry,Eastern Asia,Agroforestry - Default,1.883333333,0.470833333,3.295833333,,,,,,,,,,,,,
13477,Cool Temperate,Dry,Eastern Asia,Hedgerow,0.87,0.4437,1.2963,,,,,,,,,,,,,
13478,Cool Temperate,Dry,Eastern Asia,Silvoarable,2.97,0.7425,5.1975,,,,,,,,,,,,,
13479,Cool Temperate,Dry,Eastern Asia,Silvopasture,1.81,1.0136,2.6064,,,,,,,,,,,,,
13480,Cool Temperate,Dry,Eastern Asia,Olive,0.46,0.3358,0.5842,,,,,,,,,,,,,
13481,Cool Temperate,Dry,Eastern Asia,Orchard,0.43,0.2322,0.6278,,,,,,,,,,,,,
13482,Cool Temperate,Dry,Eastern Asia,Vine,0.28,0.2072,0.3528,,,,,,,,,,,,,
13483,Cool Temperate,Dry,Eastern Asia,Short Rotation Coppice,3.2,1.92,4.48,,,,,,,,,,,,,
13484,Cool Temperate,Dry,Eastern Asia,Tea,0.7,0.525,0.875,,,,,,,,,,,,,
13485,Cool Temperate,Dry,South-Eastern Asia,Agroforestry - Default,1.883333333,0.470833333,3.295833333,,,,,,,,,,,,,
13486,Cool Temperate,Dry,South-Eastern Asia,Hedgerow,0.87,0.4437,1.2963,,,,,,,,,,,,,
13487,Cool Temperate,Dry,South-Eastern Asia,Silvoarable,2.97,0.7425,5.1975,,,,,,,,,,,,,
13488,Cool Temperate,Dry,South-Eastern Asia,Silvopasture,1.81,1.0136,2.6064,,,,,,,,,,,,,
13489,Cool Temperate,Dry,South-Eastern Asia,Olive,0.46,0.3358,0.5842,,,,,,,,,,,,,
13490,Cool Temperate,Dry,South-Eastern Asia,Orchard,0.43,0.2322,0.6278,,,,,,,,,,,,,
13491,Cool Temperate,Dry,South-Eastern Asia,Vine,0.28,0.2072,0.3528,,,,,,,,,,,,,
13492,Cool Temperate,Dry,South-Eastern Asia,Short Rotation Coppice,3.2,1.92,4.48,,,,,,,,,,,,,
13493,Cool Temperate,Dry,South-Eastern Asia,Tea,0.7,0.525,0.875,,,,,,,,,,,,,
13494,Cool Temperate,Dry,Southern Asia,Agroforestry - Default,1.883333333,0.470833333,3.295833333,,,,,,,,,,,,,
13495,Cool Temperate,Dry,Southern Asia,Hedgerow,0.87,0.4437,1.2963,,,,,,,,,,,,,
13496,Cool Temperate,Dry,Southern Asia,Silvoarable,2.97,0.7425,5.1975,,,,,,,,,,,,,
13497,Cool Temperate,Dry,Southern Asia,Silvopasture,1.81,1.0136,2.6064,,,,,,,,,,,,,
13498,Cool Temperate,Dry,Southern Asia,Olive,0.46,0.3358,0.5842,,,,,,,,,,,,,
13499,Cool Temperate,Dry,Southern Asia,Orchard,0.43,0.2322,0.6278,,,,,,,,,,,,,
13500,Cool Temperate,Dry,Southern Asia,Vine,0.28,0.2072,0.3528,,,,,,,,,,,,,
13501,Cool Temperate,Dry,Southern Asia,Short Rotation Coppice,3.2,1.92,4.48,,,,,,,,,,,,,
13502,Cool Temperate,Dry,Southern Asia,Tea,0.7,0.525,0.875,,,,,,,,,,,,,
13503,Cool Temperate,Dry,Western Asia,Agroforestry - Default,1.883333333,0.470833333,3.295833333,,,,,,,,,,,,,
13504,Cool Temperate,Dry,Western Asia,Hedgerow,0.87,0.4437,1.2963,,,,,,,,,,,,,
13505,Cool Temperate,Dry,Western Asia,Silvoarable,2.97,0.7425,5.1975,,,,,,,,,,,,,
13506,Cool Temperate,Dry,Western Asia,Silvopasture,1.81,1.0136,2.6064,,,,,,,,,,,,,
13507,Cool Temperate,Dry,Western Asia,Olive,0.46,0.3358,0.5842,,,,,,,,,,,,,
13508,Cool Temperate,Dry,Western Asia,Orchard,0.43,0.2322,0.6278,,,,,,,,,,,,,
13509,Cool Temperate,Dry,Western Asia,Vine,0.28,0.2072,0.3528,,,,,,,,,,,,,
13510,Cool Temperate,Dry,Western Asia,Short Rotation Coppice,3.2,1.92,4.48,,,,,,,,,,,,,
13511,Cool Temperate,Dry,Western Asia,Tea,0.7,0.525,0.875,,,,,,,,,,,,,
13512,Cool Temperate,Dry,Europe,Agroforestry - Default,1.386666667,0.526933333,2.246400001,,,,,,,,,,,,,
13513,Cool Temperate,Dry,Europe,Hedgerow,0.87,0.4437,1.2963,,,,,,,,,,,,,
13514,Cool Temperate,Dry,Europe,Silvoarable,1.12,0.4256,1.8144,,,,,,,,,,,,,
13515,Cool Temperate,Dry,Europe,Silvopasture,2.17,1.1501,3.1899,,,,,,,,,,,,,
13516,Cool Temperate,Dry,Europe,Olive,0.46,0.3358,0.5842,,,,,,,,,,,,,
13517,Cool Temperate,Dry,Europe,Orchard,0.43,0.2322,0.6278,,,,,,,,,,,,,
13518,Cool Temperate,Dry,Europe,Vine,0.28,0.2072,0.3528,,,,,,,,,,,,,
13519,Cool Temperate,Dry,Europe,Short Rotation Coppice,3.2,1.92,4.48,,,,,,,,,,,,,
13520,Cool Temperate,Dry,Europe,Tea,0.7,0.525,0.875,,,,,,,,,,,,,
13521,Cool Temperate,Dry,Oceania,Agroforestry - Default,1.266666667,0.481333333,2.052000001,,,,,,,,,,,,,
13522,Cool Temperate,Dry,Oceania,Hedgerow,0.87,0.4437,1.2963,,,,,,,,,,,,,
13523,Cool Temperate,Dry,Oceania,Silvoarable,1.12,0.4256,1.8144,,,,,,,,,,,,,
13524,Cool Temperate,Dry,Oceania,Silvopasture,1.81,1.0136,2.6064,,,,,,,,,,,,,
13525,Cool Temperate,Dry,Oceania,Olive,0.46,0.3358,0.5842,,,,,,,,,,,,,
