id,climate,moisture,soil_type,land_use_type,value,value_min,value_max,"Source: 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands, IPCC (2014), table 4.12."
79,Boreal,Dry,Mineral,Tidal Marsh,-0.91,-1.1,-0.7,
80,Boreal,Dry,Mineral,Seagrass,-0.43,-0.7,-0.2,
81,Boreal,Moist,Mineral,Tidal Marsh,-0.91,-1.1,-0.7,
82,Boreal,Moist,Mineral,Seagrass,-0.43,-0.7,-0.2,
83,Cool Temperate,Dry,Mineral,Tidal Marsh,-0.91,-1.1,-0.7,
84,Cool Temperate,Dry,Mineral,Seagrass,-0.43,-0.7,-0.2,
85,Cool Temperate,Moist,Mineral,Tidal Marsh,-0.91,-1.1,-0.7,
86,Cool Temperate,Moist,Mineral,Seagrass,-0.43,-0.7,-0.2,
87,Warm Temperate,Dry,Mineral,Tidal Marsh,-0.91,-1.1,-0.7,
88,Warm Temperate,Dry,Mineral,Seagrass,-0.43,-0.7,-0.2,
89,Warm Temperate,Dry,Mineral,Mangrove,-1.62,-2,-1.3,
90,Warm Temperate,Moist,Mineral,Tidal Marsh,-0.91,-1.1,-0.7,
91,Warm Temperate,Moist,Mineral,Seagrass,-0.43,-0.7,-0.2,
92,Warm Temperate,Moist,Mineral,Mangrove,-1.62,-2,-1.3,
93,Tropical,Dry,Mineral,Tidal Marsh,-0.91,-1.1,-0.7,
94,Tropical,Dry,Mineral,Seagrass,-0.43,-0.7,-0.2,
95,Tropical,Dry,Mineral,Mangrove,-1.62,-2,-1.3,
96,Tropical,Moist,Mineral,Tidal Marsh,-0.91,-1.1,-0.7,
97,Tropical,Moist,Mineral,Seagrass,-0.43,-0.7,-0.2,
98,Tropical,Moist,Mineral,Mangrove,-1.62,-2,-1.3,
99,Tropical,Wet,Mineral,Tidal Marsh,-0.91,-1.1,-0.7,
100,Tropical,Wet,Mineral,Seagrass,-0.43,-0.7,-0.2,
101,Tropical,Wet,Mineral,Mangrove,-1.62,-2,-1.3,
102,Tropical Montane,Dry,Mineral,Tidal Marsh,-0.91,-1.1,-0.7,
103,Tropical Montane,Dry,Mineral,Seagrass,-0.43,-0.7,-0.2,
104,Tropical Montane,Dry,Mineral,Mangrove,-1.62,-2,-1.3,
105,Boreal,Dry,Organic,Tidal Marsh,-0.91,-1.1,-0.7,
106,Boreal,Dry,Organic,Seagrass,-0.43,-0.7,-0.2,
107,Boreal,Moist,Organic,Tidal Marsh,-0.91,-1.1,-0.7,
108,Boreal,Moist,Organic,Seagrass,-0.43,-0.7,-0.2,
109,Cool Temperate,Dry,Organic,Tidal Marsh,-0.91,-1.1,-0.7,
110,Cool Temperate,Dry,Organic,Seagrass,-0.43,-0.7,-0.2,
111,Cool Temperate,Moist,Organic,Tidal Marsh,-0.91,-1.1,-0.7,
112,Cool Temperate,Moist,Organic,Seagrass,-0.43,-0.7,-0.2,
113,Warm Temperate,Dry,Organic,Tidal Marsh,-0.91,-1.1,-0.7,
114,Warm Temperate,Dry,Organic,Seagrass,-0.43,-0.7,-0.2,
115,Warm Temperate,Dry,Organic,Mangrove,-1.62,-2,-1.3,
116,Warm Temperate,Moist,Organic,Tidal Marsh,-0.91,-1.1,-0.7,
117,Warm Temperate,Moist,Organic,Seagrass,-0.43,-0.7,-0.2,
118,Warm Temperate,Moist,Organic,Mangrove,-1.62,-2,-1.3,
119,Tropical,Dry,Organic,Tidal Marsh,-0.91,-1.1,-0.7,
120,Tropical,Dry,Organic,Seagrass,-0.43,-0.7,-0.2,
121,Tropical,Dry,Organic,Mangrove,-1.62,-2,-1.3,
122,Tropical,Moist,Organic,Tidal Marsh,-0.91,-1.1,-0.7,
123,Tropical,Moist,Organic,Seagrass,-0.43,-0.7,-0.2,
124,Tropical,Moist,Organic,Mangrove,-1.62,-2,-1.3,
125,Tropical,Wet,Organic,Tidal Marsh,-0.91,-1.1,-0.7,
126,Tropical,Wet,Organic,Seagrass,-0.43,-0.7,-0.2,
127,Tropical,Wet,Organic,Mangrove,-1.62,-2,-1.3,
128,Tropical Montane,Dry,Organic,Tidal Marsh,-0.91,-1.1,-0.7,
129,Tropical Montane,Dry,Organic,Seagrass,-0.43,-0.7,-0.2,
130,Tropical Montane,Dry,Organic,Mangrove,-1.62,-2,-1.3,
131,Boreal,Dry,Aggregated,Tidal Marsh,-0.91,-1.1,-0.7,
132,Boreal,Dry,Aggregated,Seagrass,-0.43,-0.7,-0.2,
133,Boreal,Moist,Aggregated,Tidal Marsh,-0.91,-1.1,-0.7,
134,Boreal,Moist,Aggregated,Seagrass,-0.43,-0.7,-0.2,
135,Cool Temperate,Dry,Aggregated,Tidal Marsh,-0.91,-1.1,-0.7,
136,Cool Temperate,Dry,Aggregated,Seagrass,-0.43,-0.7,-0.2,
137,Cool Temperate,Moist,Aggregated,Tidal Marsh,-0.91,-1.1,-0.7,
138,Cool Temperate,Moist,Aggregated,Seagrass,-0.43,-0.7,-0.2,
139,Warm Temperate,Dry,Aggregated,Tidal Marsh,-0.91,-1.1,-0.7,
140,Warm Temperate,Dry,Aggregated,Seagrass,-0.43,-0.7,-0.2,
141,Warm Temperate,Dry,Aggregated,Mangrove,-1.62,-2,-1.3,
142,Warm Temperate,Moist,Aggregated,Tidal Marsh,-0.91,-1.1,-0.7,
143,Warm Temperate,Moist,Aggregated,Seagrass,-0.43,-0.7,-0.2,
144,Warm Temperate,Moist,Aggregated,Mangrove,-1.62,-2,-1.3,
145,Tropical,Dry,Aggregated,Tidal Marsh,-0.91,-1.1,-0.7,
146,Tropical,Dry,Aggregated,Seagrass,-0.43,-0.7,-0.2,
147,Tropical,Dry,Aggregated,Mangrove,-1.62,-2,-1.3,
148,Tropical,Moist,Aggregated,Tidal Marsh,-0.91,-1.1,-0.7,
149,Tropical,Moist,Aggregated,Seagrass,-0.43,-0.7,-0.2,
150,Tropical,Moist,Aggregated,Mangrove,-1.62,-2,-1.3,
151,Tropical,Wet,Aggregated,Tidal Marsh,-0.91,-1.1,-0.7,
152,Tropical,Wet,Aggregated,Seagrass,-0.43,-0.7,-0.2,
153,Tropical,Wet,Aggregated,Mangrove,-1.62,-2,-1.3,
154,Tropical Montane,Dry,Aggregated,Tidal Marsh,-0.91,-1.1,-0.7,
155,Tropical Montane,Dry,Aggregated,Seagrass,-0.43,-0.7,-0.2,
156,Tropical Montane,Dry,Aggregated,Mangrove,-1.62,-2,-1.3,
