id,climate,moisture,land_use_type,value,salinity,value_min,value_max,"Source: 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands, IPCC (2014), table 4.14."
232,Boreal,Dry,Tidal Marsh,193.7,<18,99.8,358,
233,Boreal,Dry,Seagrass,0,<18,0,40,
234,Boreal,Dry,Mangrove,0,<18,0,40,
235,Boreal,Moist,Tidal Marsh,193.7,<18,99.8,358,
236,Boreal,Moist,Seagrass,0,<18,0,40,
237,Boreal,Moist,Mangrove,0,<18,0,40,
238,Cool Temperate,Dry,Tidal Marsh,193.7,<18,99.8,358,
239,Cool Temperate,Dry,Seagrass,0,<18,0,40,
240,Cool Temperate,Dry,Mangrove,0,<18,0,40,
241,Cool Temperate,Moist,Tidal Marsh,193.7,<18,99.8,358,
242,Cool Temperate,Moist,Seagrass,0,<18,0,40,
243,Cool Temperate,Moist,Mangrove,0,<18,0,40,
244,Warm Temperate,Dry,Tidal Marsh,193.7,<18,99.8,358,
245,Warm Temperate,Dry,Seagrass,0,<18,0,40,
246,Warm Temperate,Dry,Mangrove,193.7,<18,99.8,358,
247,Warm Temperate,Moist,Tidal Marsh,193.7,<18,99.8,358,
248,Warm Temperate,Moist,Seagrass,0,<18,0,40,
249,Warm Temperate,Moist,Mangrove,193.7,<18,99.8,358,
250,Tropical,Dry,Tidal Marsh,193.7,<18,99.8,358,
251,Tropical,Dry,Seagrass,0,<18,0,40,
252,Tropical,Dry,Mangrove,193.7,<18,99.8,358,
253,Tropical,Moist,Tidal Marsh,193.7,<18,99.8,358,
254,Tropical,Moist,Seagrass,0,<18,0,40,
255,Tropical,Moist,Mangrove,193.7,<18,99.8,358,
256,Tropical,Wet,Tidal Marsh,193.7,<18,99.8,358,
257,Tropical,Wet,Seagrass,0,<18,0,40,
258,Tropical,Wet,Mangrove,193.7,<18,99.8,358,
259,Tropical Montane,Dry,Tidal Marsh,193.7,<18,99.8,358,
260,Tropical Montane,Dry,Seagrass,0,<18,0,40,
261,Tropical Montane,Dry,Mangrove,193.7,<18,99.8,358,
262,Boreal,Dry,Tidal Marsh,0,>18,0,40,
263,Boreal,Dry,Seagrass,0,>18,0,40,
264,Boreal,Dry,Mangrove,0,>18,0,40,
265,Boreal,Moist,Tidal Marsh,0,>18,0,40,
266,Boreal,Moist,Seagrass,0,>18,0,40,
267,Boreal,Moist,Mangrove,0,>18,0,40,
268,Cool Temperate,Dry,Tidal Marsh,0,>18,0,40,
269,Cool Temperate,Dry,Seagrass,0,>18,0,40,
270,Cool Temperate,Dry,Mangrove,0,>18,0,40,
271,Cool Temperate,Moist,Tidal Marsh,0,>18,0,40,
272,Cool Temperate,Moist,Seagrass,0,>18,0,40,
273,Cool Temperate,Moist,Mangrove,0,>18,0,40,
274,Warm Temperate,Dry,Tidal Marsh,0,>18,0,40,
275,Warm Temperate,Dry,Seagrass,0,>18,0,40,
276,Warm Temperate,Dry,Mangrove,0,>18,0,40,
277,Warm Temperate,Moist,Tidal Marsh,0,>18,0,40,
278,Warm Temperate,Moist,Seagrass,0,>18,0,40,
279,Warm Temperate,Moist,Mangrove,0,>18,0,40,
280,Tropical,Dry,Tidal Marsh,0,>18,0,40,
281,Tropical,Dry,Seagrass,0,>18,0,40,
282,Tropical,Dry,Mangrove,0,>18,0,40,
283,Tropical,Moist,Tidal Marsh,0,>18,0,40,
284,Tropical,Moist,Seagrass,0,>18,0,40,
285,Tropical,Moist,Mangrove,0,>18,0,40,
286,Tropical,Wet,Tidal Marsh,0,>18,0,40,
287,Tropical,Wet,Seagrass,0,>18,0,40,
288,Tropical,Wet,Mangrove,0,>18,0,40,
289,Tropical Montane,Dry,Tidal Marsh,0,>18,0,40,
290,Tropical Montane,Dry,Seagrass,0,>18,0,40,
291,Tropical Montane,Dry,Mangrove,0,>18,0,40,
