id,continent,cultivation_period,value,cultivation_period_min,cultivation_period_max,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 5.11, 5.11A"
16,Caribbean,113,1.19,74,152,0.8,1.76,
15,Central America,113,1.19,74,152,0.8,1.76,
14,South America,124,1.27,110,146,0.86,1.88,
13,North America,139,0.65,110,165,0.44,0.96,
12,Oceania,113,1.19,74,152,0.8,1.76,
11,Europe,123,1.56,111,153,1.06,2.31,
10,Western Asia,113,1.19,74,152,0.8,1.76,
9,Southern Asia,112,0.85,90,140,0.58,1.26,
8,South-Eastern Asia,102,1.22,78,150,0.83,1.81,
7,Eastern Asia,112,1.32,73,147,0.89,1.96,
6,Central Asia,113,1.19,74,152,0.8,1.76,
5,Western Africa,113,1.19,74,152,0.8,1.76,
4,Southern Africa,113,1.19,74,152,0.8,1.76,
3,Northern Africa,113,1.19,74,152,0.8,1.76,
2,Central Africa,113,1.19,74,152,0.8,1.76,
1,Eastern Africa,113,1.19,74,152,0.8,1.76,
