id,continent,value,value_min,value_max,Source: FAOSTAT
1,Caribbean,4.2997,N/A,N/A,
2,Central America,4.9066,N/A,N/A,
3,Central Asia,3.6902,N/A,N/A,
4,Eastern Africa,2.5449,N/A,N/A,
5,Eastern Asia,6.9739,N/A,N/A,
6,Europe,6.3766,N/A,N/A,
7,Central Africa,1.1161,N/A,N/A,
8,Northern Africa,8.6981,N/A,N/A,
9,Oceania,6.6937,N/A,N/A,
10,South America,6.1154,N/A,N/A,
11,South-Eastern Asia,4.2911,N/A,N/A,
12,Southern Africa,2.9177,N/A,N/A,
13,Southern Asia,4.0533,N/A,N/A,
14,Western Africa,1.9235,N/A,N/A,
15,Western Asia,6.3167,N/A,N/A,
16,North America,8.5398,N/A,N/A,
