id,fishery_type,gear_type,value,value_min,value_max,Source: FAO IHH publication
1,Marine,Trawls,671,N/A,N/A,
2,Unmotorized Fishing,Trawls,0,N/A,N/A,
3,Marine,Gillnets And Entangling Nets,336,N/A,N/A,
4,Inland,Gillnets And Entangling Nets,247,N/A,N/A,
5,Unmotorized Fishing,Gillnets And Entangling Nets,0,N/A,N/A,
6,Marine,Hooks And Lines,607,N/A,N/A,
7,Unmotorized Fishing,Hooks And Lines,0,N/A,N/A,
8,Marine,Multiple,1415,N/A,N/A,
9,Inland,Multiple,465,N/A,N/A,
10,Unmotorized Fishing,Multiple,0,N/A,N/A,
11,Marine,Pots And Traps,884,N/A,N/A,
12,Unmotorized Fishing,Pots And Traps,0,N/A,N/A,
13,Marine,Surrounding Nets,73,N/A,N/A,
14,Unmotorized Fishing,Surrounding Nets,0,N/A,N/A,
15,Marine,Dredges,880,N/A,N/A,
16,Unmotorized Fishing,Dredges,0,N/A,N/A,
17,Marine,Not Specified,695,N/A,N/A,
18,Inland,Not Specified,356,N/A,N/A,
19,Unmotorized Fishing,Not Specified,0,N/A,N/A,
