id,climate,moisture,soil_type,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 2.3."
493,Boreal,Dry,Low Activity Clay,N/A,N/A,N/A,
492,Tropical Montane,Dry,Wetland,82,41,123,
491,Tropical Montane,Dry,Volcanic,96,66.24,125.76,
490,Tropical Montane,Dry,Sandy,52,34.32,69.68,
489,Tropical Montane,Dry,Low Activity Clay,44,39.16,48.84,
488,Tropical Montane,Dry,High Activity Clay,51,45.9,56.1,
487,Tropical,Wet,Wetland,49,39.69,58.31,
486,Tropical,Wet,Volcanic,77,56.21,97.79,
485,Tropical,Wet,Sandy,46,36.8,55.2,
484,Tropical,Wet,Low Activity Clay,52,48.88,55.12,
483,Tropical,Wet,High Activity Clay,60,55.2,64.8,
482,Tropical,Moist,Wetland,68,56.44,79.56,
481,Tropical,Moist,Volcanic,70,7,133,
480,Tropical,Moist,Sandy,27,23.76,30.24,
479,Tropical,Moist,Low Activity Clay,38,36.1,39.9,
478,Tropical,Moist,High Activity Clay,40,37.2,42.8,
477,Tropical,Dry,Wetland,22,18.26,25.74,
476,Tropical,Dry,Volcanic,50,5,95,
475,Tropical,Dry,Sandy,9,8.19,9.81,
474,Tropical,Dry,Low Activity Clay,19,17.1,20.9,
473,Tropical,Dry,High Activity Clay,21,19.95,22.05,
472,Warm Temperate,Moist,Wetland,135,97.2,172.8,
471,Warm Temperate,Moist,Volcanic,138,121.44,154.56,
470,Warm Temperate,Moist,Spodic,143,100.1,185.9,
469,Warm Temperate,Moist,Sandy,36,27.72,44.28,
468,Warm Temperate,Moist,Low Activity Clay,55,50.6,59.4,
467,Warm Temperate,Moist,High Activity Clay,64,60.8,67.2,
466,Warm Temperate,Dry,Wetland,74,61.42,86.58,
465,Warm Temperate,Dry,Volcanic,84,29.4,138.6,
464,Warm Temperate,Dry,Sandy,10,9.5,10.5,
463,Warm Temperate,Dry,Low Activity Clay,19,15.96,22.04,
462,Warm Temperate,Dry,High Activity Clay,24,22.8,25.2,
461,Cool Temperate,Moist,Wetland,128,111.36,144.64,
460,Cool Temperate,Moist,Volcanic,136,116.96,155.04,
459,Cool Temperate,Moist,Spodic,128,110.08,145.92,
458,Cool Temperate,Moist,Sandy,51,44.37,57.63,
457,Cool Temperate,Moist,Low Activity Clay,76,37.24,114.76,
456,Cool Temperate,Moist,High Activity Clay,81,76.95,85.05,
455,Cool Temperate,Dry,Wetland,87,8.7,165.3,
454,Cool Temperate,Dry,Volcanic,20,2,38,
453,Cool Temperate,Dry,Sandy,13,8.71,17.29,
452,Cool Temperate,Dry,Low Activity Clay,33,3.3,62.7,
451,Cool Temperate,Dry,High Activity Clay,43,39.56,46.44,
450,Boreal,Dry,Wetland,116,40.6,191.4,
449,Boreal,Dry,Volcanic,20,2,38,
448,Boreal,Dry,Spodic,117,11.7,222.3,
447,Boreal,Dry,Sandy,10,1,19,
446,Boreal,Dry,High Activity Clay,63,51.66,74.34,
445,Boreal,Moist,Wetland,116,40.6,191.4,
444,Boreal,Moist,Volcanic,20,2,38,
443,Boreal,Moist,Spodic,117,11.7,222.3,
442,Boreal,Moist,Sandy,10,1,19,
441,Boreal,Moist,High Activity Clay,63,51.66,74.34,
