id,summary,climate,moisture,continent,land_use_type,value (original),totalbiomass,totalbiomass_min,totalbiomass_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 5.1, 5.2, 5.3, 5.9, and Source: 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2006), Volume 4 AFOLU, table 6.4.",,,
,Cool Temperate | Dry | Eastern Africa | Grains,Cool Temperate,Dry,Eastern Africa,Grains,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Maize,Cool Temperate,Dry,Eastern Africa,Maize,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Sugarcane,Cool Temperate,Dry,Eastern Africa,Sugarcane,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Wheat,Cool Temperate,Dry,Eastern Africa,Wheat,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Beans & Pulses,Cool Temperate,Dry,Eastern Africa,Beans & Pulses,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Tubers,Cool Temperate,Dry,Eastern Africa,Tubers,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Root Crops,Cool Temperate,Dry,Eastern Africa,Root Crops,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Barley,Cool Temperate,Dry,Eastern Africa,Barley,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Oats,Cool Temperate,Dry,Eastern Africa,Oats,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Millet,Cool Temperate,Dry,Eastern Africa,Millet,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Sorghum,Cool Temperate,Dry,Eastern Africa,Sorghum,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Rye,Cool Temperate,Dry,Eastern Africa,Rye,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Soybeans,Cool Temperate,Dry,Eastern Africa,Soybeans,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Dry Bean,Cool Temperate,Dry,Eastern Africa,Dry Bean,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Potatoes,Cool Temperate,Dry,Eastern Africa,Potatoes,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Peanuts,Cool Temperate,Dry,Eastern Africa,Peanuts,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Vegetables,Cool Temperate,Dry,Eastern Africa,Vegetables,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Oilseeds,Cool Temperate,Dry,Eastern Africa,Oilseeds,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Groundnuts,Cool Temperate,Dry,Eastern Africa,Groundnuts,4.7,4.7,1.175,8.225,,,,
