;Co2 quantity multiplier;Co2 emissions multiplier;N2o quantity multiplier;N2o emissions multiplier;Production quantity multiplier;Productions emissions multiplier
Limestone;1;3,66666666666667;;416,428571428571;1;1
Dolomite;1;3,66666666666667;;416,428571428571;1;1
Not-Specified;1;3,66666666666667;;416,428571428571;1;1
Urea;1;3,66666666666667;0,467;416,428571428571;0,467;1
Syntethic N-fertilizers not urea;;3,66666666666667;1;416,428571428571;1;1
Phosphorus (tonnes of P205 per Year);;3,66666666666667;;416,428571428571;1;1
Potassium (tonnes of K20 per year);;3,66666666666667;;416,428571428571;1;1
N-fertilizer in continuously irrigated rice;;3,66666666666667;1;416,428571428571;1;1
N-fertilizer in wet and dry irrigated rice;;3,66666666666667;1;416,428571428571;1;1
Sewage;;3,66666666666667;1;416,428571428571;;1
Compost;;3,66666666666667;1;416,428571428571;;1
Rendering waste, brewery waste, guano;;3,66666666666667;1;416,428571428571;;1
Fungicides;;3,66666666666667;;416,428571428571;1;1
Herbicides;;3,66666666666667;;416,428571428571;1;1
Insecticides;;3,66666666666667;;416,428571428571;1;1
User defined Animal Feed;;3,66666666666667;;416,428571428571;1;1
