region,climate,moisture,soil_type,total
Eastern Asia,Tropical,Wet,Spodic,52.38105805647109
Eastern Asia,Cool Temperate,Moist,Volcanic,44.61951920254527
Eastern Asia,Boreal,Dry,Spodic,37.42060860930019
Eastern Africa,Tropical Montane,Dry,Volcanic,34.85407018260243
Eastern Asia,Tropical,Wet,Wetland,33.47932040720942
Oceania,Tropical,Moist,Sandy,30.19972376148474
Oceania,Tropical,Dry,Low Activity Clay,29.992787670297236
Eastern Asia,Cool Temperate,Moist,Spodic,29.208304944824985
Eastern Asia,Boreal,Moist,Low Activity Clay,28.945263512455067
Oceania,Warm Temperate,Dry,Volcanic,28.568547207231
North America,Tropical,Moist,Volcanic,28.547439997605032
Europe,Tropical Montane,Dry,Low Activity Clay,28.275584608214974
Oceania,Warm Temperate,Dry,High Activity Clay,26.156744474978492
Eastern Asia,Warm Temperate,Moist,Low Activity Clay,25.978020137090187
Europe,Tropical,Moist,High Activity Clay,24.94900717023001
Eastern Asia,Tropical Montane,Dry,Volcanic,24.81160391230913
Oceania,Tropical,Moist,Spodic,24.785755682749965
Oceania,Tropical,Wet,Sandy,24.622750554936605
Eastern Asia,Cool Temperate,Dry,Spodic,23.235468201405865
Oceania,Cool Temperate,Dry,High Activity Clay,23.21494394283534
Oceania,Boreal,Dry,High Activity Clay,22.384215595032142
Europe,Warm Temperate,Dry,High Activity Clay,21.352671429695988
North America,Tropical,Dry,Spodic,21.055584287237007
Eastern Asia,Tropical,Moist,Spodic,20.026706891290463
Oceania,Cool Temperate,Moist,Low Activity Clay,19.8712827452194
Eastern Asia,Tropical,Moist,Low Activity Clay,19.68283292784927
Eastern Asia,Cool Temperate,Moist,Wetland,19.61694966712937
Oceania,Boreal,Moist,Wetland,18.94070593554359
Eastern Asia,Tropical Montane,Dry,Wetland,18.12537111261444
South-Eastern Asia,Boreal,Moist,Wetland,17.730096545537993
Eastern Asia,Tropical,Dry,Low Activity Clay,17.658373328353353
Oceania,Tropical Montane,Dry,Sandy,17.087995161576394
Oceania,Tropical,Moist,Wetland,16.921017706063683
Eastern Asia,Boreal,Dry,High Activity Clay,16.862341638018673
South-Eastern Asia,Warm Temperate,Moist,High Activity Clay,16.269034954503834
South-Eastern Asia,Tropical,Moist,Sandy,15.99619677490956
Oceania,Tropical Montane,Dry,Wetland,15.682161951767062
North America,Tropical,Moist,High Activity Clay,15.318892176555028
Oceania,Warm Temperate,Moist,Wetland,15.252474870226763
North America,Tropical Montane,Dry,Wetland,15.091297027052995
Oceania,Tropical,Wet,High Activity Clay,14.803985638996572
North America,Tropical Montane,Dry,High Activity Clay,14.434427571419993
Oceania,Boreal,Moist,High Activity Clay,14.393929322293028
South-Eastern Asia,Boreal,Dry,High Activity Clay,14.325287016858272
South America,Cool Temperate,Moist,Spodic,14.050206316396022
South-Eastern Asia,Boreal,Moist,Sandy,13.942471556470666
Oceania,Tropical,Moist,Volcanic,13.842054171528666
Eastern Asia,Cool Temperate,Moist,Low Activity Clay,13.728005641434176
Oceania,Boreal,Dry,Spodic,13.68640833396066
South-Eastern Asia,Cool Temperate,Moist,High Activity Clay,13.514297496788195
Europe,Tropical Montane,Dry,Wetland,13.251337168004987
North America,Boreal,Moist,Volcanic,13.113464250705022
South-Eastern Asia,Tropical Montane,Dry,Spodic,13.061175109222727
North America,Tropical,Moist,Spodic,12.944556466725018
Oceania,Boreal,Moist,Low Activity Clay,12.879843542078747
South-Eastern Asia,Boreal,Moist,High Activity Clay,12.80749970722685
Central America,Tropical,Wet,Volcanic,12.657647840644266
South-Eastern Asia,Cool Temperate,Moist,Spodic,12.266576502865423
North America,Warm Temperate,Dry,Low Activity Clay,12.149697603458009
Eastern Asia,Tropical,Dry,Volcanic,12.089776247946995
South-Eastern Asia,Tropical,Dry,High Activity Clay,11.983143684433097
Oceania,Tropical,Wet,Low Activity Clay,11.953749473307601
North America,Tropical,Moist,Sandy,11.657979710782534
Europe,Tropical,Moist,Sandy,11.576800938497996
Oceania,Cool Temperate,Moist,Volcanic,11.567592015403907
Oceania,Warm Temperate,Dry,Low Activity Clay,11.542667615847158
South-Eastern Asia,Tropical,Moist,Wetland,11.438339375454914
Oceania,Warm Temperate,Moist,Low Activity Clay,11.421512540825722
South-Eastern Asia,Warm Temperate,Moist,Low Activity Clay,11.226091264423207
South-Eastern Asia,Boreal,Dry,Wetland,11.150145045886068
Oceania,Tropical Montane,Dry,Low Activity Clay,10.878571278133178
Europe,Cool Temperate,Dry,High Activity Clay,10.854559043355
South-Eastern Asia,Cool Temperate,Dry,Wetland,10.842617097643068
Eastern Asia,Warm Temperate,Moist,Spodic,10.616176056273893
Eastern Africa,Warm Temperate,Dry,High Activity Clay,10.580023581581052
South-Eastern Asia,Cool Temperate,Dry,Spodic,10.486683028144087
Oceania,Boreal,Dry,Wetland,10.45377765894941
Oceania,Boreal,Moist,Sandy,10.437777917706159
Eastern Asia,Boreal,Moist,Volcanic,10.372162339084579
Caribbean,Boreal,Moist,Wetland,10.370161297761726
Oceania,Tropical,Moist,High Activity Clay,10.353875724432756
North America,Warm Temperate,Moist,Volcanic,10.231492769891979
Eastern Asia,Tropical,Wet,High Activity Clay,10.199364475204007
Oceania,Tropical,Dry,Volcanic,10.026796764730237
Eastern Asia,Tropical,Wet,Low Activity Clay,9.945111875067326
South-Eastern Asia,Tropical,Moist,High Activity Clay,9.936325324858407
Central America,Cool Temperate,Moist,Spodic,9.89665400528302
North America,Cool Temperate,Moist,Wetland,9.87120415587399
Oceania,Boreal,Dry,Sandy,9.820703420921092
South-Eastern Asia,Warm Temperate,Dry,High Activity Clay,9.77447427699151
Oceania,Boreal,Moist,Volcanic,9.753836320344888
North America,Cool Temperate,Dry,Wetland,9.70063771801597
Central America,Boreal,Moist,Sandy,9.673668580872398
South-Eastern Asia,Boreal,Moist,Spodic,9.497198223038831
South-Eastern Asia,Tropical Montane,Dry,Wetland,9.452631062760272
Central America,Warm Temperate,Dry,Low Activity Clay,9.421527855619257
Eastern Asia,Cool Temperate,Dry,Wetland,9.373725817245168
Eastern Asia,Warm Temperate,Moist,Wetland,9.269935217103539
Eastern Asia,Cool Temperate,Dry,High Activity Clay,9.18834425216084
Eastern Asia,Tropical,Moist,Wetland,9.032149678944483
South-Eastern Asia,Boreal,Moist,Volcanic,9.02324042770326
South-Eastern Asia,Tropical,Moist,Spodic,8.998867806780096
South-Eastern Asia,Cool Temperate,Moist,Low Activity Clay,8.977688236441182
North America,Tropical Montane,Dry,Volcanic,8.962508023229983
South-Eastern Asia,Tropical Montane,Dry,High Activity Clay,8.909242519091501
Europe,Cool Temperate,Dry,Volcanic,8.862409749622506
South-Eastern Asia,Cool Temperate,Dry,High Activity Clay,8.816674683125694
Oceania,Cool Temperate,Dry,Spodic,8.691088448011927
Western Africa,Warm Temperate,Moist,Sandy,8.683659941765644
North America,Warm Temperate,Dry,High Activity Clay,8.595862094128005
Oceania,Warm Temperate,Moist,High Activity Clay,8.575204791411949
South-Eastern Asia,Tropical,Wet,Volcanic,8.502162544423747
South-Eastern Asia,Warm Temperate,Moist,Sandy,8.411891452468709
Eastern Asia,Boreal,Dry,Wetland,8.393602616834126
Oceania,Warm Temperate,Dry,Wetland,8.366439906814662
Oceania,Cool Temperate,Dry,Wetland,8.309435507582396
Western Africa,Warm Temperate,Moist,Wetland,8.309426607442175
South-Eastern Asia,Tropical,Wet,Low Activity Clay,8.22502859250315
South-Eastern Asia,Cool Temperate,Moist,Volcanic,8.140195535811786
South-Eastern Asia,Boreal,Dry,Low Activity Clay,8.065115732730476
Europe,Warm Temperate,Moist,Volcanic,7.860762241894493
Europe,Cool Temperate,Dry,Low Activity Clay,7.823883810515003
Central America,Boreal,Dry,Low Activity Clay,7.676501544319918
Caribbean,Cool Temperate,Dry,Volcanic,7.628659643775159
South-Eastern Asia,Tropical,Dry,Sandy,7.5126441168831475
South-Eastern Asia,Tropical,Moist,Low Activity Clay,7.495598897846605
Oceania,Tropical,Wet,Spodic,7.463871086451673
North America,Tropical Montane,Dry,Low Activity Clay,7.460218851487501
North America,Tropical,Dry,Wetland,7.303445827833032
Oceania,Boreal,Dry,Volcanic,7.242998802439434
Southern Africa,Warm Temperate,Moist,Wetland,7.181779584830741
Eastern Asia,Boreal,Dry,Sandy,7.1359196910690645
Caribbean,Tropical,Moist,Low Activity Clay,7.074853325961045
Eastern Asia,Boreal,Dry,Low Activity Clay,7.066824810671679
South America,Tropical,Moist,High Activity Clay,6.984531701587441
Central Asia,Warm Temperate,Moist,Low Activity Clay,6.958073009278552
South America,Tropical Montane,Dry,Spodic,6.9149906164262385
South-Eastern Asia,Tropical Montane,Dry,Low Activity Clay,6.861852372129927
Caribbean,Cool Temperate,Dry,Sandy,6.693769568061131
Europe,Warm Temperate,Dry,Low Activity Clay,6.654129110171988
South America,Tropical,Dry,Sandy,6.607342557374308
South America,Boreal,Moist,Low Activity Clay,6.607088729470161
Europe,Tropical,Wet,Low Activity Clay,6.552009452767477
Europe,Cool Temperate,Moist,Low Activity Clay,6.5292709176450066
Oceania,Tropical,Moist,Low Activity Clay,6.457620760795063
Europe,Tropical,Dry,Low Activity Clay,6.438168257377523
Caribbean,Tropical,Dry,Sandy,6.4066360702807055
South-Eastern Asia,Tropical,Wet,Sandy,6.401887999472121
North America,Tropical,Wet,Spodic,6.373586312055003
Oceania,Cool Temperate,Moist,Sandy,6.35541309913845
Europe,Tropical,Moist,Wetland,6.348565496574018
Caribbean,Cool Temperate,Moist,Low Activity Clay,6.327134820155781
Caribbean,Cool Temperate,Moist,Wetland,6.320196364477347
Oceania,Warm Temperate,Moist,Sandy,6.30556231858968
Central America,Warm Temperate,Moist,Volcanic,6.2955534874299595
North America,Cool Temperate,Dry,Volcanic,6.293623905227004
Central America,Tropical Montane,Dry,Volcanic,6.22524452523004
South-Eastern Asia,Boreal,Dry,Sandy,6.15309143173128
Central America,Boreal,Dry,High Activity Clay,6.152763170132719
Central America,Cool Temperate,Dry,Sandy,6.112994125993103
Europe,Warm Temperate,Moist,Spodic,6.096897708917485
South-Eastern Asia,Boreal,Moist,Low Activity Clay,6.053752245661407
Eastern Asia,Tropical Montane,Dry,High Activity Clay,6.041083654644663
South-Eastern Asia,Tropical,Wet,Spodic,5.9935118335052575
Northern Africa,Tropical,Dry,Low Activity Clay,5.973130827241456
Eastern Asia,Tropical,Moist,Volcanic,5.951750552978585
Western Africa,Boreal,Dry,Wetland,5.841538299280035
North America,Cool Temperate,Moist,Spodic,5.805321141329493
North America,Warm Temperate,Dry,Volcanic,5.771031751310015
Central America,Cool Temperate,Dry,High Activity Clay,5.767230915074961
Eastern Asia,Boreal,Moist,High Activity Clay,5.690676300310823
South-Eastern Asia,Warm Temperate,Moist,Wetland,5.662461739741936
South America,Cool Temperate,Moist,Volcanic,5.589472760360767
Eastern Asia,Boreal,Moist,Spodic,5.574317323299767
Europe,Cool Temperate,Dry,Wetland,5.464192231192502
North America,Warm Temperate,Moist,Spodic,5.449371603402004
Eastern Asia,Tropical,Dry,Wetland,5.446844543417947
South-Eastern Asia,Warm Temperate,Dry,Spodic,5.42353419903656
Central America,Boreal,Dry,Spodic,5.422846616016441
Western Asia,Warm Temperate,Dry,Sandy,5.386571107962059
South America,Warm Temperate,Dry,Volcanic,5.342213513117855
South-Eastern Asia,Tropical,Wet,High Activity Clay,5.334841994747573
Europe,Tropical,Dry,Wetland,5.322147719949989
Central Asia,Cool Temperate,Moist,Spodic,5.313038794864819
South-Eastern Asia,Warm Temperate,Moist,Spodic,5.247098496127617
South-Eastern Asia,Boreal,Dry,Spodic,5.245349520580507
Western Asia,Tropical Montane,Dry,Low Activity Clay,5.226664392943533
South America,Tropical,Wet,Volcanic,5.171473252078653
Caribbean,Boreal,Dry,Spodic,5.099533707946009
Caribbean,Warm Temperate,Moist,Sandy,5.071688544873867
South-Eastern Asia,Cool Temperate,Moist,Sandy,5.047426656309337
South America,Tropical,Dry,Low Activity Clay,5.041012068471538
Central America,Tropical Montane,Dry,Spodic,5.0006000971928835
Central America,Cool Temperate,Moist,Volcanic,4.908476905932531
Caribbean,Warm Temperate,Moist,Wetland,4.879815016059154
Central America,Tropical,Moist,Wetland,4.8722444798368665
Western Africa,Warm Temperate,Dry,Low Activity Clay,4.868297823975073
Southern Asia,Tropical,Moist,Low Activity Clay,4.855894481091719
South America,Warm Temperate,Dry,Wetland,4.819754325210415
South-Eastern Asia,Tropical,Dry,Low Activity Clay,4.77029252327593
Oceania,Warm Temperate,Moist,Spodic,4.764434611816172
Northern Africa,Warm Temperate,Dry,Spodic,4.755803250678529
Europe,Cool Temperate,Moist,Spodic,4.750203482157502
Southern Asia,Tropical,Dry,Wetland,4.680334831660139
Western Africa,Warm Temperate,Dry,Sandy,4.67585843993101
Central Africa,Warm Temperate,Dry,Sandy,4.654072112269747
Oceania,Cool Temperate,Moist,Wetland,4.589415080849991
South-Eastern Asia,Tropical,Dry,Wetland,4.553067675082725
Eastern Asia,Cool Temperate,Dry,Sandy,4.543984361364065
Southern Asia,Boreal,Dry,Spodic,4.53940870354545
Europe,Boreal,Dry,Wetland,4.4570291667449995
Western Asia,Cool Temperate,Dry,Spodic,4.455231591074718
Central Asia,Tropical,Moist,Spodic,4.447219192026089
Northern Africa,Cool Temperate,Moist,Sandy,4.408328552964729
Europe,Cool Temperate,Moist,High Activity Clay,4.379100320260003
South America,Tropical,Wet,Low Activity Clay,4.379072035324629
Caribbean,Tropical Montane,Dry,Low Activity Clay,4.377406759555977
North America,Boreal,Dry,Low Activity Clay,4.353573588097508
Caribbean,Warm Temperate,Moist,High Activity Clay,4.346501882814817
South-Eastern Asia,Tropical,Moist,Volcanic,4.271530727443529
Northern Africa,Tropical,Moist,High Activity Clay,4.2589880426451145
Central Africa,Warm Temperate,Moist,Wetland,4.234997999936336
Southern Asia,Tropical,Dry,High Activity Clay,4.226074813087336
Western Asia,Tropical,Wet,Wetland,4.221172031822037
Central Asia,Cool Temperate,Moist,Wetland,4.2192153643785115
Southern Asia,Cool Temperate,Moist,High Activity Clay,4.116103799448872
Caribbean,Tropical,Dry,Low Activity Clay,4.102491800373857
Eastern Asia,Tropical,Moist,Sandy,4.062176198592704
Southern Asia,Warm Temperate,Moist,Volcanic,4.04710207576613
Caribbean,Tropical Montane,Dry,Wetland,4.030449365842017
Europe,Warm Temperate,Dry,Wetland,4.007516060074996
North America,Tropical,Wet,Sandy,3.982113963367495
South America,Cool Temperate,Moist,High Activity Clay,3.9646082928488715
Caribbean,Warm Temperate,Dry,Wetland,3.963378450313426
Northern Africa,Warm Temperate,Dry,Low Activity Clay,3.936895657045304
Caribbean,Tropical,Moist,Wetland,3.936404817886117
South-Eastern Asia,Tropical Montane,Dry,Volcanic,3.9198712036873338
Central Africa,Warm Temperate,Dry,Wetland,3.9132350772948445
North America,Warm Temperate,Moist,Sandy,3.8910413188020083
North America,Warm Temperate,Moist,High Activity Clay,3.8531485856010352
Southern Asia,Tropical,Moist,Wetland,3.829136472584937
Caribbean,Tropical,Wet,Low Activity Clay,3.7931623533818764
Western Africa,Warm Temperate,Dry,Volcanic,3.79151568815245
Southern Asia,Boreal,Moist,Spodic,3.7619440376318583
Southern Asia,Tropical,Wet,Low Activity Clay,3.759797245967327
Southern Asia,Cool Temperate,Dry,High Activity Clay,3.7341134894943067
South America,Boreal,Moist,Sandy,3.7055256101252363
South America,Warm Temperate,Dry,Spodic,3.6077754590222617
Southern Asia,Tropical,Moist,Sandy,3.581673437164926
South America,Boreal,Dry,High Activity Clay,3.5722996052038463
Central Asia,Cool Temperate,Moist,Low Activity Clay,3.514556089732542
Southern Asia,Warm Temperate,Moist,Low Activity Clay,3.5107850015834643
Southern Asia,Tropical Montane,Dry,Volcanic,3.4945932642789614
Southern Asia,Boreal,Dry,Low Activity Clay,3.4665248490078495
Southern Asia,Tropical,Wet,Volcanic,3.4438924343710124
Oceania,Boreal,Moist,Spodic,3.4276817371964157
Central America,Warm Temperate,Dry,High Activity Clay,3.42059570636487
Eastern Africa,Boreal,Moist,High Activity Clay,3.415645800048474
Caribbean,Boreal,Dry,Sandy,3.402689731361763
Western Africa,Warm Temperate,Dry,High Activity Clay,3.3904999718285573
Caribbean,Cool Temperate,Moist,Spodic,3.3169345093065443
Southern Asia,Cool Temperate,Moist,Sandy,3.3069584159370877
Southern Asia,Tropical,Moist,Spodic,3.303833938978501
Southern Asia,Tropical,Moist,High Activity Clay,3.297054614402888
North America,Tropical,Wet,Low Activity Clay,3.296216568989996
Central America,Boreal,Moist,Volcanic,3.28915068375507
Southern Asia,Boreal,Dry,Volcanic,3.273547580857182
Southern Asia,Tropical,Dry,Spodic,3.256033386752463
Southern Asia,Warm Temperate,Moist,Sandy,3.237951164568749
Northern Africa,Tropical Montane,Dry,Wetland,3.2328498932402585
Caribbean,Warm Temperate,Dry,Spodic,3.2307881564617906
Northern Africa,Tropical Montane,Dry,High Activity Clay,3.202916746061187
Southern Asia,Tropical Montane,Dry,High Activity Clay,3.1793779820675567
Southern Asia,Warm Temperate,Moist,Spodic,3.1680168468069922
Southern Asia,Cool Temperate,Moist,Wetland,3.1371273238513164
Southern Asia,Cool Temperate,Moist,Volcanic,3.1093282453245523
South America,Boreal,Dry,Spodic,3.1044489973026623
Southern Asia,Tropical Montane,Dry,Wetland,3.100479258899172
Western Asia,Tropical,Wet,High Activity Clay,3.052123046162329
Central America,Cool Temperate,Dry,Low Activity Clay,3.050059780589501
Southern Asia,Cool Temperate,Dry,Sandy,3.0487888435251596
Caribbean,Tropical Montane,Dry,Sandy,2.993568929556422
Central Asia,Boreal,Dry,Sandy,2.97752495729706
Northern Africa,Warm Temperate,Moist,Wetland,2.9765480283434993
Caribbean,Boreal,Moist,Low Activity Clay,2.9648403509902286
Eastern Asia,Warm Temperate,Dry,Spodic,2.9434236517447925
Southern Asia,Boreal,Moist,Wetland,2.9371801750239896
Northern Africa,Cool Temperate,Dry,Volcanic,2.8523451123495596
Southern Asia,Tropical,Wet,Sandy,2.8453188502499294
Central America,Warm Temperate,Moist,High Activity Clay,2.840468340287072
Eastern Africa,Tropical,Dry,Wetland,2.839025075131944
North America,Boreal,Moist,High Activity Clay,2.833825158742489
Eastern Africa,Warm Temperate,Dry,Spodic,2.8154061820271785
Southern Asia,Warm Temperate,Moist,High Activity Clay,2.8153267183095356
South America,Warm Temperate,Moist,Spodic,2.791887301045714
South-Eastern Asia,Cool Temperate,Dry,Sandy,2.729499277409248
North America,Cool Temperate,Dry,Low Activity Clay,2.6494013788289847
South America,Cool Temperate,Dry,Sandy,2.642706950717667
Southern Asia,Boreal,Moist,High Activity Clay,2.616903856320494
Europe,Tropical,Moist,Volcanic,2.572107485759994
Central Asia,Cool Temperate,Moist,High Activity Clay,2.537641601098799
South America,Tropical Montane,Dry,High Activity Clay,2.494529419614537
Western Asia,Warm Temperate,Dry,High Activity Clay,2.485555211205632
South America,Boreal,Dry,Low Activity Clay,2.4745173963171725
Southern Asia,Cool Temperate,Dry,Spodic,2.4714810704119454
Southern Asia,Tropical,Dry,Sandy,2.4435288679917306
Southern Asia,Boreal,Dry,Wetland,2.4316995300495527
Northern Africa,Warm Temperate,Dry,Wetland,2.4234085805218717
Southern Asia,Tropical,Wet,Wetland,2.4212048187114488
Southern Asia,Boreal,Moist,Low Activity Clay,2.3990933649623685
South-Eastern Asia,Tropical,Dry,Volcanic,2.3257291759929224
Southern Asia,Cool Temperate,Dry,Low Activity Clay,2.32034264030554
Central America,Tropical,Wet,Spodic,2.3151859160106723
South America,Tropical,Moist,Low Activity Clay,2.2909953576498205
Caribbean,Cool Temperate,Moist,Volcanic,2.2899585571750416
Southern Asia,Warm Temperate,Moist,Wetland,2.2612150112870193
Southern Asia,Tropical Montane,Dry,Sandy,2.2415565492248613
South America,Boreal,Moist,High Activity Clay,2.21289135365691
Southern Asia,Cool Temperate,Dry,Wetland,2.200263750395804
Europe,Boreal,Moist,Wetland,2.196502499382004
Caribbean,Tropical,Dry,Wetland,2.181092675176557
