region,total
Oceania,464.609985487186
South-Eastern Asia,415.01678213163336
Eastern Asia,323.5972438933508
Southern Asia,152.7185196106881
North America,71.68680458928168
South America,35.613151553736934
Caribbean,19.949716213551223
Central America,17.625617452580084
Europe,-130.2471315324178
Western Asia,-327.2903261740583
Northern Africa,-328.6291568491353
Central Asia,-423.5669165182609
Western Africa,-467.3263916648846
Eastern Africa,-471.7737722996782
Central Africa,-472.66487882077456
Southern Africa,-561.5189635803871
