module,region,climate,moisture,soil_type,count,sum,mean,median,min,max,q1,q3
Grassland,North America,Warm Temperate,Moist,Spodic,496,2170.8065904995124,4.3766261905232104,0.0,-299.06202040366685,319.1135509381549,-123.34685280499986,132.36398559559981
Grassland,Northern Africa,Warm Temperate,Moist,Spodic,496,2167.3116512379784,4.369579942012053,-0.06822810224999953,-299.21472139441687,321.3874931060546,-123.33097932814988,131.7709209346618
Grassland,South-Eastern Asia,Warm Temperate,Moist,Spodic,496,2162.771674634831,4.360426763376675,0.0,-299.6219549788668,321.6621014041549,-123.14199750049988,132.79871202242842
Grassland,Oceania,Warm Temperate,Moist,Spodic,496,2161.2512024647363,4.357361295291807,-0.027701635499999933,-299.6219549788668,320.7639825912435,-123.08334527224983,131.846394217057
Grassland,Europe,Warm Temperate,Moist,Spodic,496,2160.0714623227195,4.354982786940967,-0.055403270999999865,-299.3468342560667,321.80776556866687,-123.25930195699985,132.7987120224284
Grassland,Caribbean,Warm Temperate,Moist,Spodic,496,2158.261338678071,4.351333344109014,0.0,-299.55317479816676,321.80776556866687,-123.38932864609984,132.38582180937127
Grassland,Central Asia,Warm Temperate,Moist,Spodic,496,2157.810531403468,4.350424458474733,0.061866985949999176,-299.15674338586683,320.9352411694264,-123.27263001019985,132.10485995017126
Grassland,Western Africa,Warm Temperate,Moist,Spodic,496,2155.5469352561504,4.34586075656482,0.0,-299.3468342560667,321.40045276242637,-123.19999016599986,131.89994448074475
Grassland,Southern Africa,Warm Temperate,Moist,Spodic,496,2154.667080817655,4.344086856487207,-0.027701635499999933,-299.2004846103169,321.08067497806684,-123.31795418524987,132.70405296604747
Grassland,Southern Asia,Warm Temperate,Moist,Spodic,496,2153.932424093945,4.342605693737792,-0.027701635499999933,-299.0974169379168,320.7639825912435,-123.45765934699988,131.92061021637127
Grassland,South America,Warm Temperate,Moist,Spodic,496,2153.6192801142693,4.341974355069091,-0.027701635499999933,-299.2004846103169,321.80776556866687,-122.88245222989988,132.2057926411618
Grassland,Central Africa,Warm Temperate,Moist,Spodic,496,2151.728780686026,4.338162864286343,-0.027701635499999933,-299.4156144367667,321.0322947244614,-123.34685280499986,132.2057926411618
Grassland,Western Asia,Warm Temperate,Moist,Spodic,496,2148.4888978815216,4.331630842503068,0.0,-298.9801124814167,319.2038118316669,-123.33097932814988,132.79871202242842
Grassland,Eastern Africa,Warm Temperate,Moist,Spodic,496,2148.015542061515,4.3306764960917645,0.0,-299.6219549788668,319.91059511145954,-123.38932864609984,132.70405296604747
Grassland,Central America,Warm Temperate,Moist,Spodic,496,2147.0500580161397,4.328729955677701,0.0,-299.4156144367667,321.3874931060546,-123.08265639559983,131.89994448074475
Grassland,Eastern Asia,Warm Temperate,Moist,Spodic,496,2127.3123078744056,4.2889361045854955,0.0,-299.21541027106684,321.40045276242637,-123.23604626299984,132.35504277824475
Grassland,Central America,Warm Temperate,Moist,Volcanic,496,2097.432534952769,4.228694626920905,0.0,-289.3250684929001,310.23734115112256,-118.85930195699993,127.66258759508564
Grassland,Eastern Asia,Warm Temperate,Moist,Volcanic,496,2089.9801065980687,4.21366956975417,0.027701635499999933,-288.79107671920013,310.646793127,-118.74132328079995,127.5755497726285
Grassland,Southern Asia,Warm Temperate,Moist,Volcanic,496,2088.788223122772,4.211266578876556,0.027701635499999933,-288.84905472775006,310.27330015927157,-118.89144953399995,127.66258759508564
Grassland,North America,Warm Temperate,Moist,Volcanic,496,2088.63646769979,4.21096062036248,-0.006463714949999311,-289.3250684929001,309.2575395061955,-118.91732393639998,127.66258759508564
Grassland,Southern Africa,Warm Temperate,Moist,Volcanic,496,2086.1991312551104,4.206046635594981,-0.0405264667499996,-289.04994777010023,310.0011681280307,-118.81428069224998,127.4950070221143
Grassland,South America,Warm Temperate,Moist,Volcanic,496,2081.7909402764913,4.197159153783248,0.0,-289.1187279508001,310.27330015927157,-118.69758205634994,127.66258759508564
Grassland,South-Eastern Asia,Warm Temperate,Moist,Volcanic,496,2080.1369359987675,4.193824467739451,0.0,-289.3250684929001,309.6542743870323,-118.91795418524998,127.179837746051
Grassland,Northern Africa,Warm Temperate,Moist,Volcanic,496,2080.011852498885,4.193572283263881,0.055403270999999865,-289.1187279508001,310.27330015927157,-118.87263001019993,128.07016461171418
Grassland,Europe,Warm Temperate,Moist,Volcanic,496,2078.992358321792,4.1915168514552255,-0.027701635499999933,-289.3250684929001,310.5042849377858,-118.83604626299994,127.634936043551
Grassland,Central Asia,Warm Temperate,Moist,Volcanic,496,2077.472360529389,4.188452339776994,-0.027701635499999933,-288.84974360440003,309.5460698305307,-118.91732393639998,127.63946359559993
Grassland,Western Asia,Warm Temperate,Moist,Volcanic,496,2075.090624364128,4.183650452347032,0.0,-289.3250684929001,310.5042849377858,-118.93097932814999,127.19737600208563
Grassland,Eastern Africa,Warm Temperate,Moist,Volcanic,496,2072.4822679118215,4.178391669177059,0.0,-288.9811675894002,309.6542743870323,-118.85930195699993,127.634936043551
Grassland,Caribbean,Warm Temperate,Moist,Volcanic,496,2071.989521372765,4.177398228574123,0.0,-289.2562883122001,310.23734115112256,-119.00225607599992,127.634936043551
Grassland,Central Africa,Warm Temperate,Moist,Volcanic,496,2070.0206785418586,4.17342878738278,-0.055403270999999865,-288.6597699898001,310.646793127,-118.81428069224998,127.87593447514281
Grassland,Oceania,Warm Temperate,Moist,Volcanic,496,2067.7051356559996,4.16876035414516,0.027701635499999933,-289.04994777010023,310.23734115112256,-118.80064972874999,127.634936043551
Grassland,Southern Africa,Cool Temperate,Moist,Volcanic,496,2065.9350631902944,4.165191659657852,-0.024623676000000483,-284.34495708373345,305.5002640141499,-117.38604618399997,126.44960608342852
Grassland,South America,Cool Temperate,Moist,Volcanic,496,2061.3120581226412,4.15587108492468,0.024623676000000483,-284.26075887733333,305.75798607723823,-117.43762127679999,126.05602630719997
Grassland,Western Africa,Warm Temperate,Moist,Volcanic,496,2060.868700533802,4.154977218818149,0.0,-288.69635373700004,308.1653661806501,-118.74199750049993,127.16413870709994
Grassland,South America,Warm Temperate,Moist,Wetland,496,2058.801123062874,4.150808715852569,-0.027701635499999933,-282.55706862569986,303.80959505796415,-116.2514495339999,125.29777015193865
Grassland,North America,Cool Temperate,Moist,Volcanic,496,2058.2708768584544,4.149739671085594,0.024623675999999595,-284.7584784997334,305.8930759573334,-117.33332459199993,126.04022777567339
Grassland,Caribbean,Cool Temperate,Moist,Volcanic,496,2057.3133558198024,4.147809185120569,0.0,-284.7584784997334,305.47089597220963,-117.34602728199992,125.50443748689523
Grassland,Northern Africa,Cool Temperate,Moist,Volcanic,496,2055.8144613474883,4.144787220458646,0.0,-284.24008714933353,305.47089597220963,-117.28117624959995,126.07314687817137
Grassland,Central America,Cool Temperate,Moist,Volcanic,496,2053.8719383066896,4.140870843360261,0.0,-284.8196164381334,304.07106993727626,-117.36537445599998,125.79135144777139
Grassland,Western Asia,Cool Temperate,Moist,Volcanic,496,2053.239914821476,4.139596602462653,0.0,-284.2801060513336,305.47089597220963,-117.38604618399997,126.05602630719997
Grassland,South-Eastern Asia,Cool Temperate,Moist,Volcanic,496,2052.8681069180348,4.138846989754103,0.0,-284.29280874133354,305.47089597220963,-117.41462180799995,125.63351529519998
Grassland,Europe,Cool Temperate,Moist,Volcanic,496,2052.7219810686497,4.138552381186794,0.024623675999999595,-284.7584784997334,305.6145535021334,-117.4497594028,126.04022777567339
Grassland,Eastern Asia,Cool Temperate,Moist,Volcanic,496,2050.9376486836736,4.134954936862245,0.04924735200000008,-284.7584784997334,303.4926078852382,-117.48976961919996,126.2474849302857
Grassland,Central Asia,Cool Temperate,Moist,Volcanic,496,2050.6481562959634,4.134371282854765,0.04924735200000008,-284.69734056133353,305.2093533115376,-117.33332459199993,125.58049165325713
Grassland,Central Africa,Cool Temperate,Moist,Volcanic,496,2050.643468146557,4.134361830940639,0.0,-284.22823999093356,305.2093533115376,-117.33391086999993,125.97603387725712
Grassland,Eastern Africa,Cool Temperate,Moist,Volcanic,496,2050.1434184567556,4.133353666243459,0.0,-284.39649309133335,304.78043291631764,-117.33332459199993,125.89099011489525
Grassland,Northern Africa,Warm Temperate,Moist,Wetland,496,2046.6977249391732,4.126406703506397,-0.027701635499999933,-283.1056684929,303.80959505796415,-116.1013232807999,124.15177319631415
Grassland,Oceania,Cool Temperate,Moist,Volcanic,496,2046.6834894705748,4.126378002964868,0.024623675999999595,-284.7584784997334,305.8930759573334,-117.28117624959995,126.07314687817137
Grassland,Europe,Warm Temperate,Moist,Wetland,496,2046.2516574354718,4.125507373861838,-0.061866985949999176,-283.1056684929,303.5970085973785,-116.2326300101999,124.8047503955999
Grassland,Caribbean,Warm Temperate,Moist,Wetland,496,2045.7690234773356,4.124534321526887,0.0,-282.51235027124994,302.59884403367136,-116.2186570511999,124.57653160731415
Grassland,Western Africa,Warm Temperate,Moist,Wetland,496,2042.367217433063,4.117675841598917,-0.06822810224999953,-283.1056684929,303.7477016079,-116.2186570511999,124.82864706651418
Grassland,Southern Asia,Cool Temperate,Moist,Volcanic,496,2040.9999552498064,4.114919264616545,-0.024623675999999595,-284.2406603989336,305.2093533115376,-117.36537445599998,125.7913514477714
Grassland,Western Asia,Warm Temperate,Moist,Wetland,496,2040.304548283009,4.1135172344415505,0.06822810224999953,-282.4403699897999,303.7477016079,-116.2514495339999,124.82864706651418
Grassland,Western Africa,Cool Temperate,Moist,Volcanic,496,2040.0256240459441,4.112954887189404,0.0,-284.8196164381334,303.3067706687334,-117.41462180799995,126.54782245599998
Grassland,Central Africa,Warm Temperate,Moist,Wetland,496,2038.749622773565,4.1103823039789615,0.0,-282.76176758939994,303.2088233510088,-116.2326300101999,125.2330361652856
Grassland,Central Asia,Warm Temperate,Moist,Wetland,496,2034.2139026016728,4.101237706858211,0.0,-282.96810813149995,301.346255925,-116.19604626299991,125.04543726085701
Grassland,Oceania,Warm Temperate,Moist,Wetland,496,2033.9136520569973,4.10063236301814,0.0,-282.51300983399994,303.95020966199996,-116.1013232807999,124.80287200273456
Grassland,South-Eastern Asia,Warm Temperate,Moist,Wetland,496,2033.6768999547162,4.100155040231282,0.0,-282.63034360439997,303.7477016079,-116.17428069224987,124.8047503955999
Grassland,Southern Asia,Warm Temperate,Moist,Wetland,496,2033.4655286973984,4.09972888850282,0.06822810224999953,-282.4543429487999,303.80959505796415,-116.2514495339999,124.11109712429987
Grassland,Central America,Warm Temperate,Moist,Wetland,496,2031.2613741122655,4.095285028452148,-0.027701635499999933,-282.62965472775,303.2723767194,-116.1159313742999,124.57653160731415
Grassland,Southern Africa,Warm Temperate,Moist,Wetland,496,2026.8129790216678,4.08631648996304,0.061866985949999176,-282.61541794365,302.87419896104075,-116.17428069224987,125.33020917685702
Grassland,North America,Warm Temperate,Moist,Wetland,496,2025.9809978671753,4.084639108603176,-0.027701635499999933,-282.62965472775,303.5970085973785,-116.27732393639992,125.29777015193865
Grassland,Eastern Africa,Warm Temperate,Moist,Wetland,496,2025.5493853249998,4.083768922026209,0.0,-282.83054777009994,303.32929725854075,-116.2193019569999,124.74605210477132
