module_type,region,climate,moisture,soil_type,count,sum,mean,median,min,max,q1,q3
Livestock,Eastern Asia,Tropical,Wet,Spodic,8,52.38105805647109,6.547632257058886,6.792814643320191,-7.14119039547117,22.246694165506742,-1.583655750129433,20.698968888269984
Livestock,Eastern Asia,Cool Temperate,Moist,Volcanic,9,44.61951920254527,4.957724355838363,4.779632779267306,-5.116572448861475,21.79694649800042,-1.3366845344288472,6.322192910169725
Livestock,Eastern Asia,Boreal,Dry,Spodic,10,37.42060860930019,3.7420608609300188,3.5176549990375325,-16.283930643747308,25.440101273995452,-5.191782179276628,9.921523351187615
Livestock,Eastern Africa,Tropical Montane,Dry,Volcanic,11,34.854070182602435,3.1685518347820394,2.616240962454939,-5.065729225473217,13.44728179512786,-3.001574660155426,7.965234762568216
Livestock,Eastern Asia,Tropical,Wet,Wetland,10,33.47932040720942,3.3479320407209423,3.4652561843542538,-15.180774482522766,24.365426943174054,-4.7751055743819855,7.381954471847375
Livestock,Oceania,Tropical,Moist,Sandy,11,30.19972376148474,2.7454294328622493,2.1727859137852428,-17.881073450932846,20.479950738936566,-5.218626419938014,10.014496161466848
Livestock,Oceania,Tropical,Dry,Low Activity Clay,11,29.992787670297243,2.726617060936113,1.2978267997978807,-18.472636797311733,21.94870783461796,-4.962499717119598,10.006197118739614
Livestock,Eastern Asia,Cool Temperate,Moist,Spodic,9,29.208304944824988,3.2453672160916653,4.722673905713025,-18.333288806726568,21.014311176494655,-1.2018221893777288,6.150566704430343
Livestock,Eastern Asia,Boreal,Moist,Low Activity Clay,10,28.945263512455067,2.894526351245507,3.8526471906432818,-21.74268855130667,19.971983334194864,-4.5195208544614065,9.704144612234968
Livestock,Oceania,Warm Temperate,Dry,Volcanic,11,28.568547207230996,2.597140655202818,1.386410459289244,-15.844726772702819,18.06205816919298,-2.3434122681600003,8.779417254939743
Livestock,North America,Tropical,Moist,Volcanic,7,28.547439997605032,4.078205713943576,-0.5738854944899998,-37.80844381031248,50.32545201645001,-30.407642043187497,47.043357319725004
Livestock,Europe,Tropical Montane,Dry,Low Activity Clay,7,28.275584608214974,4.039369229744996,-1.7776755687600005,-3.8716867431000033,20.904708509999985,-3.079750818375001,16.019369021249993
Livestock,Oceania,Warm Temperate,Dry,High Activity Clay,12,26.15674447497849,2.1797287062482074,1.461917676712353,-15.476244754732985,21.900103932761546,-4.834639796089105,7.7472556330858815
Livestock,Eastern Asia,Warm Temperate,Moist,Low Activity Clay,10,25.978020137090187,2.5978020137090185,3.0577686514449356,-16.014252903373862,21.853209601660968,-6.312238862606062,8.295710236824542
Livestock,Europe,Tropical,Moist,High Activity Clay,7,24.949007170230008,3.5641438814614297,-2.2050014266349973,-17.94051503999999,25.212085919999993,-4.146140439374999,23.36439168
Livestock,Eastern Asia,Tropical Montane,Dry,Volcanic,8,24.81160391230913,3.1014504890386414,5.685637623310006,-25.573380787962314,19.913078181987295,-1.1408822693678407,16.61020090927265
Livestock,Oceania,Tropical,Moist,Spodic,10,24.785755682749965,2.4785755682749966,3.164727266293859,-20.879483937553864,23.936078891097328,-5.404479637561032,6.625787835730957
Livestock,Oceania,Tropical,Wet,Sandy,10,24.622750554936605,2.4622750554936603,2.65554720541358,-20.698968888269984,21.580272039463384,-5.136235036949068,6.837309953110696
Livestock,Eastern Asia,Cool Temperate,Dry,Spodic,10,23.235468201405862,2.323546820140586,3.001812800139001,-16.759807474557146,19.904366866127393,-5.053474307491544,7.987087257694828
