Please select,Cf,Gef for CO2,Gef for CH4,Gef for N2O
Annual cropland,0.4,1515,2.7,0.07
Agroforestry - default,0.8,1613,2.3,0.21
Annual fallow,0.4,1515,2.7,0.07
Degraded land,0.8,1613,2.3,0.21
Other land (non-vegetated),0,0,0,0
Flooded rice,0.4,1515,2.7,0.07
Grassland,0.8,1613,2.3,0.21
Alley cropping,0.8,1613,2.3,0.21
Perennial fallow,0.8,1613,2.3,0.21
Hedgerow,0.8,1613,2.3,0.21
Multistrata,0.8,1613,2.3,0.21
Parkland,0.8,1613,2.3,0.21
Shaded Perennial,0.8,1613,2.3,0.21
Silvoarable,0.8,1613,2.3,0.21
Silvopasture,0.8,1613,2.3,0.21
Degraded land,0.8,1613,2.3,0.21
Olive,0.8,1613,2.3,0.21
Orchard,0.8,1613,2.3,0.21
Short Rotation Coppice,0.8,1613,2.3,0.21
Tea,0.8,1613,2.3,0.21
Vine,0.8,1613,2.3,0.21
Oil palm,0.8,1613,2.3,0.21
Rubber,0.8,1613,2.3,0.21
