Angola,0,213.30,283,,
Antigua and Barbuda,0,1.70,283,,
Australia,269,3314.70,249.4,154.02,15.8
Bahamas,2,36.80,80.7,14.57,14
Bangladesh,11,1772.70,118.01,28.83,18.2
Barbados,0,0.10,283,,
Belize,13,302.00,647.05,69.85,15.2
Benin,3,7.00,234.68,52.29,18
Bermuda,0,0.00,283,,
Brazil,41,7662.70,307.79,130.56,15.2
Brunei Darussalam,0,103.30,283,,
Cambodia,0,320.00,283,,
Cameroon,6,1112.50,596.64,347.69,15.5
China,34,30.70,186.18,67.29,13.6
Colombia,4,1671.70,448.93,164.23,13
Comoros,0,0.70,283,,
Congo,3,70.40,470.1,384.74,16.3
Costa Rica,0,335.00,283,,
Cote d'Ivoire,0,22.50,283,,0
Cuba,0,1624.20,283,,
Democratic Republic of the Congo,3,146.10,935.67,84.72,
Djibouti,0,0.20,283,,
Dominican Republic,9,100.60,419.08,88.3,19
Ecuador,12,935.40,327.03,60.58,13.5
Egypt,43,0.00,184.75,54.79,12.2
El Salvador,0,236.00,283,,0
Equatorial Guinea,0,155.00,283,,0
Eritrea,0,1.30,283,,0
Fiji,0,400.80,283,,0
French Guiana,31,697.80,185.35,129.05,15.9
Gabon,3,1081.20,736.07,192.43,17
Gambia,0,48.10,283,,0
Ghana,3,23.40,245.36,39.76,13
Grenada,0,1.10,283,,0
Guadeloupe,31,697.80,185.35,129.05,15.9
Guatemala,0,253.00,283,,0
Guinea,0,819.90,283,,0
Guinea-Bissau,2,744.70,125.55,56.36,18
Guyana,0,187.70,283,,0
Haiti,0,42.30,283,,0
Honduras,18,523.60,397.34,141.93,17
India,160,791.40,252.58,90.51,13.4
Indonesia,40,23142.80,359.19,180.68,14.1
Iran,0,0.00,283,,0
Jamaica,0,43.70,283,,0
Japan,47,7.80,273.99,135.51,12.8
Kenya,48,230.00,445.92,422.41,16.1
Liberia,0,47.00,283,,0
Madagascar,7,849.60,166.58,74.51,16.7
Malaysia,35,4691.50,424.37,399.78,13.8
Maldives,0,0.30,283,,0
Mexico,38,2985.00,370.35,176.16,16.2
Micronesia (Federated States of),27,6.90,453.28,243.65,15.3
Morocco,0,0.30,283,,0
Mozambique,6,1223.20,153.07,7.45,17
Myanmar,0,2508.30,283,,0
New Caledonia,7,97.90,400.65,75.72,14.4
New Zealand,92,77.40,208.94,52.34,14.4
Nicaragua,0,552.20,283,,0
Nigeria,11,2653.30,234.74,44.07,15
Oman,0,0.00,283,,0
Pakistan,3,11.70,180.53,6.86,11
Palau,7,47.90,481.92,84.12,15.7
Panama,10,1323.10,298.95,46.43,12
Papua New Guinea,6,4169.00,140.38,25.04,11
Peru,0,14.30,283,,0
Philippines,8,2059.80,227.23,162.14,15
Puerto Rico,0,45.90,283,,0
Saudi Arabia,31,0.30,71.47,52.74,12
Senegal,2,155.30,138.92,70.65,14
Seychelles,0,5.40,283,,0
Sierra Leone,0,655.30,283,,0
Singapore,1,1.70,329.66,,18
Solomon Islands,0,392.60,283,,0
Somalia,0,7.80,283,,0
South Africa,7,7.00,234.59,47.29,13
Sri Lanka,6,35.20,502.6,163.1,13
Saint Vincent and the Grenadines,0,0.20,283,,0
Sudan,0,0.00,283,,0
Suriname,0,509.80,283,,0
Taiwan ,3,0.80,122.21,30.81,11
United Republic of Tanzania,30,478.20,243.48,82.73,15.2
Thailand,14,1875.60,245.87,81.82,12.6
