Tropical Rainforest,Tropical Moist Deciduous Forest,Tropical Dry Forest,Tropical Shrubland,Planted Tropical Rainforest,Planted Tropical Moist Deciduous Forest,Planted Tropical Dry Forest,Planted Tropical Shrubland,Subtropical Humid Forest,Subtropical Dry Forest,Subtropical Steppe,Subtropical Mountain System,Planted Subtropical Humid Forest,Planted Subtropical Dry Forest,Planted Subtropical Steppe,Planted Subtropical Mountain System,Temperate Oceanic Forest,Temperate Continental Forest,Temperate Mountain System,Temperate Steppe,Temperate Desert,Planted Temperate Oceanic Forest,Planted Temperate Continental Forest,Planted Temperate Mountain Systems,Planted Temperate Desert,Planted Temperate Steppe,Boreal Coniferous Forest,Boreal tundra woodland,Boreal Mountain Systems,Planted Boreal Coniferous Forest,Planted Boreal tundra woodland,Planted Boreal Mountain Systems,Tropical Mountain Systems,Planted Tropical Mountain Systems,Tropical Rainforest,Tropical Moist Deciduous Forest,Tropical Dry Forest,Tropical Shrubland,Planted Tropical Rainforest,Planted Tropical Moist Deciduous Forest,Planted Tropical Dry Forest,Planted  Tropical Shrubland,Subtropical Humid Forest,Subtropical Dry Forest,Subtropical Steppe,Subtropical Mountain Systems,Planted Subtropical Humid Forest,Planted Subtropical Dry Forest,Planted Subtropical Steppe,Planted Subtropical Mountain Systems,Temperate oceanic Forest,Temperate Continental Forest,Temperate Mountain Systems,Temperate Desert,Temperate Steppe,Planted Temperate oceanic Forest,Planted Temperate Continental Forest,Planted Temperate Mountain Systems,Planted Temperate Desert,Planted Temperate Steppe,Boreal Coniferous Forest,Boreal tundra woodland,Boreal Mountain Systems,Planted Boreal Coniferous Forest,Planted Boreal tundra woodland,Planted Boreal Mountain Systems,Tropical Mountain Systems,Planted Tropical Mountain Systems
≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 125,≤ 75,≤ 75,≤ 75,≤ 75,≤ 75,≤ 75,≤ 125,≤ 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,> 125,>75,>75,>75,>75,>75,>75,> 125,> 125
Eastern Africa,0.825,0.232,0.332,0.4,0.37,0.2,0.56,0.4,0.232,0.56,0.32,0.27,0.2,0.56,0.32,0.27,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.39,0.39,0.39,0.39,0.39,0.39,0.27,0.27,0.532,0.232,0.379,0.4,0.37,0.24,0.28,0.4,0.232,0.28,0.32,0.27,0.24,0.28,0.32,0.27,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.24,0.24,0.24,0.24,0.24,0.27,0.27
Central Africa,0.825,0.232,0.332,0.4,0.37,0.2,0.56,0.4,0.232,0.56,0.32,0.27,0.2,0.56,0.32,0.27,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.39,0.39,0.39,0.39,0.39,0.39,0.27,0.27,0.532,0.232,0.379,0.4,0.37,0.24,0.28,0.4,0.232,0.28,0.32,0.27,0.24,0.28,0.32,0.27,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.24,0.24,0.24,0.24,0.24,0.27,0.27
Northern Africa,0.825,0.232,0.332,0.4,0.37,0.2,0.56,0.4,0.232,0.56,0.32,0.27,0.2,0.56,0.32,0.27,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.39,0.39,0.39,0.39,0.39,0.39,0.27,0.27,0.532,0.232,0.379,0.4,0.37,0.24,0.28,0.4,0.232,0.28,0.32,0.27,0.24,0.28,0.32,0.27,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.24,0.24,0.24,0.24,0.24,0.27,0.27
Southern Africa,0.825,0.232,0.332,0.4,0.37,0.2,0.56,0.4,0.232,0.56,0.32,0.27,0.2,0.56,0.32,0.27,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.39,0.39,0.39,0.39,0.39,0.39,0.27,0.27,0.532,0.232,0.379,0.4,0.37,0.24,0.28,0.4,0.232,0.28,0.32,0.27,0.24,0.28,0.32,0.27,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.24,0.24,0.24,0.24,0.24,0.27,0.27
Western Africa,0.825,0.232,0.332,0.4,0.37,0.2,0.56,0.4,0.232,0.56,0.32,0.27,0.2,0.56,0.32,0.27,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.39,0.39,0.39,0.39,0.39,0.39,0.27,0.27,0.532,0.232,0.379,0.4,0.37,0.24,0.28,0.4,0.232,0.28,0.32,0.27,0.24,0.28,0.32,0.27,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.24,0.24,0.24,0.24,0.24,0.27,0.27
Central Asia,0.207,0.323,0.381,0.322,0.325,0.2,0.56,0.4,0.23,0.44,0.32,0.27,0.2,0.56,2.158,0.27,0.267,0.243,0.323,0.44,0.44,0.307,0.305,0.254,0.44,0.44,0.39,0.39,0.39,0.39,0.39,0.39,0.27,0.27,0.212,0.246,0.379,0.345,0.37,0.24,0.28,0.4,0.246,0.44,1.338,0.27,0.24,0.28,0.32,0.27,0.229,0.288,0.265,0.22,0.22,0.24,0.234,0.233,0.22,0.22,0.24,0.24,0.24,0.24,0.24,0.24,0.27,0.27
Eastern Asia,0.207,0.323,0.381,0.322,0.325,0.2,0.56,0.4,0.23,0.44,0.32,0.27,0.2,0.56,2.158,0.27,0.267,0.243,0.323,0.44,0.44,0.307,0.305,0.254,0.44,0.44,0.39,0.39,0.39,0.39,0.39,0.39,0.27,0.27,0.212,0.246,0.379,0.345,0.37,0.24,0.28,0.4,0.246,0.44,1.338,0.27,0.24,0.28,0.32,0.27,0.229,0.288,0.265,0.22,0.22,0.24,0.234,0.233,0.22,0.22,0.24,0.24,0.24,0.24,0.24,0.24,0.27,0.27
South-eastern Asia,0.207,0.323,0.381,0.322,0.325,0.2,0.56,0.4,0.23,0.44,0.32,0.27,0.2,0.56,2.158,0.27,0.267,0.243,0.323,0.44,0.44,0.307,0.305,0.254,0.44,0.44,0.39,0.39,0.39,0.39,0.39,0.39,0.27,0.27,0.212,0.246,0.379,0.345,0.37,0.24,0.28,0.4,0.246,0.44,1.338,0.27,0.24,0.28,0.32,0.27,0.229,0.288,0.265,0.22,0.22,0.24,0.234,0.233,0.22,0.22,0.24,0.24,0.24,0.24,0.24,0.24,0.27,0.27
Southern Asia,0.207,0.323,0.381,0.322,0.325,0.2,0.56,0.4,0.23,0.44,0.32,0.27,0.2,0.56,2.158,0.27,0.267,0.243,0.323,0.44,0.44,0.307,0.305,0.254,0.44,0.44,0.39,0.39,0.39,0.39,0.39,0.39,0.27,0.27,0.212,0.246,0.379,0.345,0.37,0.24,0.28,0.4,0.246,0.44,1.338,0.27,0.24,0.28,0.32,0.27,0.229,0.288,0.265,0.22,0.22,0.24,0.234,0.233,0.22,0.22,0.24,0.24,0.24,0.24,0.24,0.24,0.27,0.27
Western Asia,0.207,0.323,0.381,0.322,0.325,0.2,0.56,0.4,0.23,0.44,0.32,0.27,0.2,0.56,2.158,0.27,0.267,0.243,0.323,0.44,0.44,0.307,0.305,0.254,0.44,0.44,0.39,0.39,0.39,0.39,0.39,0.39,0.27,0.27,0.212,0.246,0.379,0.345,0.37,0.24,0.28,0.4,0.246,0.44,1.338,0.27,0.24,0.28,0.32,0.27,0.229,0.288,0.265,0.22,0.22,0.24,0.234,0.233,0.22,0.22,0.24,0.24,0.24,0.24,0.24,0.24,0.27,0.27
