land_use_type,cf,co2,ch4,n2o
Tropical rainforest,0.32,1580,6.8,0.2
Tropical moist deciduous forest,0.36,1580,6.8,0.2
Tropical dry forest,0.36,1580,6.8,0.2
Tropical shrubland,0.72,1580,6.8,0.2
Mangrove Forest,0.32,1580,6.8,0.2
Planted Tropical rainforest,0.32,1580,6.8,0.2
Planted Tropical moist deciduous forest,0.36,1580,6.8,0.2
Planted Tropical dry forest,0.36,1580,6.8,0.2
Planted  Tropical shrubland,0.72,1580,6.8,0.2
Subtropical humid forest,0.36,1569,4.7,0.26
Subtropical dry forest,0.36,1569,4.7,0.26
Subtropical steppe,0.74,1569,4.7,0.26
Subtropical mountain systems,0.36,1569,4.7,0.26
Planted Subtropical humid forest,0.36,1569,4.7,0.26
Planted Subtropical dry forest,0.36,1569,4.7,0.26
Planted Subtropical steppe,0.74,1569,4.7,0.26
Planted Subtropical mountain systems,0.36,1569,4.7,0.26
Mangrove Forest,0.32,,6.8,
Temperate oceanic forest,0.45,1569,4.7,0.26
Temperate continental forest,0.45,1569,4.7,0.26
Temperate mountain systems,0.45,1569,4.7,0.26
Temperate desert,0.45,1569,4.7,0.26
Temperate steppe,0.45,1569,4.7,0.26
Planted Temperate oceanic forest,0.45,1569,4.7,0.26
Planted Temperate continental forest,0.45,1569,4.7,0.26
Planted Temperate mountain systems,0.45,1569,4.7,0.26
Planted Temperate desert,0.45,1569,4.7,0.26
Planted Temperate steppe,0.45,1569,4.7,0.26
Boreal coniferous forest,0.34,1569,4.7,0.26
Boreal tundra woodland,0.34,1569,4.7,0.26
Boreal mountain systems,0.34,1569,4.7,0.26
Planted Boreal coniferous forest,0.34,1569,4.7,0.26
Planted Boreal tundra woodland,0.34,1569,4.7,0.26
Planted Boreal mountain systems,0.34,1569,4.7,0.26
Tropical mountain systems,0.36,1580,6.8,0.2
Planted Tropical mountain systems,0.36,1580,6.8,0.2
