IPCC Crop types,Slope (T),Intercept (T),N content of AG residues,RS (T),N BG(T)
Generic value,NA,NA,0.008,0.22,0.009
Grains,1.09,0.88,0.006,0.22,0.009
Beans & pulses,1.13,0.85,0.008,0.19,0.008
Tubers,0.1,1.06,0.019,0.20,0.014
Root crops,1.07,1.54,0.019,0.20,0.014
N-fixing forages,0.3,0,0.027,0.40,0.022
Non-N-fixing forages,0.3,0,0.015,0.54,0.012
Maize,1.03,0.61,0.006,0.22,0.007
Wheat,1.51,0.52,0.006,0.24,0.009
Winter wheat,1.61,0.4,0.006,0.23,0.009
Spring wheat,1.29,0.75,0.006,0.28,0.009
Rice,0.95,2.46,0.007,0.16,0.009
Barley,0.98,0.59,0.007,0.22,0.014
Oats,0.91,0.89,0.007,0.25,0.008
Millet,1.43,0.14,0.007,0.22,0.009
Sorghum,0.88,1.33,0.007,0.22,0.006
Rye,1.09,0.88,0.005,0.22,0.011
Soybeans,0.93,1.35,0.008,0.19,0.008
Dry bean,0.36,0.68,0.01,0.22,0.01
Potatoes,0.1,1.06,0.019,0.20,0.014
Peanuts,1.07,1.54,0.016,0.22,0.009
Alfalfa,0.29,0,0.027,0.40,0.019
Non-legume hay,0.18,0,0.015,0.54,0.012
Perennial grasses,0.3,0,0.015,0.80,0.012
Grass-clover mixtures,0.3,0,0.025,0.80,0.016
