continent;land_use_type;2016;2017;2018;2019;2020
Caribbean;Grains;23524;23897;22463;29280;26349
Caribbean;Beans & Pulses;7938;7626;6065;7634;7018
Caribbean;Root Crops;68510;68613;63025;69023;68243
Caribbean;Barley;0;0;0;0;0
Caribbean;Maize;13531;13722;10919;16556;13170
Caribbean;Oats;0;0;0;0;0
Caribbean;Potatoes;203783;205092;205171;201210;200469
Caribbean;Soybeans;0;0;0;0;0
Caribbean;Wheat;0;0;0;0;0
Caribbean;Millet;0;0;0;0;0
Caribbean;Sorghum;8827;8289;6333;11549;9230
Caribbean;Rice;42098;42406;41454;41958;42997
Caribbean;Rye;0;0;0;0;0
Caribbean;Groundnuts;9192;8860;8543;5942;8847
Caribbean;Vegetables;124228;122092;123201;123861;120935
Caribbean;Oilseeds;5326;5205;5100;4.233;5204
Central Africa;Grains;9752;9506;10006;10060;10149
Central Africa;Beans & Pulses;6450;6403;6377;6301;6323
Central Africa;Root Crops;78557;81120;82694;82928;82953
Central Africa;Barley;6789;6783;6785;6783;6788
Central Africa;Maize;10561;10035;10677;10767;10776
Central Africa;Oats;0;0;0;0;0
Central Africa;Potatoes;75309;82197;82242;84677;79657
Central Africa;Soybeans;7159;8181;8451;8721;8828
Central Africa;Wheat;12346;12226;12360;11930;11258
Central Africa;Millet;5976;5606;5932;5837;5745
Central Africa;Sorghum;10199;10728;11026;11078;10389
Central Africa;Rice;9395;9358;9491;9704;11161
Central Africa;Rye;0;0;0;0;0
Central Africa;Groundnuts;10452;10001;9947;10028;9290
Central Africa;Vegetables;45055;44344;44064;43808;43367
Central Africa;Oilseeds;7661,4;7770,6;7343,4;8076,6;7734,4
Central America;Grains;34687;35121;35190;36680;35248
Central America;Beans & Pulses;8408;8798;9254;9223;8480
Central America;Root Crops;196945;196671;201603;202082;209124
Central America;Barley;29670;28418;28645;26930;29376
Central America;Maize;33813;34370;34374;36437;34707
Central America;Oats;18536;16646;19896;20719;22489
Central America;Potatoes;266961;272801;276886;280482;290443
Central America;Soybeans;18659;17014;17629;16846;16583
Central America;Wheat;53222;52788;54152;55105;52995
Central America;Millet;135000;0;157857;138000;146842
Central America;Sorghum;31042;32119;32727;31253;30919
Central America;Rice;47053;47148;49305;49572;49066
Central America;Rye;14000;18333;18000;17500;17778
Central America;Groundnuts;28920;29198;29433;28563;27658
Central America;Vegetables;196262;213056;220200;215422;208588
Central America;Oilseeds;16.095;16.222;17.918;16.968;16.655
Central Asia;Grains;17541;16969;16816;15705;16693
Central Asia;Beans & Pulses;15969;12059;11407;12708;13603
Central Asia;Root Crops;217478;221276;220447;226214;229627
Central Asia;Barley;17473;16428;16069;13693;14315
Central Asia;Maize;65012;63289;65313;63500;62826
Central Asia;Oats;15969;13386;14310;11039;10580
Central Asia;Potatoes;217478;221276;220447;226214;229627
Central Asia;Soybeans;21680;20206;20542;20625;20722
Central Asia;Wheat;16224;15845;15657;14620;15764
Central Asia;Millet;11889;10686;10512;9465;9026
Central Asia;Sorghum;20076;16122;24727;14758;12905
Central Asia;Rice;36414;33069;28419;37258;36902
Central Asia;Rye;13203;14467;13481;14099;15115
Central Asia;Groundnuts;37455;72190;68870;90325;94389
Central Asia;Vegetables;372620;364154;337011;342082;343158
Central Asia;Oilseeds;13669,5;18679;18241,75;21.046;22.285
Eastern Africa;Grains;18081;19754;20427;21097;20481
Eastern Africa;Beans & Pulses;9779;10348;10000;9700;9865
