country;operating_margin;combined_margin
Afghanistan;0,413893333;0,193247671
Åland Islands;0;0,256232249
Albania;0;0,256232249
Algeria;0,528409264;0,397359966
American Samoa;0,752533333;0,515851786
Andorra;0,188133333;0,06967385
Angola;1,475722105;0,7476993
Anguilla;0,752533333;0,471540552
Antigua and Barbuda;0,752533333;0,489363269
Argentina;0,478130998;0,28818336
Armenia;0,390158854;0,204544837
Aruba;0,752533333;0,421102792
Australia;0,807808637;0,420533636
Austria;0,241936198;0,113064599
Azerbaijan;0,533743264;0,384343247
Bahamas;0,752533333;0,440843905
Bahrain;0,726353375;0,454267722
Bangladesh;0,527922593;0,41171394
Barbados;0,749272852;0,483999709
Belarus;0,399561439;0,291560171
Belize;0,403021667;0,182951452
Belgium;0,251558225;0,124394428
Benin;0,745350582;0,575764983
Bermuda;0,752533333;0,341508872
Bhutan;0;0,387846378
Bolivia;0,603614046;0,393289229
Bonaire, Sint Eustatius and Saba;0,752533333;0,40020085
Bosnia and Herzegovina;1,197218505;0,738997039
Botswana;1,486062303;1,070266056
Bouvet Island;0;0,290027012
Brazil;0,283764051;0,139064038
British Indian Ocean Territory;0;0,422324473
British Virgin Islands;0,752533333;0,420193707
Brunei Darussalam;0,681157363;0,407162625
Bulgaria;0,911479498;0,495280737
Burkina Faso;0,752533333;0,539097255
Burundi;0,413893333;0,197024553
Cabo Verde;0,752533333;0,505020361
Cambodia;1,04631556;0,587805658
Cameroon;0,65945187;0,354353303
Canada;0,371521518;0,155640544
Cayman Islands;0,752533333;0,372671467
Central African Republic;0,188133333;0,076543271
Chad;0,752533333;0,580858944
Chile;0,656606216;0,370778031
China;0,898906364;0,547462699
China, Hong Kong Special Administrative Region;0,898906364;0,547462699
China, Macao Special Administrative Region;0;0,512032651
Christmas Island;0;0,451026724
Cocos (Keeling) Islands;0;0,451026724
Colombia;0,409710747;0,208340582
Comoros;0,752533333;0,589112107
Congo;0,659352483;0,40527115
Cook Islands;0,752533333;0,421724747
Costa Rica;0,107774211;0,038890543
Côte d’Ivoire;0,466263677;0,314232072
Croatia;0,294319252;0,167863171
Cuba;0,558948104;0,391164203
Curaçao;0,876473684;0,505734427
