country;region;operating_margin;combined_margin;;;
Afghanistan;Southern Asia;0,414;0,193;;;
Aland Islands;Europe;0;0;;;
Albania;Europe;0,528;0,397;;;
Algeria;Northern Africa;0,753;0,516;;;
American Samoa;Oceania;0,188;0,07;;;
Andorra;Europe;1,476;0,748;;;
Angola;Central Africa;0,753;0,472;;;
Anguilla;Caribbean;0,753;0,489;;;
Antigua and Barbuda;Caribbean;0,478;0,288;;;
Argentina;South America;0,39;0,205;;;
Armenia;Western Asia;0,753;0,421;;;
Aruba;Caribbean;0,808;0,421;;;
Australia;Oceania;0,242;0,113;;;
Austria;Europe;0,534;0,384;;;
Azerbaijan;Western Asia;0,753;0,384;;;
Bahamas;Caribbean;0,753;0,441;;;
Bahrain;Western Asia;0,726;0,454;;;
Bangladesh;Southern Asia;0,528;0,412;;;
Barbados;Caribbean;0,749;0,484;;;
Belarus;Europe;0,4;0,292;;;
Belize;Central America;0,252;0,124;;;
Belgium;Europe;0,403;0,183;;;
Benin;Western Africa;0,745;0,576;;;
Bermuda;North America;0,753;0,342;;;
Bhutan;Southern Asia;0;0;;;
Bolivia;South America;0,604;0,393;;;
Bonaire, Sint Eustatius and Saba;Caribbean;0,753;0,4;;;
Bosnia and Herzegovina;Europe;1,197;0,739;;;
Botswana;Southern Africa;1,486;1,07;;;
Bouvet Island;South America;0,284;0,15;;;
Brazil;South America;0,753;0,42;;;
British Indian Ocean Territory;Eastern Africa;0,681;0,407;;;
British Virgin Islands;Caribbean;0,911;0,495;;;
Brunei Darussalam;South-eastern Asia;0,753;0,539;;;
Bulgaria;Europe;0,414;0,197;;;
Burkina Faso;Western Africa;1,046;0,588;;;
Burundi;Eastern Africa;0,659;0,354;;;
Cabo Verde;Western Africa;0,372;0,213;;;
Cambodia;South-eastern Asia;0,753;0,435;;;
Cameroon;Central Africa;0,753;0,505;;;
Canada;North America;0,753;0,373;;;
Cayman Islands;Caribbean;0,188;0,077;;;
Central African Republic;Central Africa;0,753;0,581;;;
Chad;Central Africa;0,753;0,389;;;
Chile;South America;0,657;0,235;;;
China;Eastern Asia;0,899;0,485;;;
"China, Hong Kong Special Administrative Region";Eastern Asia;0,41;0,208;;;
"China, Macao Special Administrative Region";Eastern Asia;0,753;0,589;;;
Christmas Island;Oceania;0;0;;;
Cocos (Keeling) Islands;Oceania;0,659;0,405;;;
Colombia;South America;0,753;0,422;;;
Comoros;Eastern Africa;0,108;0,039;;;
Congo;Central Africa;0,466;0,314;;;
Cook Islands;Oceania;0,294;0,168;;;
Costa Rica;Central America;0,559;0,391;;;
Cote d'Ivoire;Western Africa;0,876;0,506;;;
Croatia;Europe;0,751;0,438;;;
Cuba;Caribbean;0,902;0,461;;;
Curaçao;Caribbean;0,362;0,155;;;
Cyprus;Western Asia;0,753;0,575;;;
Czechia;Europe;0,753;0,433;;;
Democratic People's Republic of Korea;Eastern Asia;0,601;0,426;;;
