fuel_use_type;fuel_type;co2;ch4;n2o
Stationary;Motor Gasoline;2,27486259;0,000328263;1,96958E-05
Stationary;Gasoil /Diesel Oil;2,6669331;0,00035991;2,15946E-05
Stationary;Waste Oil / Lubrificants;2,799327;0,0003819;0,000022914
Stationary;LPG;1,59080779;0,000126055;2,52109E-06
Stationary;Natural Gas;0,00206807;1,84E-07;3,69E-09
Mobile;Motor Gasoline;2,27486259;0,001083268;0,000105044
Mobile;Gasoil /Diesel Oil;2,6669331;0,000140365;0,000140365
Mobile;Natural Gas;0,00206807;3,39E-06;1,11E-07
Mobile;LPG;1,59080779;0,001563076;5,04218E-06
Mobile;Ethanol (cars);0,032084208;0,000382968;0
Mobile;Ethanol (trucks);0,032084208;0,00553176;0,000872316
Off-Road;Diesel;2,6669331;0,000149363;0,001029343
Off-Road;Gasoline (2-stroke);2,27486259;0,004595682;1,31305E-05
Off-Road;Gasoline (4-stroke);2,27486259;0,002626104;6,56526E-05
Stationary;Wood;1,7472;0,00468;0,0000624
Stationary;Peat;1,03456;0,002928;0,000013664
Stationary;Charcoal;3,304;0,0059;0,0000295
