climate;moisture;land_use_type;grassland_management_type;value
Boreal;Moist;Annual Cropland;;0,7
Boreal;Dry;Annual Cropland;;0,77
Cool Temperate;Moist;Annual Cropland;;0,7
Cool Temperate;Dry;Annual Cropland;;0,77
Warm Temperate;Moist;Annual Cropland;;0,69
Warm Temperate;Dry;Annual Cropland;;0,76
Tropical;Moist;Annual Cropland;;0,83
Tropical;Dry;Annual Cropland;;0,92
Tropical;Wet;Annual Cropland;;0,83
Tropical Montane;Moist;Annual Cropland;;0,64
Tropical Montane;Dry;Annual Cropland;;0,64
Tropical Montane;Wet;Annual Cropland;;0,64
Boreal;Moist;Set Aside;;0,82
Boreal;Dry;Set Aside;;0,93
Cool Temperate;Moist;Set Aside;;0,82
Cool Temperate;Dry;Set Aside;;0,93
Warm Temperate;Moist;Set Aside;;0,82
Warm Temperate;Dry;Set Aside;;0,93
Tropical;Moist;Set Aside;;0,82
Tropical;Dry;Set Aside;;0,93
Tropical;Wet;Set Aside;;0,82
Tropical Montane;Moist;Set Aside;;0,88
Tropical Montane;Dry;Set Aside;;0,88
Tropical Montane;Wet;Set Aside;;0,88
Boreal;Moist;Flooded Rice;;1,35
Boreal;Dry;Flooded Rice;;1,35
Cool Temperate;Moist;Flooded Rice;;1,35
Cool Temperate;Dry;Flooded Rice;;1,35
Warm Temperate;Moist;Flooded Rice;;1,35
Warm Temperate;Dry;Flooded Rice;;1,35
Tropical;Moist;Flooded Rice;;1,35
Tropical;Dry;Flooded Rice;;1,35
Tropical;Wet;Flooded Rice;;1,35
Tropical Montane;Moist;Flooded Rice;;1,35
Tropical Montane;Dry;Flooded Rice;;1,35
Tropical Montane;Wet;Flooded Rice;;1,35
Boreal;Moist;Grassland;;1
Boreal;Dry;Grassland;;1
Cool Temperate;Moist;Grassland;;1
Cool Temperate;Dry;Grassland;;1
Warm Temperate;Moist;Grassland;;1
Warm Temperate;Dry;Grassland;;1
Tropical;Moist;Grassland;;1
Tropical;Dry;Grassland;;1
Tropical;Wet;Grassland;;1
Tropical Montane;Moist;Grassland;;1
Tropical Montane;Dry;Grassland;;1
Tropical Montane;Wet;Grassland;;1
Boreal;Moist;Perennial Cropland;;0,72
Boreal;Dry;Perennial Cropland;;0,72
Cool Temperate;Moist;Perennial Cropland;;0,72
Cool Temperate;Dry;Perennial Cropland;;0,72
Warm Temperate;Moist;Perennial Cropland;;0,72
Warm Temperate;Dry;Perennial Cropland;;0,72
Tropical;Moist;Perennial Cropland;;1,01
Tropical;Dry;Perennial Cropland;;1,01
Tropical;Wet;Perennial Cropland;;1,01
Tropical Montane;Moist;Perennial Cropland;;1
Tropical Montane;Dry;Perennial Cropland;;1
Tropical Montane;Wet;Perennial Cropland;;1
Boreal;Moist;Agroforestry - default;;0,72
Boreal;Dry;Agroforestry - default;;0,72
Cool Temperate;Moist;Agroforestry - default;;0,72
Cool Temperate;Dry;Agroforestry - default;;0,72
Warm Temperate;Moist;Agroforestry - default;;0,72
Warm Temperate;Dry;Agroforestry - default;;0,72
Tropical;Moist;Agroforestry - default;;1,01
Tropical;Dry;Agroforestry - default;;1,01
Tropical;Wet;Agroforestry - default;;1,01
Tropical Montane;Moist;Agroforestry - default;;1
Tropical Montane;Dry;Agroforestry - default;;1
Tropical Montane;Wet;Agroforestry - default;;1
Boreal;Moist;Alley Cropping;;0,72
Boreal;Dry;Alley Cropping;;0,72
Cool Temperate;Moist;Alley Cropping;;0,72
Cool Temperate;Dry;Alley Cropping;;0,72
