"country","agb","bgb","deadwood","litter","soc","carbon_stock_biomass_total","carbon_stock_total"
"Afghanistan",,,,,,,
"Albania",,,,,,,
"Algeria","13.81","5.03",,,"38.00","36719.16",
"American Samoa","70.87","17.01",,,,"1505.38",
"Andorra","72.38","14.48",,,,"1389.76",
"Angola","14.40","2.88","1.20",,,"1150975.53",
"Anguilla","98.70","27.73",,,,"695.37",
"Antigua and Barbuda","98.70","27.73",,,,"1026.61",
"Argentina","88.65","22.61",,"3.89","47.49","3179031.98",
"Armenia",,,,,,,
"Aruba",,,,,,,
"Australia","41.99","19.89","12.07","4.43","85.41","8292235.59","21948695.33"
"Austria","83.84","20.91","1.79",,,"408435.96",
"Azerbaijan",,,,,,,
"Bahamas","18.71","7.48",,,,"13353.23",
"Bahrain",,,,,,,
"Bangladesh","31.44","12.09","1.70","0.27","80.40","81984.40","237120.06"
"Barbados",,,,,,,
"Belarus","77.10","11.70","0.40","10.60","107.00","778562.88","1813139.68"
"Belgium",,,,,,,
"Belize","99.20","23.80",,,,"157077.15",
"Benin","48.68","9.74",,"2.10","47.00","183155.46",
"Bermuda",,,,,,,
"Bhutan","127.05","54.52","3.03","6.23","64.05","494792.78","694568.39"
"Bolivia","61.69","15.30",,,,"3913691.18",
"Bonaire, Sint Eustatius and Saba",,,,,,,
"Bosnia and Herzegovina",,,,,,,
"Botswana","72.97","20.43",,,,"1424788.98",
"Brazil","84.71","19.96","5.09","2.44","41.37","51981173.53","76265871.97"
"British Virgin Islands","98.70","27.73",,,,"457.68",
"Brunei Darussalam","116.09","27.86",,"2.11","52.68","54701.00",
"Bulgaria","84.83","20.20",,"10.18",,"408881.79",
"Burkina Faso","22.00","6.00",,"2.10","35.00","174059.20",
"Burundi","56.11","15.63",,,,"20061.37",
"Cabo Verde","44.70","12.50",,,"50.00","2615.18",
"Cambodia","32.57","18.24",,,,"409953.88",
"Cameroon","124.57","29.90",,,,"3141993.95",
"Canada","45.22","11.19","20.04","48.47","82.96","19570214.12","72119413.43"
"Cayman Islands",,,,,,,
"Central African Republic","102.03","24.49",,,,"2821775.56",
"Chad","42.88","12.01",,"2.10","38.00","236740.57",
"Chile","109.64","21.93","25.00","4.60","50.00","2395981.80","3845553.52"
"China","31.72","7.94","5.67",,,"8724334.62",
"Colombia","92.06","20.81",,,"91.99","6675347.38",
"Comoros","31.02","6.25",,,,"1226.93",
"Congo","97.40","36.00","0.35",,,"2927596.40",
"Cook Islands",,,,,,,
"Costa Rica","97.80","26.20","5.90","1.50","110.00","376323.88","732617.62"
"Côte d’Ivoire","44.39","12.76","12.93","2.10",,"162117.98",
"Croatia","81.79","19.37",,,,"196160.37",
"Cuba","53.39","12.81",,,,"214620.40",
"Curaçao","35.60","10.30",,,,"3.21",
"Cyprus","19.71","5.52",,,"22.50","4352.93",
"Czechia","76.72","19.33","7.40","4.81","64.00","257134.49","461155.52"
"Democratic People's Republic of Korea","29.28","10.82",,,,"241806.61",
"Democratic Republic of the Congo","108.60","40.17",,,,"18768115.05",
"Denmark","52.91","11.67","0.80","11.00","174.85","40584.66","157882.98"
"Djibouti","40.66","11.38",,,,"301.83",
"Dominica",,,,,,,
"Dominican Republic","41.30","11.20","4.00","0.90","199.10","112565.25","549961.65"
"Ecuador","88.51","22.00","16.12","2.77",,"1381135.19",
"Egypt","56.40","16.07",,,,"3259.70",
"El Salvador","53.64","11.88","5.65","1.79","188.58","38255.82","152707.98"
"Equatorial Guinea","100.82","24.20",,"2.10","65.00","306101.47",
"Eritrea","34.08","9.45",,,,"45935.47",
"Estonia","54.46","12.83","1.87",,"155.97","164079.94",
"Eswatini","35.74","10.08",,,,"22798.20",
"Ethiopia","57.01","13.87","14.72",,,"1209815.28",
"Falkland Islands (malvinas)","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Faroe Islands",,,,,,,
"Fiji","95.31","22.48",,,,"134282.96",
"Finland","29.88","8.65","0.74","11.26","166.66","863418.77","4867010.71"
"France","64.30","18.30","8.03",,,"1425097.80",
"French Guiana","171.57","41.18","12.25","3.00","100.20","1702606.34","2626535.37"
"French Polynesia","69.99","17.09",,,,"13014.98",
"Gabon","104.93","25.18",,"2.10","60.00","3061566.37",
"Gambia","20.90","4.20",,,,"6091.02",
"Georgia","59.67","15.55",,"18.99","67.71","212300.93",
"Germany","92.57","14.44","2.31","18.63","67.54","1221947.19","2232300.31"
"Ghana","45.42","9.23",,,,"436419.05",
"Gibraltar","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Greece","16.09","5.50",,,,"84239.86",
"Greenland",,,,,,,
"Grenada","51.42","13.78",,,,"1154.04",
"Guadeloupe","165.00","37.00","9.00","1.50","100.00","14527.84","22475.00"
"Guam",,,,,,,
"Guatemala","62.00","14.88",,,,"271217.26",
"Guernsey",,,,,,,
"Guinea","61.66","14.80",,,,"473210.94",
"Guinea-Bissau","40.00","8.00",,"2.10","47.00","95040.48",
"Guyana","234.51","54.23","9.34","3.64","94.16","5317245.27","7290264.80"
"Haiti","44.43","10.29",,,,"19004.26",
"Holy See","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Honduras","52.86","19.18","5.79","1.69",,"458121.09",
"Hungary","52.91","13.23","3.39",,,"135786.08",
"Iceland","11.83","2.96",,"6.00","84.73","759.47",
"India","31.60","9.90","0.40","1.90","56.20","2994640.00","7216000.00"
"Indonesia","84.11","20.19",,,,"9609492.76",
"Iran","64.70","17.94",,,,"888534.54",
"Iraq","24.02","6.85",,,,"25467.75",
"Ireland","55.82","11.99","19.61","12.92","325.17","53028.78","332757.33"
"Isle of Man",,,,,,,
"Israel",,,,,,,
"Italy","55.30","13.70","3.10","3.20","81.70","660062.97","1501882.41"
"Jamaica","74.50","18.62",,,,"55582.40",
"Japan",,,,,,,
"Jersey",,,,,,,
"Jordan","26.74","7.49",,,,"3337.43",
"Kazakhstan","38.76","11.24",,,,"172734.00",
"Kenya","94.18","24.25",,,"65.00","427661.39",
"Kiribati",,,,,,,
"Kuwait",,,,,,,
"Kyrgyzstan","23.34","7.55",,,,"40632.09",
"Lao People's Democratic Republic","57.11","11.42",,,,"1137289.62",
"Latvia","64.06","20.50","5.10","12.14","168.50","288416.40","921936.54"
"Lebanon","28.80","6.42",,,,"5048.08",
"Lesotho","34.65","12.84",,,,"1639.35",
"Liberia","96.54","23.17",,,,"911883.74",
"Libya","23.18","4.70","3.96","2.12",,"6049.96",
"Liechtenstein","113.94","21.47",,,,"907.25",
"Lithuania","66.60","15.50","5.00","23.20","72.00","180702.10","401242.30"
"Luxembourg","84.93","16.99",,,,"9040.30",
"Madagascar","76.71","20.26",,"2.10",,"1205318.68",
"Malawi","37.00","8.90","2.80","0.50","56.10","102894.03","236051.01"
"Malaysia","98.64","23.67",,,,"2337838.23",
"Maldives","63.45","15.23",,,,"64.52",
"Mali","21.79","5.46",,,"35.00","362316.00",
"Malta",,,,,,,
"Marshall Islands","62.10","14.90",,,,"723.80",
"Martinique","145.00","35.00","9.50","1.50","69.00","9412.20","13595.40"
"Mauritania","24.96","9.98",,,,"10929.23",
"Mauritius","58.37","15.05",,"2.83","70.00","2846.49",
"Mayotte",,,,,,,
"Mexico","24.72","6.12","2.69","1.33","44.16","2025943.75","5190988.16"
"Micronesia (Federated States of)","62.10","14.90",,,,"723.80",
"Monaco","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Mongolia","29.10","8.60","7.70","15.90","83.90","534313.81","2057887.66"
"Montenegro","48.43","8.00","4.15",,,"46667.61",
"Montserrat",,,,,,,
"Morocco","19.95","6.13","0.10","2.72","21.72","149764.14","290684.84"
"Mozambique","47.64","12.58",,,,"2212709.23",
"Myanmar","59.01","16.52",,"2.10",,"2155920.01",
"Namibia","31.68","8.87",,,,"269207.40",
"Nauru","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Nepal","80.95","26.98",,"11.86","66.88","643481.90",
"Netherlands","27.56","5.54","2.20","12.29","35.47","12230.45","30690.67"
"New Caledonia","68.70","15.67","7.77","1.56","78.00","70703.75","143888.03"
"New Zealand","147.33","36.13","21.41","10.86","94.98","1814894.56","3073726.64"
"Nicaragua","42.78","10.27","4.42",,,"180769.47",
"Niger","17.95","5.14",,,,"24930.27",
"Nigeria","63.34","13.47","5.11",,,"1661166.03",
"Niue","52.67","10.53",,,,"1192.58",
"Norfolk Island",,,,,,,
"North Macedonia","33.67","9.08",,,,"42813.70",
"Northern Mariana Islands",,,,,,,
"Norway","32.08","8.54",,,,"494751.60",
"Oman","50.60","14.17",,,,"161.93",
"Pakistan","35.39","10.76",,,,"171950.29",
"Palau",,,,,,,
"State Of Palestine",,,,,,,
"Panama","70.10","14.80","7.60","1.00","65.80","357755.02","671264.71"
"Papua New Guinea","82.60","10.10",,,,"3323828.95",
"Paraguay","32.84","12.04","3.83","2.09","55.25","722669.43","1707644.67"
"Peru","111.76","29.70","1.75",,,"10231854.14",
"Philippines","103.29","24.63",,,,"919564.43",
"Pitcairn",,,,,,,
"Poland","78.00","16.00","4.00",,,"891402.00",
"Portugal",,,,,,,
"Puerto Rico","37.59","10.91","8.19","25.23",,"24072.01",
"Qatar","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Republic of Korea","65.84","20.94",,,,"545585.86",
"Republic of Moldova","46.68","17.33","1.76","2.33","61.83","24739.87","50217.95"
"Réunion","60.00","12.00","1.00",,"18.00","7087.68",
"Romania","97.52","19.74","9.23","22.51","90.81","812500.40","1661655.48"
"Russian Federation","38.67","11.30","8.84","7.92","97.50","40741120.65","133898624.07"
"Rwanda","68.65","17.57",,"2.10","47.00","23796.72",
"Saint Barthélemy","58.52","16.38",,,,"12.73",
"Saint Helena",,,,,,,
"Saint Kitts and Nevis","98.70","27.73",,,,"1390.73",
"Saint Lucia","138.19","32.23",,,,"3539.62",
"Saint Martin (French part)","58.52","16.38",,,,"92.88",
"Saint Pierre and Miquelon","12.17","4.80","1.66",,,"20.70",
"Saint Vincent and the Grenadines","102.99","24.72",,,,"3644.84",
"Samoa","49.35","9.87",,,,"9574.10",
"San Marino","42.77","12.19",,,,"54.96",
"Sao Tome and Principe","76.38","18.33",,,,"4915.45",
"Saudi Arabia","12.51","4.06",,,"34.21","16188.89",
"Senegal","20.80","6.24","0.91",,,"218163.05",
"Serbia","73.79","17.40","34.39","51.64","306.62","248278.45","1317326.98"
"Seychelles","81.22","19.49",,,,"3393.93",
"Sierra Leone","38.54","7.71",,,,"117238.20",
"Singapore","63.78","12.82","3.77","5.94","84.95","1192.66","2666.52"
"Sint Maarten (Dutch part)","58.52","16.38",,,,"92.88",
"Slovakia","84.37","16.87","8.72","11.73","140.45","194978.12","504855.43"
"Slovenia","118.96","26.48","6.22","10.40","103.30","180030.00","328470.57"
"Solomon Islands","45.02","9.04",,,,"136391.76",
"Somalia","48.17","13.49",,,,"368726.80",
"South Africa","40.26","9.69",,,,"851652.00",
"South Sudan",,,,,,,
"Spain","27.32","11.12",,,,"713914.21",
"Sri Lanka","37.20","9.99",,"13.76",,"99713.41",
"Sudan","26.31","7.37",,,,"618349.64",
