"country","agb","bgb","deadwood","litter"
"Afghanistan","41.08","10.84","",""
"Albania","19.43","5.57","",""
"Algeria","20.72","7.04","",""
"American Samoa","69.68","16.60","2.08",""
"Andorra","69.90","33.00","7.21",""
"Angola","14.40","2.88","1.25",""
"Anguilla","98.70","27.73","",""
"Antigua and Barbuda","75.15","19.54","",""
"Argentina","65.50","16.92","","3.73"
"Armenia","44.06","9.88","0.28","28.20"
"Aruba","","","",""
"Ascension, Saint Helena and Tristan da Cunha","","","",""
"Australia","49.61","23.46","12.57","6.06"
"Austria","84.11","19.86","1.98",""
"Azerbaijan","","","",""
"Bahamas","32.86","8.78","",""
"Bahrain","25.83","7.23","",""
"Bangladesh","33.86","16.90","3.20","0.16"
"Barbados","","","",""
"Belarus","97.45","11.27","0.39","6.64"
"Belgium","83.83","17.24","3.13","8.56"
"Belize","115.74","43.06","",""
"Benin","42.03","10.33","1.18","2.10"
"Bermuda","","","",""
"Bhutan","91.92","25.17","3.16","7.37"
"Bolivia (Plurinational State of)","56.46","13.55","",""
"Bonaire, Sint Eustatius and Saba","","","",""
"Bosnia and Herzegovina","80.81","17.91","",""
"Botswana","72.97","20.43","",""
"Brazil","84.79","20.21","5.11","2.49"
"British Virgin Islands","98.70","27.73","",""
"Brunei Darussalam","116.09","27.86","",""
"Bulgaria","83.74","19.98","",""
"Burkina Faso","30.00","8.40","",""
"Burundi","56.11","15.63","",""
"Cabo Verde","4.50","1.18","",""
"Cambodia","48.57","13.29","",""
"Cameroon","103.60","38.30","",""
"Canada","43.44","10.80","20.13","47.38"
"Cayman Islands","","","",""
"Central African Republic","118.02","28.33","",""
"Chad","34.27","9.61","","2.10"
"Chile","109.64","21.93","25.00","4.60"
"China","35.52","9.06","5.85",""
"Colombia","95.40","19.83","7.62",""
"Comoros","31.02","6.25","0.09",""
"Congo","100.70","37.30","0.40",""
"Cook Islands","50.20","10.16","",""
"Costa Rica","90.10","24.01","5.27","1.44"
"Côte d'Ivoire","74.21","23.27","3.71",""
"Croatia","84.18","19.96","",""
"Cuba","55.05","14.48","",""
"Curaçao","35.60","10.30","",""
"Cyprus","21.37","6.00","",""
"Czechia","106.78","23.22","6.15","2.51"
