climate;land_use_type;region;forest_condition_type;agb_range;agb_growth;agb_range_plantation;agb_growth_plantation
Tropical;Rainforest;Africa;Primary;404.2;1.3;n.a.;n.a.
Tropical;Rainforest;Africa;Secondary >20 years;212.9;3.5;200-300;n.a.
Tropical;Rainforest;Africa;Secondary ≤20 Years;52,8;7,6;60-100;05-08
Tropical;Rainforest;North and South America;Primary;307,1;1;n.a.;n.a.
Tropical;Rainforest;North and South America;Secondary >20 Years;206,4;2,3;150-300;05-40
Tropical;Rainforest;North and South America;Secondary ≤20 Years;75,7;5,9;150-300;
Tropical;Rainforest;Asia;Primary;413,1;0,7;n.a.;n.a.
Tropical;Rainforest;Asia;Secondary >20 Years;131,6;2,7;48.5-512.8;02-08
Tropical;Rainforest;Asia;Secondary ≤20 Years;45,6;3,4;13.5-161;02-08
Tropical;Moist Deciduous Forest;Africa;Primary;236,6;0,4;n.a.;n.a.
Tropical;Moist Deciduous Forest;Africa;Secondary >20 Years;72,8;0,9;120-483;n.a.
Tropical;Moist Deciduous Forest;Africa;Secondary ≤20 Years;72,8;2,9;40-195;03-15
Tropical;Moist Deciduous Forest;North and South America;Primary;187,3;0,4;n.a.;n.a.
Tropical;Moist Deciduous Forest;North and South America;Secondary >20 Years;131;2,7;46.9-284;04-20
Tropical;Moist Deciduous Forest;North and South America;Secondary ≤20 Years;55,7;5,2;46.9-195;04-20
Tropical;Moist Deciduous Forest;Asia;Primary;67,7;0,4;n.a.;n.a.
Tropical;Moist Deciduous Forest;Asia;Secondary >20 Years;67,7;0,9;93.7-260;8
Tropical;Moist Deciduous Forest;Asia;Secondary ≤20 Years;67,7;2,4;5.7-202;8
Tropical;Dry Forest;Africa;Primary;69,6;n.a.;n.a.;n.a.
Tropical;Dry Forest;Africa;Secondary >20 Years;69,6;1,6;60-193.9;06-13
Tropical;Dry Forest;Africa;Secondary ≤20 Years;69,6;3,9;20-75.6;04-20
Tropical;Dry Forest;North and South America;Primary;127,5;n.a.;n.a.;n.a.
Tropical;Dry Forest;North and South America;Secondary >20 Years;118,9;1,6;50-110;04-30
Tropical;Dry Forest;North and South America;Secondary ≤20 Years;32,2;3,9;40-62;04-30
Tropical;Dry Forest;Asia;Primary;184.6;n.a.;n.a.;n.a.
Tropical;Dry Forest;Asia;Secondary >20 Years;184.6;1.6;45.5-88.8;02-25
Tropical;Dry Forest;Asia;Secondary ≤20 Years;184.6;3.9;3.56-125.5;02-25
Tropical;Shrubland;Africa;Primary;48.4;0.9;n.a.;n.a.
Tropical;Shrubland;Africa;Secondary >20 Years;48.4;0.9;20;2.5-14
Tropical;Shrubland;Africa;Secondary ≤20 Years;48.4;0.2-0.7;15-20;03-07
Tropical;Shrubland;North and South America;Primary;71.5;1.0;n.a.;n.a.
Tropical;Shrubland;North and South America;Secondary >20 Years;71.5;1.0;30-60;05-20
Tropical;Shrubland;North and South America;Secondary ≤20 Years;71.5;4.0;30-60;05-20
Tropical;Shrubland;Asia;Primary;38.3;1.0-1.3;n.a.;n.a.
Tropical;Shrubland;Asia;Secondary >20 Years;38.3;1.0-1.3;30-263.3;01-12
Tropical;Shrubland;Asia;Secondary ≤20 Years;38.3;2.0-5.0;9.0-53.3;01-12
Tropical;Mountain System;Africa;Primary;190.0;0.5;n.a.;n.a.
Tropical;Mountain System;Africa;Secondary >20 Years;190.0;1.8;30-150;10
Tropical;Mountain System;Africa;Secondary ≤20 Years;190.0;5.5;30-100;10
Tropical;Mountain System;North and South America;Primary;195.0;0.5;n.a.;n.a.
Tropical;Mountain System;North and South America;Secondary >20 Years;184.4;1.8;30-170;08-18
Tropical;Mountain System;North and South America;Secondary ≤20 Years;75.9;4.4;30-170;08-18
Tropical;Mountain System;Asia;Primary;433.5;-0.7;n.a.;n.a.
Tropical;Mountain System;Asia;Secondary >20 Years;66.4;1.1;25-150;01-10
Tropical;Mountain System;Asia;Secondary ≤20 Years;66.4;2.9;25-150;01-10
Warm Temperate;Humid Forest;Africa;Primary;54.1;n.a.;n.a.;n.a.
Warm Temperate;Humid Forest;Africa;Secondary >20 Years;54.1;1.0;n.a.;n.a.
Warm Temperate;Humid Forest;Africa;Secondary ≤20 Years;54.1;2.5;n.a.;n.a.
Warm Temperate;Humid Forest;North and South America;Primary;84.5;n.a.;n.a.;n.a.
Warm Temperate;Humid Forest;North and South America;Secondary >20 Years;84.5;1.0;11.1-270;03-32
Warm Temperate;Humid Forest;North and South America;Secondary ≤20 Years;84.5;2.5;2.45-270;03-32
Warm Temperate;Humid Forest;Asia;Primary;323.0;n.a.;n.a.;n.a.
Warm Temperate;Humid Forest;Asia;Secondary >20 Years;258.4;1.0;100-180;8
Warm Temperate;Humid Forest;Asia;Secondary ≤20 Years;258.4;2.5;100-180;8
