climate;forest_type;land_use_type;region;gt_20_yrs;le_20_yrs
Tropical;Natural;Rainforest;Eastern Africa;3.5;7.6
Tropical;Natural;Rainforest;Central Africa;3.5;7.6
Tropical;Natural;Rainforest;Northern Africa;3.5;7.6
Tropical;Natural;Rainforest;Southern Africa;3.5;7.6
Tropical;Natural;Rainforest;Western Africa;3.5;7.6
Tropical;Natural;Rainforest;Central Asia;2.7;3.4
Tropical;Natural;Rainforest;Eastern Asia;2.7;3.4
Tropical;Natural;Rainforest;South-Eastern Asia;2.7;3.4
Tropical;Natural;Rainforest;Southern Asia;2.7;3.4
Tropical;Natural;Rainforest;Western Asia;2.7;3.4
Tropical;Natural;Rainforest;Europe;7;7
Tropical;Natural;Rainforest;Oceania;7;7
Tropical;Natural;Rainforest;North America;2.3;5.9
Tropical;Natural;Rainforest;South America;2.3;5.9
Tropical;Natural;Rainforest;Central America;2.3;5.9
Tropical;Natural;Rainforest;Caribbean;2.3;5.9
Tropical;Natural;Moist Deciduous Forest;Eastern Africa;0.9;2.9
Tropical;Natural;Moist Deciduous Forest;Central Africa;0.9;2.9
Tropical;Natural;Moist Deciduous Forest;Northern Africa;0.9;2.9
Tropical;Natural;Moist Deciduous Forest;Southern Africa;0.9;2.9
Tropical;Natural;Moist Deciduous Forest;Western Africa;0.9;2.9
Tropical;Natural;Moist Deciduous Forest;Central Asia;0.9;2.4
Tropical;Natural;Moist Deciduous Forest;Eastern Asia;0.9;2.4
Tropical;Natural;Moist Deciduous Forest;South-Eastern Asia;0.9;2.4
Tropical;Natural;Moist Deciduous Forest;Southern Asia;0.9;2.4
Tropical;Natural;Moist Deciduous Forest;Western Asia;0.9;2.4
Tropical;Natural;Moist Deciduous Forest;Europe;5;5
Tropical;Natural;Moist Deciduous Forest;Oceania;5;5
Tropical;Natural;Moist Deciduous Forest;North America;2.7;5.2
Tropical;Natural;Moist Deciduous Forest;South America;2.7;5.2
Tropical;Natural;Moist Deciduous Forest;Central America;2.7;5.2
